Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kane Patrick,CHI,Player,20:07,0,1,0,0,0,0,2,2,5160,151
Toews Jonathan,CHI,Player,25:01,1,1,0,0,0,0,4,0,5161,152
Johnson Jack,CHI,Player,15:30,0,0,0,-1,0,0,1,4,1232,285
Jones Seth,CHI,Player,32:10,0,1,0,3,0,0,1,5,4044,424
Kurashev Philipp,CHI,Player,15:55,1,0,0,1,0,1,4,1,1698,542
Connolly Brett,CHI,Player,10:10,0,1,0,1,0,0,0,1,2688,584
Jones Caleb,CHI,Player,15:27,0,0,0,0,0,0,2,1,2949,712
Murphy Connor,CHI,Player,27:00,0,0,2,1,0,0,0,4,289,1842
Johnson Tyler,CHI,Player,11:49,0,0,0,0,0,0,0,0,892,2411
Tinordi Jarred,CHI,Player,19:12,0,1,0,1,0,0,0,2,2087,2435
Katchouk Boris,CHI,Player,11:43,0,0,0,0,0,0,2,1,6594,2457
Raddysh Taylor,CHI,Player,10:16,0,0,0,0,0,0,0,1,6595,2458
Blackwell Colin,CHI,Player,15:19,0,0,0,0,0,0,4,1,3751,2663
McCabe Jake,CHI,Player,15:02,0,0,0,0,0,0,0,4,5306,3478
Domi Max,CHI,Player,19:17,1,0,0,0,0,0,2,0,2552,4013
Khaira Jujhar,CHI,Player,12:23,1,1,0,2,0,0,3,0,4766,4033
Athanasiou Andreas,CHI,Player,12:38,0,1,0,1,0,0,0,1,5664,4103
Dickinson Jason,CHI,Player,08:12,0,1,0,0,0,0,1,0,6177,4437
Mrazek Petr,CHI,Goalie,57:50,-,0,0,-,2,0,12,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
Hronek Filip,DET,Player,26:48,0,0,0,-1,0,0,0,6,6228,9
Copp Andy,DET,Player,10:08,1,0,0,1,0,0,1,1,4865,103
Berggren Jonatan,DET,Player,15:51,0,0,0,-1,0,0,1,1,6610,292
Hagg Robert,DET,Player,12:12,0,1,0,0,0,0,0,1,2110,400
Kubalik Dominik,DET,Player,12:50,0,0,0,0,0,0,2,0,6156,522
Perron David,DET,Player,16:46,0,1,0,0,0,0,0,1,5165,543
Seider Moritz,DET,Player,21:30,0,0,0,-2,0,0,0,6,1948,645
Luff Matt,DET,Player,10:08,0,0,0,0,0,0,0,2,5233,738
Czarnik  Austin,DET,Player,08:54,0,0,0,-1,0,0,2,1,6079,1022
Maatta Olli,DET,Player,25:09,0,1,0,-1,0,0,0,7,2735,1899
Raymond Lucas,DET,Player,23:32,0,0,2,-1,0,0,1,2,6568,2364
Oesterle Jordan,DET,Player,16:11,0,0,0,0,0,0,0,3,3157,2845
Chiarot Ben,DET,Player,18:10,0,0,0,0,0,0,0,2,2315,3069
Larkin Dylan,DET,Player,21:51,1,0,0,-1,0,0,3,1,5774,3165
Fabbri Robby,DET,Player,10:22,0,0,0,-1,0,0,0,2,5090,4016
Bertuzzi Tyler,DET,Player,23:19,0,1,0,0,0,0,0,4,328,4304
Vrana Jakub,DET,Player,12:02,0,0,0,0,0,0,1,2,6115,4338
Erne Adam,DET,Player,09:29,0,0,0,-2,0,0,1,0,6139,4341
Husso Ville,DET,Goalie,59:49,-,0,0,-,4,0,26,-,4982,1743
Nedeljkovic Alex,DET,Goalie,00:00,-,0,0,-,0,0,0,-,6579,2397
