Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kane Patrick,CHI,Player,26:49,0,0,0,0,0,0,3,4,5160,151
Toews Jonathan,CHI,Player,30:12,2,0,0,1,0,0,4,1,5161,152
Johnson Jack,CHI,Player,11:27,0,0,0,0,0,0,0,4,1232,285
Jones Seth,CHI,Player,34:29,0,1,0,0,0,0,0,8,4044,424
Kurashev Philipp,CHI,Player,15:39,0,0,0,0,0,0,2,3,1698,542
Connolly Brett,CHI,Player,03:54,0,0,0,-1,0,0,0,1,2688,584
Jones Caleb,CHI,Player,17:29,0,0,0,0,0,0,0,3,2949,712
Murphy Connor,CHI,Player,32:12,0,1,0,0,0,0,0,3,289,1842
Johnson Tyler,CHI,Player,15:13,1,0,0,0,1,0,2,0,892,2411
Tinordi Jarred,CHI,Player,15:07,0,0,0,0,0,0,0,4,2087,2435
Katchouk Boris,CHI,Player,10:26,0,0,0,0,0,0,2,1,6594,2457
Raddysh Taylor,CHI,Player,14:47,0,0,0,0,0,0,1,1,6595,2458
Blackwell Colin,CHI,Player,12:16,0,0,2,0,0,0,0,0,3751,2663
McCabe Jake,CHI,Player,18:08,0,1,0,0,0,0,0,1,5306,3478
Domi Max,CHI,Player,30:26,0,1,0,1,0,0,0,2,2552,4013
Khaira Jujhar,CHI,Player,07:40,0,0,0,-1,0,0,0,2,4766,4033
Athanasiou Andreas,CHI,Player,13:29,0,0,0,0,0,0,2,0,5664,4103
Dickinson Jason,CHI,Player,03:28,0,0,0,-1,0,0,0,0,6177,4437
Mrazek Petr,CHI,Goalie,64:00,-,0,0,-,2,0,10,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
Addison Calen,MIN,Player,19:59,0,0,0,0,0,0,0,3,6612,144
Boldy Matt,MIN,Player,18:04,0,0,0,0,0,0,1,2,6613,287
Dewar Connor,MIN,Player,26:59,1,0,0,-1,0,0,2,4,6614,389
Reaves Ryan,MIN,Player,06:42,0,0,0,0,0,0,0,1,4442,394
Eriksson Ek Joel,MIN,Player,20:42,0,0,0,0,0,0,1,0,6071,558
Hartman Ryan,MIN,Player,10:12,1,0,0,1,0,0,1,1,2648,869
Dumba Matt,MIN,Player,22:50,0,0,0,0,0,0,0,2,4445,1196
Merrill Jon,MIN,Player,20:31,0,1,0,-1,0,0,0,3,2956,1496
Zuccarello Mats,MIN,Player,23:10,0,0,0,-1,0,0,0,1,5807,1559
Greenway Jordan,MIN,Player,14:07,0,0,2,0,0,0,1,0,866,2130
Brodin Jonas,MIN,Player,21:29,0,0,0,1,0,0,0,2,4506,2217
Duhaime Brandon,MIN,Player,15:40,0,0,0,0,0,0,2,0,6565,2258
Foligno Marcus,MIN,Player,07:10,0,0,0,1,0,0,1,0,579,3395
Spurgeon Jared,MIN,Player,22:56,0,0,0,-1,0,0,0,5,4407,3434
Kaprizov Kirill,MIN,Player,19:06,0,1,0,0,0,0,0,1,1717,3774
Goligoski Alex,MIN,Player,21:07,0,1,0,1,0,0,0,7,5323,4287
Steel Sam,MIN,Player,10:49,0,0,0,0,0,0,0,0,3212,4357
Gaudreau Frederick ,MIN,Player,11:55,0,1,0,1,0,0,1,1,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,64:09,-,0,0,-,3,0,16,-,652,508
