Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kane Patrick,CHI,Player,18:06,3,1,0,5,0,0,3,1,5160,151
Toews Jonathan,CHI,Player,21:17,0,3,0,5,0,0,1,3,5161,152
Johnson Jack,CHI,Player,15:27,0,0,0,1,0,0,0,2,1232,285
Jones Seth,CHI,Player,20:51,1,1,0,6,0,0,2,6,4044,424
Kurashev Philipp,CHI,Player,14:59,2,1,0,3,0,0,3,1,1698,542
Connolly Brett,CHI,Player,11:42,1,0,0,0,0,0,2,0,2688,584
Jones Caleb,CHI,Player,20:28,0,3,0,6,0,0,0,3,2949,712
Murphy Connor,CHI,Player,21:47,0,2,0,5,0,0,0,5,289,1842
Johnson Tyler,CHI,Player,12:50,2,1,2,5,0,0,2,1,892,2411
Tinordi Jarred,CHI,Player,17:59,0,1,0,2,0,0,1,7,2087,2435
Katchouk Boris,CHI,Player,11:53,1,2,0,2,0,0,4,1,6594,2457
Raddysh Taylor,CHI,Player,11:59,0,1,0,5,0,0,1,0,6595,2458
Blackwell Colin,CHI,Player,15:17,0,2,0,2,0,0,2,1,3751,2663
McCabe Jake,CHI,Player,23:28,0,2,0,6,0,0,0,2,5306,3478
Domi Max,CHI,Player,18:08,1,2,0,5,0,0,3,1,2552,4013
Khaira Jujhar,CHI,Player,14:38,1,0,0,1,0,1,2,0,4766,4033
Athanasiou Andreas,CHI,Player,11:57,3,2,0,5,0,0,7,0,5664,4103
Dickinson Jason,CHI,Player,12:14,0,1,0,0,0,0,2,0,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,1,0,-,2,0,21,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
Suzuki Nick,MTL,Player,16:39,0,0,0,-4,0,0,4,3,1922,191
Gallagher Brendan,MTL,Player,16:17,0,0,0,-4,0,0,3,2,2699,308
Drouin Jonathan,MTL,Player,13:21,0,1,0,-1,0,0,1,4,2499,346
Anderson Josh,MTL,Player,14:19,0,0,0,-3,0,0,0,2,4955,381
Guhle Kaiden,MTL,Player,17:37,0,0,0,-4,0,0,0,3,6615,405
Slafkovsky Juraj,MTL,Player,17:54,0,0,0,-5,0,0,6,2,6616,466
Dadonov Evgeny,MTL,Player,17:59,0,0,0,-5,0,0,1,3,4051,640
Savard David,MTL,Player,23:30,0,0,0,-7,0,0,0,6,4423,707
Evans Jake,MTL,Player,11:59,1,0,0,-4,0,0,1,0,3818,754
Matheson Michael,MTL,Player,24:15,0,0,0,-7,0,0,0,13,6057,846
Caufield Cole,MTL,Player,13:59,0,1,0,-2,0,0,1,0,6558,1110
Dach Kirby,MTL,Player,11:45,0,0,0,-2,0,0,2,0,3937,1163
Monahan Sean,MTL,Player,18:30,0,0,0,-4,0,0,0,2,5281,1397
Edmundson Joel,MTL,Player,17:40,0,0,0,-5,0,0,0,3,4557,1904
Dvorak Christian,MTL,Player,13:10,1,0,0,-1,0,0,1,2,6034,2057
Hoffman Mike,MTL,Player,14:26,0,0,0,-4,0,0,1,1,2611,3520
Wideman Chris,MTL,Player,18:08,0,0,0,-2,0,0,0,7,4184,4009
Bowey Madison,MTL,Player,18:50,0,0,0,-1,0,0,0,7,6201,4553
Price Carey,MTL,Goalie,59:42,-,0,0,-,15,0,35,-,5153,344
Allen Jake,MTL,Goalie,00:00,-,0,0,-,0,0,0,-,5824,1084
