Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kane Patrick,CHI,Player,17:33,2,0,0,3,0,0,3,2,5160,151
Toews Jonathan,CHI,Player,19:03,1,2,0,3,0,0,3,0,5161,152
Johnson Jack,CHI,Player,19:32,0,0,0,0,0,0,0,7,1232,285
Jones Seth,CHI,Player,25:01,0,1,0,5,0,0,0,7,4044,424
Kurashev Philipp,CHI,Player,13:23,0,0,0,0,0,0,2,1,1698,542
Connolly Brett,CHI,Player,15:22,0,2,0,2,0,0,1,0,2688,584
Jones Caleb,CHI,Player,15:27,0,0,0,1,0,0,0,3,2949,712
Murphy Connor,CHI,Player,20:25,0,1,0,5,0,0,0,0,289,1842
Johnson Tyler,CHI,Player,15:47,0,1,0,1,0,0,0,0,892,2411
Tinordi Jarred,CHI,Player,20:49,0,0,0,0,0,0,0,2,2087,2435
Katchouk Boris,CHI,Player,12:48,0,0,0,0,0,0,0,2,6594,2457
Raddysh Taylor,CHI,Player,13:42,1,0,0,1,0,0,1,0,6595,2458
Blackwell Colin,CHI,Player,14:46,0,0,0,0,0,0,1,1,3751,2663
McCabe Jake,CHI,Player,18:46,0,0,0,1,0,0,0,1,5306,3478
Domi Max,CHI,Player,19:09,0,1,0,3,0,0,2,0,2552,4013
Khaira Jujhar,CHI,Player,10:24,1,0,0,2,0,0,4,0,4766,4033
Athanasiou Andreas,CHI,Player,15:48,0,1,0,1,0,0,3,1,5664,4103
Dickinson Jason,CHI,Player,12:15,1,0,0,2,0,0,2,2,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,2,0,-,1,0,20,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
Schneider Braden,NYR,Player,18:42,0,0,2,-2,0,0,0,8,6627,64
Zibanejad Mika,NYR,Player,29:26,0,0,0,-1,0,0,2,2,2170,108
Marner Mitchell,NYR,Player,29:29,0,0,0,-1,0,0,7,1,6033,348
Harpur Ben,NYR,Player,18:28,0,0,0,-2,0,0,0,8,6628,575
Blais Sam,NYR,Player,20:21,0,0,0,0,0,0,2,2,6207,639
Lindgren Ryan,NYR,Player,33:14,0,0,0,-2,0,0,0,9,3870,855
Kakko Kaapo,NYR,Player,17:52,0,0,0,0,0,0,3,3,4419,863
Kravtsov Vitali,NYR,Player,05:07,1,0,0,-1,0,0,1,0,6192,948
Fox Adam,NYR,Player,30:53,0,0,0,-1,0,0,0,7,1181,1227
Vesey Jimmy,NYR,Player,03:39,0,0,0,-2,0,0,0,0,6032,1596
Miller K’andre,NYR,Player,08:17,0,0,0,-2,0,0,0,4,2796,2118
Lafreniere Alexis,NYR,Player,04:17,0,0,0,-3,0,0,0,0,6516,2135
Chytil Filip,NYR,Player,05:48,0,0,0,-2,0,0,0,0,2026,2350
Trouba Jacob,NYR,Player,10:40,0,0,0,-3,0,0,0,5,1743,2659
Goodrow Barclay,NYR,Player,20:11,0,0,0,0,0,0,2,5,2539,3211
Trocheck Vincent,NYR,Player,05:35,0,0,0,-3,0,0,0,0,3671,3527
Kreider Chris,NYR,Player,28:10,0,0,0,-2,0,0,3,1,2968,3752
Carpenter Ryan,NYR,Player,04:53,0,0,0,-2,0,0,0,0,2797,4157
Jarry Tristan,NYR,Goalie,35:21,-,0,0,-,2,0,10,-,6137,634
Shestyorkin Igor,NYR,Goalie,24:39,-,0,0,-,4,0,12,-,5584,2237
