Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kane Patrick,CHI,Player,14:16,1,2,0,4,0,0,5,2,5160,151
Toews Jonathan,CHI,Player,20:23,1,3,0,4,0,0,4,1,5161,152
Johnson Jack,CHI,Player,14:00,0,0,0,-1,0,0,0,2,1232,285
Jones Seth,CHI,Player,23:26,0,0,0,3,0,0,0,5,4044,424
Kurashev Philipp,CHI,Player,15:51,0,0,0,-1,0,0,1,1,1698,542
Connolly Brett,CHI,Player,19:28,1,0,0,1,0,0,1,1,2688,584
Jones Caleb,CHI,Player,19:37,0,1,0,2,0,0,1,3,2949,712
Murphy Connor,CHI,Player,23:34,0,2,0,3,0,0,0,6,289,1842
Johnson Tyler,CHI,Player,14:35,1,0,0,0,0,0,1,1,892,2411
Tinordi Jarred,CHI,Player,16:52,0,0,0,-1,0,0,0,4,2087,2435
Katchouk Boris,CHI,Player,11:41,0,0,0,-1,0,0,2,2,6594,2457
Raddysh Taylor,CHI,Player,07:38,0,0,0,0,0,0,2,1,6595,2458
Blackwell Colin,CHI,Player,11:34,0,0,0,-1,0,0,1,1,3751,2663
McCabe Jake,CHI,Player,22:31,0,0,0,2,0,0,0,5,5306,3478
Domi Max,CHI,Player,19:51,3,0,0,4,1,0,4,0,2552,4013
Khaira Jujhar,CHI,Player,12:59,0,0,2,1,0,0,2,3,4766,4033
Athanasiou Andreas,CHI,Player,14:38,0,1,0,0,0,0,1,2,5664,4103
Dickinson Jason,CHI,Player,12:07,0,1,0,1,0,0,2,0,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,3,0,18,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
Provorov Ivan,PHI,Player,23:49,0,0,2,-3,0,0,2,4,2543,183
Cates Noah,PHI,Player,10:15,0,0,0,-1,0,0,0,0,6625,338
Konecny Travis,PHI,Player,17:18,0,1,0,-3,0,0,0,3,6068,391
Garland Conor,PHI,Player,16:53,1,0,0,0,0,0,4,0,2704,520
DeAngelo Anthony,PHI,Player,25:02,0,0,0,-3,0,0,0,1,5961,573
Sedlak Lukas,PHI,Player,14:25,0,0,0,-1,0,0,1,1,6073,610
Sedin Henrik,PHI,Player,17:45,0,0,0,0,0,0,3,2,1795,759
Seeler Nick,PHI,Player,17:03,0,0,0,0,0,0,0,0,3217,1375
Petry Jeff,PHI,Player,22:11,0,1,0,-1,0,0,0,1,1116,1433
Laughton Scott,PHI,Player,17:49,1,1,0,1,0,0,1,1,1055,2075
Morin Samuel,PHI,Player,18:13,0,0,0,-1,0,0,0,4,389,2143
Tippett Owen,PHI,Player,11:07,0,0,2,0,0,0,1,1,6528,2215
Roslovic Jack,PHI,Player,11:24,1,0,0,-3,0,0,3,1,3804,2225
Bunting Michael,PHI,Player,09:29,0,0,0,0,0,0,0,2,6597,2463
MacEwen Zack,PHI,Player,09:26,0,0,0,-1,0,0,2,0,3423,2577
Van Riemsdyk James,PHI,Player,10:29,0,0,0,0,0,0,1,1,2752,3033
Ristolainen Rasmus,PHI,Player,16:53,0,0,0,0,0,0,0,4,3837,3376
Hayes Kevin,PHI,Player,22:30,0,1,0,-3,0,0,0,1,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Copley Pheonix,PHI,Goalie,60:00,-,0,0,-,7,0,27,-,5616,2479
