Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kane Patrick,CHI,Player,15:03,1,3,0,4,0,0,2,3,5160,151
Toews Jonathan,CHI,Player,15:28,0,2,0,4,0,0,3,1,5161,152
Johnson Jack,CHI,Player,18:04,1,0,0,-2,0,0,2,7,1232,285
Jones Seth,CHI,Player,22:40,0,0,0,5,0,0,1,5,4044,424
Kurashev Philipp,CHI,Player,14:48,0,1,0,0,0,0,2,1,1698,542
Connolly Brett,CHI,Player,13:46,2,2,2,1,1,0,2,0,2688,584
Jones Caleb,CHI,Player,18:53,0,0,0,0,0,0,0,0,2949,712
Murphy Connor,CHI,Player,20:57,1,0,0,5,0,0,2,2,289,1842
Johnson Tyler,CHI,Player,17:22,0,1,0,-2,0,0,1,2,892,2411
Tinordi Jarred,CHI,Player,19:33,0,1,0,-2,0,0,0,0,2087,2435
Katchouk Boris,CHI,Player,13:30,0,1,0,0,0,0,3,1,6594,2457
Raddysh Taylor,CHI,Player,16:14,0,0,0,-2,0,0,3,1,6595,2458
Blackwell Colin,CHI,Player,13:37,1,1,0,0,0,0,3,1,3751,2663
McCabe Jake,CHI,Player,19:53,0,0,0,0,0,0,0,2,5306,3478
Domi Max,CHI,Player,15:34,2,2,0,4,0,0,3,4,2552,4013
Khaira Jujhar,CHI,Player,14:00,0,2,0,1,0,0,1,1,4766,4033
Athanasiou Andreas,CHI,Player,16:21,0,1,0,-2,0,0,4,4,5664,4103
Dickinson Jason,CHI,Player,12:28,2,1,0,1,0,0,3,1,6177,4437
Mrazek Petr,CHI,Goalie,59:42,-,0,0,-,7,0,31,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
Karlsson Erik,SJ,Player,19:50,0,1,0,-1,0,0,1,6,4017,120
Simek Radim,SJ,Player,12:10,0,1,0,1,0,0,0,3,4584,142
Vlasic Marc-Edouard,SJ,Player,24:49,0,0,0,-3,0,0,0,3,1790,545
Ferraro Mario,SJ,Player,20:14,0,1,0,-1,0,0,0,5,2422,937
Gregor Noah,SJ,Player,12:23,1,0,0,1,0,0,2,0,5027,941
Lindblom Oskar,SJ,Player,12:04,0,0,0,-4,0,0,1,1,1217,1379
Sturm Nico,SJ,Player,12:07,1,1,0,1,0,0,3,1,3343,2110
Knyzhov Nikolai,SJ,Player,17:28,0,1,0,1,0,0,0,4,6517,2148
Barabanov Alexander,SJ,Player,17:22,1,2,0,-1,1,0,3,1,3181,2162
Lorentz Steven,SJ,Player,12:50,0,0,0,-4,0,0,3,0,6523,2198
Dahlen Jonathan,SJ,Player,11:58,0,1,0,1,0,0,1,1,6591,2447
Weatherby Jasper,SJ,Player,12:24,0,1,0,1,0,0,2,1,6592,2451
Bonino Nick,SJ,Player,17:38,1,1,0,1,0,0,2,1,563,2862
Hertl Tomas,SJ,Player,20:07,2,0,0,-1,0,0,5,0,2290,2913
Couture Logan,SJ,Player,17:27,1,1,0,1,0,0,3,1,4370,3039
Benning Matt,SJ,Player,25:29,0,1,0,-3,0,0,0,1,6097,4305
Meier Timo,SJ,Player,20:36,0,1,0,-1,0,0,3,0,6112,4332
Kunin Luke,SJ,Player,12:23,0,0,2,-4,0,0,2,2,735,4448
Reimer James,SJ,Goalie,57:56,-,0,0,-,10,0,35,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
