Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kane Patrick,CHI,Player,17:53,1,1,0,2,0,0,2,3,5160,151
Toews Jonathan,CHI,Player,18:00,1,1,0,2,0,0,2,1,5161,152
Johnson Jack,CHI,Player,16:31,0,1,0,2,0,0,1,0,1232,285
Jones Seth,CHI,Player,24:59,0,1,0,2,0,0,0,1,4044,424
Kurashev Philipp,CHI,Player,14:12,1,0,0,2,0,0,4,1,1698,542
Connolly Brett,CHI,Player,16:37,0,3,0,2,0,0,1,2,2688,584
Jones Caleb,CHI,Player,18:30,0,1,0,2,0,0,0,2,2949,712
Murphy Connor,CHI,Player,25:08,0,1,0,2,0,0,0,3,289,1842
Johnson Tyler,CHI,Player,11:11,0,0,0,0,0,0,0,0,892,2411
Tinordi Jarred,CHI,Player,16:18,0,1,0,2,0,0,0,3,2087,2435
Katchouk Boris,CHI,Player,16:27,0,1,0,2,0,0,2,1,6594,2457
Raddysh Taylor,CHI,Player,11:18,1,0,0,0,0,0,4,2,6595,2458
Blackwell Colin,CHI,Player,16:59,3,0,0,2,0,0,3,2,3751,2663
McCabe Jake,CHI,Player,18:34,0,1,0,2,0,0,0,1,5306,3478
Domi Max,CHI,Player,18:54,1,2,0,2,0,0,4,2,2552,4013
Khaira Jujhar,CHI,Player,13:50,2,1,0,2,0,0,3,0,4766,4033
Athanasiou Andreas,CHI,Player,10:17,0,0,0,0,0,0,0,2,5664,4103
Dickinson Jason,CHI,Player,14:22,0,1,0,2,0,0,2,2,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,4,0,17,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
Bozak Tyler,STL,Player,09:12,0,1,0,-2,0,0,1,1,2255,571
Barbashyov Ivan,STL,Player,14:37,0,0,0,-1,0,0,2,1,3871,986
Buchnevich Pavel,STL,Player,19:27,2,0,0,0,0,0,4,0,226,1067
Saad Brandon,STL,Player,19:38,0,2,0,0,0,0,0,1,1737,1234
Thomas Robert,STL,Player,16:06,0,0,0,-3,0,0,1,2,3452,1332
Acciari Noel,STL,Player,09:24,1,0,0,-2,0,0,1,1,2639,1973
Bortuzzo Robert,STL,Player,17:01,0,0,0,-3,0,0,0,3,4409,2134
Mikkola Niko,STL,Player,22:22,0,0,0,0,0,0,0,1,1141,2155
Parayko Colton,STL,Player,20:37,0,0,0,-3,0,0,0,4,4669,2158
Pitlick Rem,STL,Player,16:33,0,1,0,-3,0,0,0,0,6566,2343
O'Reilly Ryan,STL,Player,15:32,0,0,0,-2,0,0,0,1,3062,2382
Perunovich Scott,STL,Player,17:21,0,0,0,-3,0,0,0,2,6590,2441
Kyrou Jordan,STL,Player,16:25,1,0,0,-3,0,0,2,1,6208,2446
Krug Torey,STL,Player,19:45,0,0,0,-2,0,0,0,1,3615,2521
Schenn Brayden,STL,Player,18:43,0,1,0,1,0,0,0,0,4131,3265
Leivo Josh,STL,Player,09:39,0,1,0,-2,0,0,1,1,2541,3307
Faulk Justin,STL,Player,22:54,0,1,0,-1,0,0,0,3,3744,3400
Tarasenko Vladimir,STL,Player,14:44,0,0,0,-1,0,0,5,1,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,0,0,-,10,0,28,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
