Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kane Patrick,CHI,Player,11:41,2,0,0,2,1,0,3,1,5160,151
Toews Jonathan,CHI,Player,16:29,0,2,0,2,0,0,4,5,5161,152
Johnson Jack,CHI,Player,18:55,0,0,0,3,0,0,0,5,1232,285
Jones Seth,CHI,Player,21:26,0,1,2,2,0,0,1,9,4044,424
Kurashev Philipp,CHI,Player,13:59,2,0,0,1,0,1,5,1,1698,542
Connolly Brett,CHI,Player,13:09,2,1,0,3,0,0,3,1,2688,584
Jones Caleb,CHI,Player,17:07,0,1,0,1,0,0,0,5,2949,712
Murphy Connor,CHI,Player,20:07,0,1,0,1,0,0,0,3,289,1842
Johnson Tyler,CHI,Player,15:51,0,0,0,1,0,0,1,2,892,2411
Tinordi Jarred,CHI,Player,24:07,0,0,2,3,0,0,0,3,2087,2435
Katchouk Boris,CHI,Player,13:00,1,2,0,3,0,0,3,1,6594,2457
Raddysh Taylor,CHI,Player,15:44,1,0,0,0,0,0,3,2,6595,2458
Blackwell Colin,CHI,Player,17:32,0,3,0,3,0,0,1,2,3751,2663
McCabe Jake,CHI,Player,24:46,0,0,0,2,0,0,0,6,5306,3478
Domi Max,CHI,Player,12:35,1,0,0,2,0,0,4,2,2552,4013
Khaira Jujhar,CHI,Player,14:48,0,1,0,0,0,0,1,2,4766,4033
Athanasiou Andreas,CHI,Player,11:22,0,0,0,1,0,0,2,2,5664,4103
Dickinson Jason,CHI,Player,07:22,0,1,0,-1,0,0,1,0,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,2,0,-,2,0,18,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
Maroon Patrick,TB,Player,10:39,1,0,0,1,0,0,2,1,969,4
Perry Corey,TB,Player,11:26,0,0,0,-1,0,0,0,1,3400,19
Hagel Brandon,TB,Player,01:45,0,0,0,-1,0,0,0,0,6555,106
Balcers Rudolfs,TB,Player,16:47,0,0,0,-3,0,0,5,0,6256,444
Point Brayden,TB,Player,27:49,0,1,0,-1,0,0,0,6,6070,521
Kucherov Nikita,TB,Player,22:05,0,0,0,-3,0,0,0,1,538,623
Myers Philippe,TB,Player,13:55,1,0,0,-2,0,0,1,2,1875,762
Fleury Haydn,TB,Player,19:03,0,1,0,-2,0,0,0,4,614,1400
Hedman Victor,TB,Player,24:02,0,0,0,-4,0,0,1,5,5416,1558
Killorn Alex,TB,Player,16:51,0,1,0,-2,0,0,1,1,1170,2413
Colton Ross,TB,Player,10:30,0,0,0,-2,0,0,1,2,6593,2456
Cirelli Anthony,TB,Player,22:02,0,1,0,0,0,0,2,3,3041,2839
Namestnikov Vladislav,TB,Player,06:30,0,0,0,-1,0,0,1,1,3844,3132
Stamkos Steven,TB,Player,23:38,0,0,2,-3,0,0,1,2,240,3254
Sergachyov Mikhail,TB,Player,25:23,0,0,0,-2,0,0,0,7,5971,3477
Bellemare Pierre-Edouard,TB,Player,04:18,0,0,0,-1,0,0,1,1,979,3518
Cole Ian,TB,Player,16:42,0,0,0,-3,0,0,0,4,1833,3554
Cernak Erik,TB,Player,22:01,0,0,0,0,0,0,2,5,6198,4549
Vasilevsky Andrei,TB,Goalie,33:53,-,0,2,-,8,0,18,-,3767,61
Elliott Brian,TB,Goalie,25:07,-,0,0,-,1,0,14,-,5156,420
