Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kane Patrick,CHI,Player,15:35,0,0,0,0,0,0,4,1,5160,151
Toews Jonathan,CHI,Player,17:42,2,0,0,1,0,1,4,1,5161,152
Johnson Jack,CHI,Player,17:17,0,0,0,1,0,0,1,4,1232,285
Jones Seth,CHI,Player,21:11,0,0,2,1,0,0,0,5,4044,424
Kurashev Philipp,CHI,Player,17:17,0,0,0,0,0,0,5,1,1698,542
Connolly Brett,CHI,Player,14:56,1,0,0,3,0,0,5,4,2688,584
Jones Caleb,CHI,Player,18:30,0,1,0,2,0,0,0,2,2949,712
Murphy Connor,CHI,Player,25:46,0,1,0,2,0,0,2,7,289,1842
Johnson Tyler,CHI,Player,11:56,0,1,0,1,0,0,1,0,892,2411
Tinordi Jarred,CHI,Player,14:28,0,0,0,1,0,0,1,1,2087,2435
Katchouk Boris,CHI,Player,13:08,0,0,0,0,0,0,0,0,6594,2457
Raddysh Taylor,CHI,Player,08:58,0,0,0,1,0,0,3,0,6595,2458
Blackwell Colin,CHI,Player,16:08,0,1,0,1,0,0,0,5,3751,2663
McCabe Jake,CHI,Player,23:18,0,2,0,3,0,0,2,4,5306,3478
Domi Max,CHI,Player,14:06,0,0,0,0,0,0,2,0,2552,4013
Khaira Jujhar,CHI,Player,17:28,2,1,0,3,0,0,4,1,4766,4033
Athanasiou Andreas,CHI,Player,12:30,1,0,0,1,0,0,1,1,5664,4103
Dickinson Jason,CHI,Player,16:44,0,2,0,3,0,0,3,2,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,1,0,16,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
Kessel Phil,WOF,Player,15:05,0,0,0,-2,0,0,3,0,534,45
Whitecloud Zach,WOF,Player,17:47,0,0,0,-1,0,0,0,2,255,289
McNabb Brayden,WOF,Player,20:23,0,0,0,-3,0,0,0,3,1752,369
Howden Brett,WOF,Player,15:47,0,0,0,-1,0,0,2,3,2471,867
Carrier William,WOF,Player,14:36,0,0,0,-2,0,0,3,2,6095,930
Hague Nicolas,WOF,Player,19:27,0,0,0,-2,0,0,0,2,5488,961
Smith Reilly,WOF,Player,15:32,0,0,0,-1,0,0,1,0,3007,2049
Marchessault Jonathan,WOF,Player,19:24,0,1,0,0,0,0,1,1,3137,2310
Martinez Alec,WOF,Player,22:44,0,0,0,-3,0,0,0,2,4236,2365
Stone Mark,WOF,Player,22:02,1,0,0,-1,0,0,1,1,2036,2389
Roy Nicolas,WOF,Player,16:22,0,0,0,-1,0,0,1,0,1223,2651
Eichel Jack,WOF,Player,22:06,0,0,0,-1,0,0,0,1,3513,3151
Karlsson William,WOF,Player,15:08,0,0,0,-2,0,0,1,0,4720,3501
Theodore Shea,WOF,Player,21:50,0,1,0,-1,0,0,0,1,1674,3810
Pietrangelo Alex,WOF,Player,17:49,0,0,0,0,0,0,0,2,2185,4012
Stephenson Chandler,WOF,Player,06:24,0,0,0,-1,0,0,2,0,4995,4026
Patrick  Nolan,WOF,Player,10:13,0,0,0,-2,0,0,0,0,6161,4408
Kolesar Keegan,WOF,Player,07:21,0,0,0,-1,0,0,1,0,6200,4551
Brossoit Laurent,WOF,Goalie,09:49,-,0,0,-,1,0,5,-,2916,177
Lehner Robin,WOF,Goalie,50:11,-,0,0,-,5,0,33,-,2708,3541
