Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Landeskog Gabriel,COL,Player,14:53,1,1,0,2,0,0,1,1,1157,105
Nichushkin Valery,COL,Player,13:41,0,0,2,0,0,0,1,0,2145,258
Cogliano Andrew,COL,Player,15:06,0,0,0,0,0,0,1,1,5163,259
Galchenyuk Alex,COL,Player,16:03,0,1,0,-1,0,0,0,2,1690,281
Johnson Erik,COL,Player,22:26,0,0,0,0,0,0,0,6,5288,544
MacKinnon Nathan,COL,Player,16:35,0,0,0,0,0,0,1,2,3917,599
Makar Cale,COL,Player,23:17,0,0,0,0,0,0,0,4,4146,683
MacDermid Kurtis,COL,Player,21:10,0,0,0,0,0,0,0,6,1114,747
Toews Devon,COL,Player,15:00,0,0,0,0,0,0,0,4,3708,854
Lehkonen Artturi,COL,Player,12:45,1,0,0,2,0,0,1,1,3216,1447
Newhook Alex,COL,Player,14:20,0,0,0,-1,0,0,1,3,6560,1456
Rantanen Mikko,COL,Player,12:26,0,0,0,-1,0,0,1,0,5444,1683
O'Connor Logan,COL,Player,15:50,0,0,0,0,0,0,2,0,6576,2388
Rodrigues Evan,COL,Player,15:08,0,1,0,-1,0,0,0,1,6126,2650
Matteau Stefan,COL,Player,16:20,1,0,0,-2,0,0,6,3,3256,3216
Manson Josh,COL,Player,19:20,0,0,0,0,0,0,0,4,5585,3493
Compher J.T.,COL,Player,13:57,0,2,0,2,0,0,0,1,5937,3848
Girard Samuel,COL,Player,18:47,0,0,0,0,0,0,0,3,6118,4344
Georgiev Alexander,COL,Goalie,00:00,-,0,0,-,0,0,0,-,482,92
Francouz Pavel,COL,Goalie,60:00,-,1,0,-,4,0,46,-,2460,341
Zegras Trevor,ANA,Player,15:22,0,0,0,0,0,0,7,0,6553,22
Shattenkirk Kevin,ANA,Player,22:02,0,0,0,-1,0,0,0,10,4438,172
Kulikov Dmitry,ANA,Player,20:59,0,1,0,0,0,0,0,8,4685,272
Groulx Benoit-Olivier,ANA,Player,13:01,1,0,0,0,0,0,4,0,1457,295
Comtois Maxime,ANA,Player,17:58,1,0,0,-1,0,0,3,2,4341,303
Henrique Adam,ANA,Player,15:45,1,0,0,-2,1,0,5,1,837,320
Drysdale Jamie,ANA,Player,17:45,0,0,0,1,0,0,1,6,6570,406
Terry Troy,ANA,Player,15:06,0,0,0,-1,0,0,1,0,1967,2146
Fowler Cam,ANA,Player,22:17,0,1,0,0,0,0,1,6,4436,2371
Grant Derek,ANA,Player,12:31,0,0,0,-1,0,0,3,1,5353,2392
Leason Brett,ANA,Player,16:07,0,1,0,0,0,0,3,3,6600,2466
De Leo Chase,ANA,Player,15:46,0,0,0,1,0,0,5,2,545,2482
McTavish Mason,ANA,Player,15:46,0,0,0,0,0,0,3,0,6601,2491
Benoit Simon,ANA,Player,16:44,0,1,0,0,0,0,0,4,3723,2670
Klingberg John,ANA,Player,17:17,0,0,0,0,0,0,0,7,2537,2843
Silfverberg Jakob,ANA,Player,15:36,0,0,0,-1,0,0,1,2,1362,3143
Strome Ryan,ANA,Player,16:22,1,1,0,3,0,0,7,1,396,3219
Vatrano Frank,ANA,Player,13:36,0,1,0,2,0,0,2,0,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,0,0,-,3,0,15,-,2104,2896
