Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Landeskog Gabriel,COL,Player,15:53,0,0,0,0,0,0,2,2,1157,105
Nichushkin Valery,COL,Player,21:35,0,0,0,-1,0,0,0,3,2145,258
Cogliano Andrew,COL,Player,10:37,1,1,0,2,0,0,1,1,5163,259
Galchenyuk Alex,COL,Player,14:05,1,0,0,-1,0,0,5,1,1690,281
Johnson Erik,COL,Player,17:18,0,0,0,1,0,0,0,4,5288,544
MacKinnon Nathan,COL,Player,22:35,1,0,0,1,0,0,3,1,3917,599
Makar Cale,COL,Player,20:56,0,0,0,0,0,0,1,4,4146,683
MacDermid Kurtis,COL,Player,18:35,0,0,0,-1,0,0,0,6,1114,747
Toews Devon,COL,Player,18:39,0,0,0,-1,0,0,0,6,3708,854
Lehkonen Artturi,COL,Player,16:03,0,0,0,0,0,0,3,2,3216,1447
Newhook Alex,COL,Player,15:04,0,0,0,0,0,0,1,1,6560,1456
Rantanen Mikko,COL,Player,20:35,0,1,0,0,0,0,2,4,5444,1683
O'Connor Logan,COL,Player,10:28,0,1,0,1,0,0,0,2,6576,2388
Rodrigues Evan,COL,Player,12:54,0,0,0,-2,0,0,1,1,6126,2650
Matteau Stefan,COL,Player,12:01,0,0,0,-2,0,0,0,0,3256,3216
Manson Josh,COL,Player,22:25,0,0,0,-1,0,0,0,3,5585,3493
Compher J.T.,COL,Player,10:44,1,0,0,0,0,0,4,1,5937,3848
Girard Samuel,COL,Player,24:41,0,0,0,0,0,0,0,8,6118,4344
Georgiev Alexander,COL,Goalie,21:17,-,0,0,-,0,0,7,-,482,92
Francouz Pavel,COL,Goalie,40:00,-,0,0,-,3,0,15,-,2460,341
Dahlin Rasmus,BUF,Player,23:34,0,1,0,-1,0,0,1,4,2121,73
Skinner Jeff,BUF,Player,15:27,0,0,0,0,0,0,2,2,2848,77
Thompson  Tage,BUF,Player,18:44,0,1,0,0,0,0,1,2,3781,297
Bjork Anders,BUF,Player,13:28,0,1,0,0,0,0,3,1,2164,356
Okposo Kyle,BUF,Player,13:48,0,0,0,0,0,0,2,0,5379,410
Davidson Brandon,BUF,Player,18:38,0,0,0,3,0,0,0,0,1828,591
Jokiharju Henri,BUF,Player,18:56,0,0,0,3,0,0,0,2,4819,1246
Cozens Dylan,BUF,Player,19:45,0,0,0,-1,0,0,2,4,6522,2191
Power Owen,BUF,Player,23:50,0,0,0,-1,0,0,0,4,6603,2501
Krebs Peyton,BUF,Player,08:26,1,0,0,2,0,0,1,0,6604,2502
Quinn Jack,BUF,Player,13:44,0,0,0,0,0,0,2,2,6606,2510
Samuelsson Mattias,BUF,Player,18:31,0,0,0,-1,0,0,0,2,1753,2527
Mittelstadt Casey,BUF,Player,19:43,0,0,0,0,0,0,4,0,5502,2747
Girgensons Zemgus,BUF,Player,09:54,0,0,0,1,0,0,0,4,2830,2987
Hayden John,BUF,Player,13:52,0,1,2,0,0,0,0,5,6132,3089
Lyubushkin Ilya,BUF,Player,19:05,0,0,0,-1,0,0,0,4,3772,3452
Malone Sean,BUF,Player,13:23,1,0,0,0,0,0,1,1,6145,4371
Tuch Alex,BUF,Player,17:21,1,0,0,2,0,0,3,4,6176,4434
Anderson Craig,BUF,Goalie,61:17,-,0,0,-,4,0,23,-,234,265
Comrie Eric,BUF,Goalie,00:00,-,0,0,-,0,0,0,-,479,1230
