Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Landeskog Gabriel,COL,Player,17:17,1,0,0,2,0,0,3,0,1157,105
Nichushkin Valery,COL,Player,15:52,0,1,0,-2,0,0,2,1,2145,258
Cogliano Andrew,COL,Player,13:17,1,1,0,2,0,0,1,3,5163,259
Galchenyuk Alex,COL,Player,14:12,0,0,0,-3,0,0,4,5,1690,281
Johnson Erik,COL,Player,26:24,0,1,0,1,0,0,0,9,5288,544
MacKinnon Nathan,COL,Player,22:38,1,0,0,2,0,0,5,2,3917,599
Makar Cale,COL,Player,25:16,0,1,0,1,0,0,0,5,4146,683
MacDermid Kurtis,COL,Player,20:07,0,0,0,-3,0,0,0,8,1114,747
Toews Devon,COL,Player,21:03,0,0,0,-3,0,0,1,4,3708,854
Lehkonen Artturi,COL,Player,15:14,0,1,0,-1,0,0,3,3,3216,1447
Newhook Alex,COL,Player,14:21,1,0,0,-2,0,0,1,3,6560,1456
Rantanen Mikko,COL,Player,22:43,0,2,0,2,0,0,3,2,5444,1683
O'Connor Logan,COL,Player,12:06,0,1,0,1,0,0,1,3,6576,2388
Rodrigues Evan,COL,Player,13:44,0,0,0,-3,0,0,0,2,6126,2650
Manson Josh,COL,Player,18:05,0,0,0,1,0,0,0,5,5585,3493
Compher J.T.,COL,Player,13:53,1,0,0,2,0,0,2,0,5937,3848
Helm Darren,COL,Player,13:55,0,0,0,-2,0,0,0,3,5382,4289
Girard Samuel,COL,Player,18:17,0,2,0,1,0,0,0,3,6118,4344
Georgiev Alexander,COL,Goalie,00:00,-,0,0,-,0,0,0,-,482,92
Francouz Pavel,COL,Goalie,64:36,-,0,0,-,6,0,50,-,2460,341
Pacioretty Max,CAR,Player,16:18,0,0,0,-1,0,0,2,3,762,42
Stastny Paul,CAR,Player,13:33,0,0,0,1,0,0,5,2,934,153
Burns Brent,CAR,Player,25:08,0,0,0,-2,0,0,0,7,410,309
Necas Martin,CAR,Player,15:17,1,0,0,0,0,0,3,3,751,377
Stepan Derek,CAR,Player,09:36,0,1,0,-1,0,0,0,0,2759,482
Staal Jordan,CAR,Player,19:50,0,0,0,1,0,0,8,2,1628,500
Gardiner Jake,CAR,Player,17:01,0,0,0,3,0,0,3,6,5230,595
Pesce Brett,CAR,Player,21:01,0,1,0,0,0,0,0,3,4415,906
Skeji Brady,CAR,Player,22:27,0,1,0,0,0,0,0,2,1132,1228
de Haan Calvin,CAR,Player,20:19,1,1,0,3,0,0,1,4,4595,1754
Aho Sebastian,CAR,Player,19:55,0,1,0,-1,0,0,7,1,4038,1908
Jarvis Seth,CAR,Player,18:49,1,0,0,2,0,0,5,2,6574,2381
Teravainen Teuvo,CAR,Player,14:04,1,0,0,1,0,0,4,2,1779,2963
Fast Jesper,CAR,Player,16:38,0,1,0,2,0,0,0,2,286,3542
Kotkaniemi Jesperi,CAR,Player,11:18,1,0,0,0,0,0,3,2,5051,3878
Svechnikov Andrei,CAR,Player,19:57,1,0,0,-1,0,0,3,3,5058,3885
Slavin Jaccob,CAR,Player,23:16,0,0,0,-2,0,0,0,8,4920,4060
Dzingel Ryan,CAR,Player,13:57,0,0,0,-1,0,0,6,2,2917,4121
Andersen Frederik,CAR,Goalie,00:00,-,0,0,-,0,0,0,-,1149,664
Raanta Antti,CAR,Goalie,64:36,-,0,0,-,5,0,26,-,2608,2912
