Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Landeskog Gabriel,COL,Player,14:46,0,1,0,-1,0,0,2,1,1157,105
Nichushkin Valery,COL,Player,13:46,0,1,0,-2,0,0,2,3,2145,258
Cogliano Andrew,COL,Player,13:20,0,0,0,-3,0,0,1,0,5163,259
Galchenyuk Alex,COL,Player,18:08,0,2,0,-2,0,0,0,2,1690,281
Johnson Erik,COL,Player,22:08,0,0,2,-3,0,0,0,7,5288,544
MacKinnon Nathan,COL,Player,14:55,1,0,0,-1,0,0,2,3,3917,599
Makar Cale,COL,Player,24:41,0,1,0,-1,0,0,0,6,4146,683
MacDermid Kurtis,COL,Player,18:44,0,0,0,0,0,0,0,8,1114,747
Toews Devon,COL,Player,17:49,0,2,0,0,0,0,0,3,3708,854
Lehkonen Artturi,COL,Player,13:46,0,1,0,2,0,0,3,0,3216,1447
Newhook Alex,COL,Player,16:47,1,0,0,-1,0,1,3,2,6560,1456
Rantanen Mikko,COL,Player,14:00,1,1,0,1,0,0,2,2,5444,1683
O'Connor Logan,COL,Player,15:37,0,0,0,-2,0,0,3,3,6576,2388
Rodrigues Evan,COL,Player,14:21,1,0,0,-3,0,0,2,5,6126,2650
Manson Josh,COL,Player,20:18,0,0,0,-1,0,0,0,6,5585,3493
Compher J.T.,COL,Player,13:57,1,0,0,1,0,0,1,2,5937,3848
Hudon Charles,COL,Player,12:16,0,1,0,-2,0,0,0,1,4320,4100
Girard Samuel,COL,Player,16:20,0,0,0,-3,0,0,1,0,6118,4344
Georgiev Alexander,COL,Goalie,60:00,-,0,0,-,10,0,30,-,482,92
Johansson Jonas,COL,Goalie,00:00,-,0,0,-,0,0,0,-,956,2221
Kane Patrick,CHI,Player,20:45,0,2,0,0,0,0,6,0,5160,151
Toews Jonathan,CHI,Player,19:16,1,1,0,-1,0,0,1,0,5161,152
Johnson Jack,CHI,Player,18:38,0,1,0,2,0,0,1,2,1232,285
Jones Seth,CHI,Player,22:23,0,1,0,1,0,0,1,1,4044,424
Kurashev Philipp,CHI,Player,14:26,2,0,0,2,0,0,4,1,1698,542
Connolly Brett,CHI,Player,11:25,0,1,0,-1,0,0,1,1,2688,584
Jones Caleb,CHI,Player,18:59,0,2,0,1,0,0,1,4,2949,712
Murphy Connor,CHI,Player,25:07,0,1,0,1,0,0,1,2,289,1842
Johnson Tyler,CHI,Player,15:13,2,2,0,2,1,0,3,0,892,2411
Tinordi Jarred,CHI,Player,17:59,0,0,0,1,0,0,0,2,2087,2435
Katchouk Boris,CHI,Player,12:40,1,1,0,2,0,0,3,0,6594,2457
Raddysh Taylor,CHI,Player,13:24,1,1,0,3,0,0,1,2,6595,2458
Blackwell Colin,CHI,Player,13:47,0,2,0,3,0,0,1,1,3751,2663
McCabe Jake,CHI,Player,16:54,0,0,0,2,0,0,0,1,5306,3478
Domi Max,CHI,Player,19:54,1,1,0,0,0,0,3,1,2552,4013
Khaira Jujhar,CHI,Player,11:44,0,0,0,0,0,0,0,0,4766,4033
Athanasiou Andreas,CHI,Player,15:34,1,2,0,2,0,0,2,1,5664,4103
Dickinson Jason,CHI,Player,11:52,1,0,0,0,0,0,1,0,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,5,0,22,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
