Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Landeskog Gabriel,COL,Player,11:37,0,0,0,-2,0,0,0,1,1157,105
Nichushkin Valery,COL,Player,17:23,1,0,0,0,1,0,2,2,2145,258
Cogliano Andrew,COL,Player,12:36,2,0,0,2,0,0,2,0,5163,259
Galchenyuk Alex,COL,Player,15:17,0,1,0,2,0,0,3,0,1690,281
Johnson Erik,COL,Player,17:28,0,0,0,0,0,0,0,3,5288,544
MacKinnon Nathan,COL,Player,12:58,0,0,0,-1,0,0,0,2,3917,599
Makar Cale,COL,Player,20:20,0,0,0,-1,0,0,0,4,4146,683
MacDermid Kurtis,COL,Player,20:56,0,0,0,-1,0,0,0,4,1114,747
Toews Devon,COL,Player,15:25,0,1,0,-1,0,0,0,3,3708,854
Lehkonen Artturi,COL,Player,18:28,0,2,0,0,0,0,1,0,3216,1447
Newhook Alex,COL,Player,19:11,1,1,0,0,0,0,2,1,6560,1456
Rantanen Mikko,COL,Player,17:04,0,0,0,-1,0,0,2,2,5444,1683
O'Connor Logan,COL,Player,12:56,0,3,0,3,0,0,0,3,6576,2388
Rodrigues Evan,COL,Player,14:59,1,0,0,1,0,0,1,1,6126,2650
Matteau Stefan,COL,Player,14:39,0,0,0,2,0,0,0,1,3256,3216
Manson Josh,COL,Player,20:49,0,0,0,5,0,0,0,5,5585,3493
Compher J.T.,COL,Player,12:52,1,0,0,3,0,0,1,1,5937,3848
Girard Samuel,COL,Player,25:02,0,1,0,4,0,0,0,7,6118,4344
Georgiev Alexander,COL,Goalie,00:00,-,0,0,-,0,0,0,-,482,92
Francouz Pavel,COL,Goalie,60:00,-,1,0,-,2,0,26,-,2460,341
Addison Calen,MIN,Player,26:43,0,0,0,-1,0,0,1,8,6612,144
Boldy Matt,MIN,Player,16:27,0,0,0,-1,0,0,1,3,6613,287
Dewar Connor,MIN,Player,12:59,0,0,0,-2,0,0,0,1,6614,389
Reaves Ryan,MIN,Player,11:50,0,0,0,-3,0,0,3,1,4442,394
Eriksson Ek Joel,MIN,Player,16:26,0,1,0,0,0,0,5,1,6071,558
Hartman Ryan,MIN,Player,16:40,0,1,0,1,0,0,1,3,2648,869
Dumba Matt,MIN,Player,21:38,0,1,0,-1,0,0,0,4,4445,1196
Merrill Jon,MIN,Player,19:38,0,0,0,-2,0,0,1,6,2956,1496
Zuccarello Mats,MIN,Player,13:55,0,0,0,-1,0,0,1,2,5807,1559
Greenway Jordan,MIN,Player,15:14,0,0,0,-1,0,0,2,3,866,2130
Brodin Jonas,MIN,Player,17:32,0,0,0,0,0,0,0,2,4506,2217
Duhaime Brandon,MIN,Player,12:46,1,0,0,-2,0,1,3,2,6565,2258
Foligno Marcus,MIN,Player,19:04,1,0,0,1,0,0,1,2,579,3395
Spurgeon Jared,MIN,Player,17:12,0,0,0,-2,0,0,1,1,4407,3434
Kaprizov Kirill,MIN,Player,11:43,0,0,2,-1,0,0,1,2,1717,3774
Goligoski Alex,MIN,Player,17:17,0,0,0,0,0,0,0,7,5323,4287
Steel Sam,MIN,Player,13:55,0,0,0,-2,0,0,3,2,3212,4357
Gaudreau Frederick ,MIN,Player,14:21,0,1,0,1,0,0,2,2,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,60:00,-,0,0,-,6,0,14,-,652,508
