Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Landeskog Gabriel,COL,Player,16:30,0,0,0,-4,0,0,1,2,1157,105
Nichushkin Valery,COL,Player,13:49,0,0,0,-2,0,0,0,5,2145,258
Cogliano Andrew,COL,Player,11:37,0,2,0,1,0,0,1,0,5163,259
Galchenyuk Alex,COL,Player,17:36,1,1,0,0,0,0,2,5,1690,281
Johnson Erik,COL,Player,23:06,0,0,0,-2,0,0,0,7,5288,544
MacKinnon Nathan,COL,Player,14:58,0,0,0,-1,0,0,0,0,3917,599
Makar Cale,COL,Player,23:32,0,0,0,-2,0,0,0,3,4146,683
MacDermid Kurtis,COL,Player,16:29,0,0,0,-4,0,0,0,5,1114,747
Toews Devon,COL,Player,16:45,0,0,0,-4,0,0,0,1,3708,854
Lehkonen Artturi,COL,Player,14:55,0,0,0,-3,0,0,0,4,3216,1447
Newhook Alex,COL,Player,15:37,0,0,0,-4,0,0,1,3,6560,1456
Rantanen Mikko,COL,Player,15:31,0,0,0,-1,0,0,1,4,5444,1683
O'Connor Logan,COL,Player,10:23,1,1,0,1,0,0,1,3,6576,2388
Rodrigues Evan,COL,Player,18:55,1,1,0,0,0,0,3,1,6126,2650
Matteau Stefan,COL,Player,19:39,0,2,0,0,0,0,2,6,3256,3216
Manson Josh,COL,Player,20:25,0,0,0,2,0,0,0,6,5585,3493
Compher J.T.,COL,Player,10:30,1,1,0,1,0,0,1,0,5937,3848
Girard Samuel,COL,Player,19:43,0,0,0,2,0,0,1,5,6118,4344
Georgiev Alexander,COL,Goalie,20:00,-,0,0,-,3,0,15,-,482,92
Francouz Pavel,COL,Goalie,40:00,-,0,0,-,5,0,27,-,2460,341
Smith Brendan,NJ,Player,19:37,0,1,0,0,0,0,2,6,1851,38
Haula Erik,NJ,Player,13:26,0,1,0,0,0,0,3,0,5356,74
Sharangovich Yegor,NJ,Player,18:53,0,0,0,0,0,0,2,1,1810,200
Hamilton Dougie,NJ,Player,20:01,0,1,0,3,0,0,1,3,782,212
Zetterlund Fabian,NJ,Player,17:59,0,0,0,0,0,0,2,6,6629,375
Siegenthaler Jonas,NJ,Player,20:33,0,1,0,0,0,0,0,2,3442,512
Bratt Jesper,NJ,Player,15:07,1,2,0,3,0,0,3,1,375,636
Graves Ryan,NJ,Player,19:26,0,0,0,1,0,0,0,2,4126,684
Tatar Tomas,NJ,Player,13:25,1,0,0,0,0,0,3,0,5524,695
Marino John,NJ,Player,19:19,0,0,0,1,0,0,1,3,3769,932
Hughes Jack,NJ,Player,15:37,2,2,0,3,0,0,4,1,916,1222
Severson Damon,NJ,Player,21:04,0,1,0,3,0,0,0,3,2492,1685
Bastian Nathan,NJ,Player,13:24,1,0,0,0,0,0,4,2,6514,2063
Mercer Dawson,NJ,Player,12:36,2,0,0,1,0,0,5,4,6563,2223
Palat Ondrej,NJ,Player,16:20,1,2,0,3,0,0,6,2,2871,2416
McLeod Michael,NJ,Player,12:37,0,2,0,1,0,0,0,2,4939,3240
Wood Miles,NJ,Player,12:16,0,0,0,1,0,0,2,0,5940,4242
Hischier Nico,NJ,Player,18:20,0,0,0,0,0,0,4,0,6163,4410
Blackwood Mackenzie,NJ,Goalie,60:00,-,0,0,-,4,0,14,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
