Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Landeskog Gabriel,COL,Player,21:26,0,0,0,0,0,0,4,1,1157,105
Nichushkin Valery,COL,Player,15:52,2,0,2,1,0,0,3,2,2145,258
Cogliano Andrew,COL,Player,11:20,1,0,0,-1,0,0,1,2,5163,259
Galchenyuk Alex,COL,Player,13:45,1,1,0,-1,0,0,1,1,1690,281
Johnson Erik,COL,Player,23:52,0,0,0,1,0,0,0,4,5288,544
MacKinnon Nathan,COL,Player,19:06,0,0,0,1,0,0,5,2,3917,599
Makar Cale,COL,Player,25:06,0,0,0,1,0,0,0,4,4146,683
MacDermid Kurtis,COL,Player,21:57,0,0,0,-2,0,0,0,6,1114,747
Toews Devon,COL,Player,15:32,0,0,0,-1,0,0,0,3,3708,854
Lehkonen Artturi,COL,Player,15:02,0,0,0,-2,0,0,3,3,3216,1447
Newhook Alex,COL,Player,15:57,0,0,0,-2,0,0,3,2,6560,1456
Rantanen Mikko,COL,Player,13:08,0,1,0,1,0,0,0,1,5444,1683
O'Connor Logan,COL,Player,11:33,0,0,0,-1,0,0,1,3,6576,2388
Rodrigues Evan,COL,Player,14:24,0,2,0,1,0,0,3,2,6126,2650
Matteau Stefan,COL,Player,12:45,1,0,0,1,0,0,3,0,3256,3216
Manson Josh,COL,Player,19:41,0,0,0,0,0,0,0,3,5585,3493
Compher J.T.,COL,Player,10:41,0,0,0,-1,0,0,1,0,5937,3848
Girard Samuel,COL,Player,13:52,0,0,0,-1,0,0,0,5,6118,4344
Georgiev Alexander,COL,Goalie,60:00,-,1,0,-,7,0,42,-,482,92
Francouz Pavel,COL,Goalie,00:00,-,0,0,-,0,0,0,-,2460,341
Tkachuk Brady,OTT,Player,23:02,1,0,0,-2,0,0,7,2,4369,96
Chabot Thomas,OTT,Player,20:59,0,0,0,-2,0,0,3,5,6067,343
Batherson Drake,OTT,Player,08:43,0,1,0,1,0,0,3,0,6270,452
Sanderson Jake,OTT,Player,22:57,0,1,0,3,0,0,0,4,6626,478
Heatherington Dillon,OTT,Player,22:05,1,0,0,0,0,0,2,5,2786,805
Formenton Alex,OTT,Player,18:17,0,1,0,1,0,0,1,3,5078,965
Joseph Mathieu,OTT,Player,17:10,0,0,0,0,0,0,6,1,6178,1208
Norris Josh,OTT,Player,18:32,2,0,0,1,0,0,5,0,6533,2238
Stutzle Tim,OTT,Player,22:23,0,1,0,-2,0,0,3,0,6534,2242
Holden Nick,OTT,Player,16:12,0,0,0,2,0,0,1,3,4405,2309
Pinto Shane,OTT,Player,09:50,0,0,0,1,0,0,0,2,6587,2421
Zaitsev Nikita,OTT,Player,20:20,0,0,0,-1,0,0,0,2,2746,2442
Hamonic Travis,OTT,Player,17:27,0,0,0,0,0,0,0,1,5797,3535
DeBrincat Alex,OTT,Player,23:10,0,1,0,-2,0,0,4,2,331,3711
Motte Tyler,OTT,Player,09:46,1,1,0,2,0,0,4,1,5938,3850
Watson Austin,OTT,Player,10:02,1,0,0,2,0,0,2,0,4657,3999
Giroux Claude,OTT,Player,08:50,0,2,0,1,0,0,0,0,3923,4237
Brassard Derrick,OTT,Player,10:46,1,0,0,1,0,0,1,0,5278,4283
Forsberg Anton,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,2506,2353
Talbot Cam,OTT,Goalie,59:29,-,0,0,-,5,0,28,-,3932,3378
