Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Landeskog Gabriel,COL,Player,20:41,0,3,0,2,0,0,4,3,1157,105
Nichushkin Valery,COL,Player,11:23,0,2,0,0,0,0,2,3,2145,258
Cogliano Andrew,COL,Player,11:21,0,1,0,-2,0,0,0,2,5163,259
Galchenyuk Alex,COL,Player,16:21,1,1,0,1,0,0,2,2,1690,281
Johnson Erik,COL,Player,21:47,0,0,0,0,0,0,0,7,5288,544
MacKinnon Nathan,COL,Player,20:34,0,3,0,2,0,0,1,4,3917,599
Makar Cale,COL,Player,20:56,0,0,0,0,0,0,0,5,4146,683
MacDermid Kurtis,COL,Player,15:49,1,1,0,0,0,1,1,4,1114,747
Toews Devon,COL,Player,17:56,0,0,0,2,0,0,0,2,3708,854
Lehkonen Artturi,COL,Player,11:37,1,0,0,0,0,0,2,0,3216,1447
Newhook Alex,COL,Player,15:35,1,1,0,1,0,0,1,7,6560,1456
Rantanen Mikko,COL,Player,19:39,2,0,2,1,0,0,4,4,5444,1683
O'Connor Logan,COL,Player,12:21,1,0,0,-2,0,0,3,1,6576,2388
Rodrigues Evan,COL,Player,11:33,0,1,0,0,0,0,0,3,6126,2650
Manson Josh,COL,Player,21:45,0,0,0,2,0,0,0,6,5585,3493
Compher J.T.,COL,Player,12:18,0,1,0,-2,0,0,1,1,5937,3848
Helm Darren,COL,Player,11:37,1,1,0,1,0,0,2,3,5382,4289
Girard Samuel,COL,Player,21:47,0,1,0,-2,0,0,0,6,6118,4344
Georgiev Alexander,COL,Goalie,00:00,-,0,0,-,0,0,0,-,482,92
Francouz Pavel,COL,Goalie,60:00,-,0,0,-,7,0,31,-,2460,341
Couturier Sean,PHI,Player,19:18,0,1,0,-2,0,0,1,3,493,181
Provorov Ivan,PHI,Player,18:48,0,1,0,1,0,0,0,3,2543,183
Cates Noah,PHI,Player,11:05,1,1,0,3,0,0,2,0,6625,338
Ellis Ryan,PHI,Player,20:11,0,1,0,-2,0,0,1,3,3247,350
Konecny Travis,PHI,Player,15:24,1,0,0,-1,0,0,2,3,6068,391
Braun Justin,PHI,Player,16:50,0,0,0,1,0,0,0,3,3564,547
DeAngelo Anthony,PHI,Player,23:10,0,1,0,-1,0,0,1,4,5961,573
Sedlak Lukas,PHI,Player,15:11,1,3,0,2,0,0,5,2,6073,610
Atkinson Cam,PHI,Player,16:54,0,1,0,0,0,0,2,1,3496,733
Farabee Joel,PHI,Player,15:50,0,0,0,-3,0,0,3,0,3331,1157
Seeler Nick,PHI,Player,17:06,0,1,0,0,0,0,0,3,3217,1375
Brown Patrick,PHI,Player,11:08,0,0,0,-1,0,0,0,2,5121,1856
Laughton Scott,PHI,Player,15:36,0,0,0,-2,0,0,2,2,1055,2075
Tippett Owen,PHI,Player,11:10,0,0,0,-2,0,0,1,1,6528,2215
MacEwen Zack,PHI,Player,14:12,1,1,0,3,0,0,3,2,3423,2577
Van Riemsdyk James,PHI,Player,18:19,0,0,2,-2,0,0,2,5,2752,3033
Ristolainen Rasmus,PHI,Player,23:55,1,0,0,-1,0,0,3,3,3837,3376
Hayes Kevin,PHI,Player,15:58,2,0,0,1,0,1,3,2,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Hart Carter,PHI,Goalie,56:27,-,0,0,-,8,0,23,-,1528,1209
