Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Landeskog Gabriel,COL,Player,16:41,0,0,0,1,0,0,0,2,1157,105
Nichushkin Valery,COL,Player,19:51,1,0,0,0,1,0,3,2,2145,258
Cogliano Andrew,COL,Player,09:51,0,0,0,0,0,0,0,2,5163,259
Galchenyuk Alex,COL,Player,12:52,1,0,0,1,0,0,3,0,1690,281
Johnson Erik,COL,Player,21:15,0,0,0,1,0,0,0,1,5288,544
MacKinnon Nathan,COL,Player,20:57,0,1,0,0,0,0,2,2,3917,599
Makar Cale,COL,Player,22:33,0,0,0,0,0,0,0,6,4146,683
MacDermid Kurtis,COL,Player,19:01,0,1,0,0,0,0,0,6,1114,747
Toews Devon,COL,Player,19:32,0,1,0,1,0,0,0,8,3708,854
Lehkonen Artturi,COL,Player,15:54,1,0,0,1,0,0,3,1,3216,1447
Newhook Alex,COL,Player,17:28,1,2,0,1,0,0,6,2,6560,1456
Rantanen Mikko,COL,Player,20:29,1,0,0,0,0,0,4,7,5444,1683
O'Connor Logan,COL,Player,10:08,0,0,0,0,0,0,2,1,6576,2388
Rodrigues Evan,COL,Player,12:32,0,0,0,1,0,0,0,1,6126,2650
Matteau Stefan,COL,Player,14:14,0,1,0,1,0,0,0,2,3256,3216
Manson Josh,COL,Player,16:29,0,0,0,1,0,0,0,3,5585,3493
Compher J.T.,COL,Player,09:04,0,0,0,0,0,0,1,2,5937,3848
Girard Samuel,COL,Player,21:10,0,0,0,1,0,0,0,4,6118,4344
Georgiev Alexander,COL,Goalie,59:59,-,1,0,-,2,0,20,-,482,92
Francouz Pavel,COL,Goalie,00:00,-,0,0,-,0,0,0,-,2460,341
Karlsson Erik,SJ,Player,21:08,0,0,0,0,0,0,0,2,4017,120
Simek Radim,SJ,Player,15:48,0,0,0,-1,0,0,1,0,4584,142
Vlasic Marc-Edouard,SJ,Player,21:08,0,0,0,0,0,0,0,4,1790,545
Ferraro Mario,SJ,Player,20:01,0,0,0,0,0,0,0,1,2422,937
Gregor Noah,SJ,Player,14:03,0,0,2,-1,0,0,0,0,5027,941
Lindblom Oskar,SJ,Player,10:32,0,0,0,0,0,0,0,2,1217,1379
Sturm Nico,SJ,Player,14:06,0,0,0,-1,0,0,2,1,3343,2110
Knyzhov Nikolai,SJ,Player,17:44,0,0,0,-2,0,0,0,2,6517,2148
Barabanov Alexander,SJ,Player,14:47,1,0,0,0,0,0,3,0,3181,2162
Lorentz Steven,SJ,Player,08:55,0,0,0,0,0,0,1,1,6523,2198
Dahlen Jonathan,SJ,Player,16:08,1,0,0,-1,0,0,3,1,6591,2447
Weatherby Jasper,SJ,Player,13:20,0,0,0,-1,0,0,0,2,6592,2451
Bonino Nick,SJ,Player,17:48,0,1,0,-1,0,0,2,3,563,2862
Hertl Tomas,SJ,Player,19:20,0,1,0,0,0,0,5,3,2290,2913
Couture Logan,SJ,Player,13:44,0,1,2,-1,0,0,1,0,4370,3039
Benning Matt,SJ,Player,24:11,0,0,0,-1,0,0,0,2,6097,4305
Meier Timo,SJ,Player,18:18,0,1,0,0,0,0,2,2,6112,4332
Kunin Luke,SJ,Player,12:50,0,0,0,0,0,0,0,1,735,4448
Reimer James,SJ,Goalie,60:00,-,0,0,-,5,0,24,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
