Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Landeskog Gabriel,COL,Player,23:32,1,0,0,0,0,0,3,5,1157,105
Nichushkin Valery,COL,Player,15:55,0,1,0,-1,0,0,0,4,2145,258
Cogliano Andrew,COL,Player,07:17,0,1,0,0,0,0,1,0,5163,259
Galchenyuk Alex,COL,Player,14:23,0,0,0,0,0,0,6,0,1690,281
Johnson Erik,COL,Player,26:19,0,0,0,0,0,0,0,6,5288,544
MacKinnon Nathan,COL,Player,27:12,1,1,0,1,0,0,3,2,3917,599
Makar Cale,COL,Player,28:54,0,0,0,0,0,0,2,5,4146,683
MacDermid Kurtis,COL,Player,17:08,0,0,0,-1,0,0,0,5,1114,747
Toews Devon,COL,Player,21:23,0,0,0,-1,0,0,1,6,3708,854
Lehkonen Artturi,COL,Player,14:48,0,1,0,-1,0,0,3,2,3216,1447
Newhook Alex,COL,Player,16:06,2,0,0,-1,1,0,7,1,6560,1456
Rantanen Mikko,COL,Player,27:15,0,2,0,1,0,0,3,2,5444,1683
O'Connor Logan,COL,Player,07:51,0,0,0,-1,0,0,1,1,6576,2388
Rodrigues Evan,COL,Player,13:30,0,0,0,0,0,0,1,1,6126,2650
Manson Josh,COL,Player,17:28,0,0,0,0,0,0,0,5,5585,3493
Compher J.T.,COL,Player,08:16,0,0,0,-1,0,0,0,0,5937,3848
Helm Darren,COL,Player,13:59,0,0,0,0,0,0,1,1,5382,4289
Girard Samuel,COL,Player,18:48,0,0,0,0,0,0,0,5,6118,4344
Georgiev Alexander,COL,Goalie,39:56,-,0,0,-,3,0,14,-,482,92
Francouz Pavel,COL,Goalie,25:00,-,0,0,-,1,0,10,-,2460,341
Larsson Adam,SYR,Player,21:27,0,0,0,0,0,0,0,3,1173,75
Eberle Jordan,SYR,Player,21:48,2,0,0,1,0,0,5,2,4475,229
Wennberg Alexander,SYR,Player,13:11,0,0,2,-1,0,0,0,2,2515,302
Beniers Matty,SYR,Player,20:52,0,2,0,2,0,0,2,2,6617,430
Kuhlman Karson,SYR,Player,11:22,1,0,0,1,0,0,2,1,4123,564
Fleury Cale,SYR,Player,13:41,0,0,0,0,0,0,1,4,2328,760
Tanev  Brandon,SYR,Player,18:53,0,2,0,1,0,0,1,3,6076,851
Burakovsky Andre,SYR,Player,12:29,0,1,0,0,0,0,2,1,2514,1343
Donato Ryan,SYR,Player,16:54,0,0,0,1,0,0,3,1,4120,2119
Soucy Carson,SYR,Player,26:06,0,1,0,1,0,0,0,7,1272,2122
Schwartz Jaden,SYR,Player,13:06,1,0,0,0,0,0,4,0,4358,2157
Schultz Justin,SYR,Player,17:47,0,0,0,0,0,0,0,5,1225,2180
Oleksiak Jamie,SYR,Player,29:52,0,0,0,1,0,0,0,3,1830,2316
Bjorkstrand Oliver,SYR,Player,13:23,0,0,0,-1,0,0,1,1,2321,3595
Donskoi Joonas,SYR,Player,12:38,0,1,0,1,0,0,1,1,5758,3849
McCann Jared,SYR,Player,17:37,0,1,0,0,0,0,1,2,5577,4024
Gourde Yanni,SYR,Player,13:42,0,0,0,-2,0,0,1,0,5000,4126
Dunn Vince,SYR,Player,21:07,0,0,0,0,0,0,0,2,6197,4548
Jones Martin,SYR,Goalie,00:00,-,0,0,-,0,0,0,-,2887,710
Grubauer Philipp,SYR,Goalie,65:00,-,0,0,-,4,0,32,-,4348,2437
