Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Landeskog Gabriel,COL,Player,18:49,0,1,0,1,0,0,0,2,1157,105
Nichushkin Valery,COL,Player,12:34,0,2,0,1,0,0,0,2,2145,258
Cogliano Andrew,COL,Player,09:43,0,0,0,0,0,0,0,0,5163,259
Galchenyuk Alex,COL,Player,15:32,0,0,0,-2,0,0,1,2,1690,281
Johnson Erik,COL,Player,19:48,0,1,0,2,0,0,0,8,5288,544
MacKinnon Nathan,COL,Player,19:56,2,0,0,2,0,0,4,3,3917,599
Makar Cale,COL,Player,22:58,0,1,0,2,0,0,0,4,4146,683
MacDermid Kurtis,COL,Player,20:42,0,0,0,1,0,0,0,5,1114,747
Toews Devon,COL,Player,18:35,0,0,0,0,0,0,0,4,3708,854
Lehkonen Artturi,COL,Player,15:56,1,0,0,1,0,0,1,3,3216,1447
Newhook Alex,COL,Player,16:24,1,1,0,1,0,0,2,1,6560,1456
Rantanen Mikko,COL,Player,22:26,0,0,0,1,0,0,2,5,5444,1683
O'Connor Logan,COL,Player,10:38,0,0,0,0,0,0,0,0,6576,2388
Rodrigues Evan,COL,Player,12:35,0,0,0,-1,0,0,2,2,6126,2650
Manson Josh,COL,Player,18:28,0,0,0,-2,0,0,0,2,5585,3493
Compher J.T.,COL,Player,12:10,0,0,0,-1,0,0,0,0,5937,3848
Helm Darren,COL,Player,15:24,0,1,0,-1,0,0,3,3,5382,4289
Girard Samuel,COL,Player,21:33,0,0,0,-1,0,0,0,6,6118,4344
Georgiev Alexander,COL,Goalie,00:00,-,0,0,-,0,0,0,-,482,92
Francouz Pavel,COL,Goalie,60:59,-,0,0,-,3,0,31,-,2460,341
Maroon Patrick,TB,Player,18:02,0,0,0,-1,0,0,5,3,969,4
Perry Corey,TB,Player,16:02,0,0,0,0,0,0,5,0,3400,19
Hagel Brandon,TB,Player,03:58,0,1,0,1,0,0,0,1,6555,106
Balcers Rudolfs,TB,Player,19:55,1,0,0,-1,0,0,2,0,6256,444
Point Brayden,TB,Player,11:15,0,0,0,-1,0,0,1,2,6070,521
Kucherov Nikita,TB,Player,20:56,0,1,2,-2,0,0,1,2,538,623
Myers Philippe,TB,Player,17:43,0,0,0,0,0,0,0,4,1875,762
Fleury Haydn,TB,Player,17:10,0,0,0,0,0,0,0,1,614,1400
Hedman Victor,TB,Player,23:46,0,0,0,-1,0,0,0,0,5416,1558
Killorn Alex,TB,Player,18:05,0,1,0,1,0,0,1,1,1170,2413
Colton Ross,TB,Player,17:41,0,0,0,1,0,0,4,2,6593,2456
Cirelli Anthony,TB,Player,13:04,0,0,0,-1,0,0,2,0,3041,2839
Namestnikov Vladislav,TB,Player,06:00,2,0,0,2,0,0,3,1,3844,3132
Stamkos Steven,TB,Player,26:35,0,1,0,-2,0,0,5,3,240,3254
Sergachyov Mikhail,TB,Player,20:06,0,0,0,0,0,0,0,6,5971,3477
Bellemare Pierre-Edouard,TB,Player,05:31,0,0,0,1,0,0,2,0,979,3518
Cole Ian,TB,Player,23:51,0,0,0,-1,0,0,0,5,1833,3554
Cernak Erik,TB,Player,19:28,0,1,0,0,0,0,0,3,6198,4549
Vasilevsky Andrei,TB,Goalie,61:02,-,1,0,-,4,0,15,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
