Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Landeskog Gabriel,COL,Player,23:17,1,0,0,-4,0,0,5,6,1157,105
Nichushkin Valery,COL,Player,13:17,1,1,0,2,0,0,2,2,2145,258
Cogliano Andrew,COL,Player,11:12,0,0,0,-2,0,0,1,3,5163,259
Galchenyuk Alex,COL,Player,14:22,1,0,2,0,0,0,6,7,1690,281
Johnson Erik,COL,Player,20:17,0,0,0,-5,0,0,0,9,5288,544
MacKinnon Nathan,COL,Player,20:21,0,1,0,-4,0,0,1,5,3917,599
Makar Cale,COL,Player,16:56,0,0,0,-4,0,0,0,5,4146,683
MacDermid Kurtis,COL,Player,22:58,0,0,0,4,0,0,0,9,1114,747
Toews Devon,COL,Player,17:29,0,1,0,3,0,0,0,6,3708,854
Lehkonen Artturi,COL,Player,14:57,0,2,0,2,0,0,3,3,3216,1447
Newhook Alex,COL,Player,15:06,2,0,0,2,0,0,2,1,6560,1456
Rantanen Mikko,COL,Player,16:11,0,2,0,-4,0,0,0,2,5444,1683
O'Connor Logan,COL,Player,11:48,0,0,0,-2,0,0,1,1,6576,2388
Rodrigues Evan,COL,Player,12:27,0,1,0,0,0,0,0,1,6126,2650
Manson Josh,COL,Player,24:59,0,0,0,-3,0,0,0,9,5585,3493
Compher J.T.,COL,Player,10:56,0,0,0,-2,0,0,1,2,5937,3848
Helm Darren,COL,Player,11:12,0,0,0,0,0,0,1,2,5382,4289
Girard Samuel,COL,Player,17:21,0,0,0,-3,0,0,0,7,6118,4344
Georgiev Alexander,COL,Goalie,00:00,-,0,0,-,0,0,0,-,482,92
Francouz Pavel,COL,Goalie,59:54,-,0,0,-,9,0,27,-,2460,341
Marner Mitchell,TOR,Player,22:41,1,1,0,3,0,0,5,1,6033,348
Sandin Rasmus,TOR,Player,15:45,0,0,0,-3,0,0,1,3,1924,602
Nylander William,TOR,Player,11:53,0,1,0,-3,0,0,0,1,1498,646
Engvall Pierre,TOR,Player,16:25,1,3,0,4,0,0,2,0,3511,947
Liljegren Timothy,TOR,Player,25:53,0,2,0,4,0,0,0,5,5449,953
Kampf David,TOR,Player,16:20,2,1,0,3,0,0,5,1,6153,1102
Muzzin Jake,TOR,Player,15:49,0,1,0,-4,0,0,2,3,2862,1186
Simmonds Wayne,TOR,Player,08:54,0,0,0,0,0,0,0,0,3263,1200
Rielly Morgan,TOR,Player,25:40,0,1,0,4,0,0,0,1,5557,2086
Aston-Reese Zach,TOR,Player,08:48,0,1,0,0,0,0,1,0,4927,2274
Gaudette Adam,TOR,Player,08:01,1,0,0,0,0,0,1,1,1194,2383
Jarnkrok Calle,TOR,Player,16:32,1,2,0,4,0,0,1,0,459,2396
Bunting Michael,TOR,Player,22:29,2,0,0,3,0,0,3,0,6597,2463
Brodie T.J.,TOR,Player,18:22,0,0,0,3,0,0,0,1,1063,2864
Giordano Mark,TOR,Player,18:31,0,1,0,4,0,0,1,2,3327,2964
Tavares John,TOR,Player,12:17,1,1,0,-2,0,0,1,1,719,3008
Matthews Auston,TOR,Player,23:22,0,3,0,3,0,0,2,2,3082,3250
Kerfoot Alex,TOR,Player,12:18,0,0,0,-3,0,0,2,0,6186,4530
Samsonov Ilya,TOR,Goalie,60:00,-,0,0,-,5,0,23,-,2218,1291
Murray Matt,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,5043,4111
