Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Landeskog Gabriel,COL,Player,16:54,0,1,0,0,0,0,1,2,1157,105
Nichushkin Valery,COL,Player,09:51,1,0,0,0,0,0,1,3,2145,258
Cogliano Andrew,COL,Player,11:46,0,0,0,0,0,0,0,4,5163,259
Galchenyuk Alex,COL,Player,20:59,0,1,0,0,0,0,0,7,1690,281
Johnson Erik,COL,Player,23:57,0,0,0,-1,0,0,0,7,5288,544
MacKinnon Nathan,COL,Player,17:01,2,0,0,0,0,1,3,4,3917,599
Makar Cale,COL,Player,21:02,0,1,0,-2,0,0,0,9,4146,683
MacDermid Kurtis,COL,Player,20:10,0,0,0,1,0,0,0,9,1114,747
Toews Devon,COL,Player,16:32,0,0,2,1,0,0,0,5,3708,854
Lehkonen Artturi,COL,Player,12:16,0,1,2,0,0,0,2,3,3216,1447
Newhook Alex,COL,Player,18:54,1,1,0,2,0,0,4,1,6560,1456
Rantanen Mikko,COL,Player,15:16,0,1,0,-1,0,0,0,2,5444,1683
O'Connor Logan,COL,Player,09:46,0,0,2,0,0,0,0,1,6576,2388
Rodrigues Evan,COL,Player,11:57,1,0,0,-1,0,0,1,2,6126,2650
Manson Josh,COL,Player,19:57,0,1,0,1,0,0,0,7,5585,3493
Compher J.T.,COL,Player,12:09,0,0,0,0,0,0,0,0,5937,3848
Helm Darren,COL,Player,12:40,0,0,0,0,0,0,0,3,5382,4289
Girard Samuel,COL,Player,18:22,0,0,0,0,0,0,0,6,6118,4344
Georgiev Alexander,COL,Goalie,60:00,-,0,0,-,6,0,27,-,482,92
Francouz Pavel,COL,Goalie,00:00,-,0,0,-,0,0,0,-,2460,341
Ferland Michael,VAN,Player,13:15,0,0,0,-1,0,0,0,0,623,83
Horvat Bo,VAN,Player,18:59,1,0,0,1,0,0,3,3,2502,104
Ekman-Larsson Oliver,VAN,Player,21:33,0,1,0,1,0,0,0,3,2592,139
Garland Conor,VAN,Player,15:37,0,0,0,-2,0,0,2,0,2704,520
Poolman Tucker,VAN,Player,10:55,0,0,0,-1,0,0,0,5,6203,574
Highmore Matthew,VAN,Player,13:10,0,0,0,-1,0,0,2,1,1472,665
Stillman Riley,VAN,Player,10:54,0,0,0,-2,0,0,0,2,4268,719
Hughes Quinton,VAN,Player,21:33,0,0,0,0,0,0,1,2,1188,1210
Podkolzin Vasili,VAN,Player,14:43,0,1,0,1,0,0,4,0,5788,1577
Lazar Curtis,VAN,Player,07:19,0,0,0,-1,0,0,1,0,2496,2115
Miller J.T.,VAN,Player,20:32,1,2,0,1,1,0,5,4,3233,2378
Pettersson Elias,VAN,Player,20:32,0,3,0,1,0,0,1,0,6254,2525
Kuzmenko Andrei,VAN,Player,18:52,1,0,0,1,1,0,4,3,2462,2782
Myers Tyler,VAN,Player,27:32,0,1,0,1,0,0,0,2,1127,2893
Schenn Luke,VAN,Player,27:33,0,1,0,1,0,0,1,7,237,3199
Pearson Tanner,VAN,Player,07:54,0,0,0,-1,0,0,0,0,3944,3524
Mikheyev Ilya,VAN,Player,12:42,0,0,0,-1,0,0,0,1,4751,3929
Boeser Brock,VAN,Player,16:25,3,1,0,2,0,0,3,2,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,1,0,-,5,0,12,-,5939,4241
