Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Landeskog Gabriel,COL,Player,21:56,1,1,0,0,0,0,1,3,1157,105
Nichushkin Valery,COL,Player,17:08,1,1,0,1,0,0,1,1,2145,258
Cogliano Andrew,COL,Player,07:53,0,2,0,1,0,0,0,0,5163,259
Galchenyuk Alex,COL,Player,13:08,0,0,0,-1,0,0,0,2,1690,281
Johnson Erik,COL,Player,16:17,0,0,0,0,0,0,0,2,5288,544
MacKinnon Nathan,COL,Player,21:40,0,1,0,1,0,0,1,5,3917,599
Makar Cale,COL,Player,20:58,0,0,0,1,0,0,0,4,4146,683
MacDermid Kurtis,COL,Player,20:19,0,2,0,-1,0,0,0,2,1114,747
Toews Devon,COL,Player,24:26,0,1,0,-1,0,0,0,4,3708,854
Lehkonen Artturi,COL,Player,17:34,0,0,0,0,0,0,1,1,3216,1447
Newhook Alex,COL,Player,18:21,1,2,0,1,0,0,1,2,6560,1456
Rantanen Mikko,COL,Player,20:49,2,0,0,-1,1,0,6,2,5444,1683
O'Connor Logan,COL,Player,07:22,1,1,0,1,0,0,2,2,6576,2388
Rodrigues Evan,COL,Player,14:28,0,0,0,-2,0,0,0,1,6126,2650
Matteau Stefan,COL,Player,14:10,0,0,0,-1,0,0,0,3,3256,3216
Manson Josh,COL,Player,18:15,0,1,0,1,0,0,0,5,5585,3493
Compher J.T.,COL,Player,05:38,0,0,0,0,0,0,1,1,5937,3848
Girard Samuel,COL,Player,19:45,0,0,0,0,0,0,0,4,6118,4344
Georgiev Alexander,COL,Goalie,39:53,-,0,0,-,2,0,14,-,482,92
Francouz Pavel,COL,Goalie,20:00,-,0,0,-,3,0,8,-,2460,341
Ovechkin Alexander,WSH,Player,14:45,1,0,0,0,0,0,3,1,3392,650
Backstrom Nicklas,WSH,Player,19:50,0,1,0,1,0,0,2,1,3066,654
Gustafsson Erik,WSH,Player,24:50,0,0,0,1,0,0,0,6,5592,1753
Milano Sonny,WSH,Player,14:29,0,0,0,1,0,0,1,2,5124,1863
Strome Dylan,WSH,Player,14:26,1,0,0,-2,0,0,2,2,1508,1925
Wilson Tom,WSH,Player,20:24,1,0,0,1,0,0,3,2,3194,2128
Irwin Matthew,WSH,Player,26:13,0,1,0,1,0,0,0,5,3503,2183
Fehervary Martin,WSH,Player,17:09,0,1,0,-1,0,0,0,5,6598,2464
Aube-Kubel Nicolas,WSH,Player,07:36,0,2,0,1,0,0,0,1,3774,2530
Mantha Anthony,WSH,Player,16:07,0,0,0,-2,0,0,1,2,5548,2690
Kuznetsov Evgeny,WSH,Player,18:40,0,1,0,-1,0,0,3,4,4336,2909
Eller Lars,WSH,Player,10:08,1,1,2,1,0,0,2,1,4321,3035
Carlson John,WSH,Player,18:18,0,0,0,0,0,0,0,3,4455,3124
Oshie T.J.,WSH,Player,15:25,0,0,2,0,0,0,1,1,5408,3212
Orlov Dmitry,WSH,Player,18:18,0,0,2,0,0,0,0,6,1905,3776
Sheary Conor,WSH,Player,15:28,0,1,0,-1,0,0,3,1,648,4142
Brown Connor,WSH,Player,06:30,1,0,0,1,0,0,1,0,2847,4166
Jensen Nick,WSH,Player,15:12,0,0,0,-1,0,0,0,1,4071,4325
Lindgren Charlie,WSH,Goalie,60:00,-,0,0,-,6,0,14,-,6083,236
Kuemper Darcy,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,2785,429
