Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Johnston Wyatt,DAL,Player,12:27,0,0,0,-1,0,0,1,1,6609,195
Benn Jamie,DAL,Player,19:19,0,0,0,-2,0,0,0,2,3078,215
Suter Ryan,DAL,Player,19:54,0,0,0,-2,0,0,0,3,3444,362
Heiskanen Miro,DAL,Player,24:43,0,0,0,-2,0,0,0,3,825,505
Seguin Tyler,DAL,Player,16:01,0,0,0,-2,0,0,1,0,3529,541
Guryanov Denis,DAL,Player,10:38,0,0,0,-2,0,0,0,0,2137,600
Caamano Nicholas,DAL,Player,12:38,0,0,0,-1,0,0,2,2,1383,691
Robertson Jason,DAL,Player,17:18,0,0,0,-2,0,0,4,0,6511,1107
Kiviranta Joel,DAL,Player,14:41,0,0,0,-1,0,0,1,3,1746,1247
Hakanpaa Jani,DAL,Player,25:57,0,0,0,-2,0,0,0,4,3629,1606
Hintz Roope,DAL,Player,16:59,0,0,0,-2,0,0,2,0,4787,1720
Aho Sebastian,DAL,Player,19:19,0,0,0,-2,0,0,2,1,"",1908
Faksa Radek,DAL,Player,13:57,0,0,0,0,0,0,0,4,1664,2024
Dellandrea Ty,DAL,Player,12:13,0,0,0,0,0,0,2,1,5062,2211
Lundkvist Nils,DAL,Player,18:02,0,0,0,-1,0,0,0,3,6586,2420
Marchment Mason,DAL,Player,14:30,0,0,0,0,0,0,2,3,1942,2629
Hanley Joel,DAL,Player,16:15,0,0,0,-2,0,0,0,4,5563,2691
Lindell Esa,DAL,Player,15:09,0,0,0,-1,0,0,0,4,1621,3674
Oettinger Jake,DAL,Goalie,60:00,-,0,0,-,5,0,26,-,4561,2591
Holtby Braden,DAL,Goalie,00:00,-,0,0,-,0,0,0,-,2423,3670
Pacioretty Max,ATL,Player,21:52,1,0,0,2,0,0,2,2,762,42
Ehlers Nikolaj,ATL,Player,17:00,0,0,0,2,0,0,0,0,4141,257
Harkins Jansen,ATL,Player,09:25,0,1,0,1,0,0,2,1,2944,569
Scheifele Mark,ATL,Player,19:10,1,0,0,2,0,0,2,2,5341,581
Lowry Adam,ATL,Player,15:12,0,0,0,1,0,0,1,0,2504,624
Stenlund Kevin,ATL,Player,10:47,1,0,0,1,0,0,1,0,6164,660
Barron Morgan,ATL,Player,09:45,0,0,0,0,0,0,3,2,6631,708
Morrissey Josh,ATL,Player,21:12,0,2,0,2,0,0,1,1,6077,878
Skeji Brady,ATL,Player,21:35,0,1,0,2,0,0,1,3,1132,1228
Stanley Logan,ATL,Player,25:26,0,0,0,2,0,0,0,3,6539,2259
Pionk Neal,ATL,Player,18:36,0,1,0,2,0,0,1,2,2102,2267
Veleno Joe,ATL,Player,10:57,0,0,0,0,0,0,5,0,5059,2363
Raymond Lucas,ATL,Player,16:28,0,1,0,2,0,0,0,2,6568,2364
Pysyk Mark,ATL,Player,17:21,0,0,2,1,0,0,0,2,4406,2433
Perfetti Cole,ATL,Player,15:39,1,1,0,2,0,0,2,1,6602,2495
Pettersson Elias,ATL,Player,16:32,1,1,0,2,0,0,5,0,6254,2525
Beaulieu Nathan,ATL,Player,18:09,0,0,0,1,0,0,0,3,4220,3179
Appleton Mason,ATL,Player,09:55,0,0,0,0,0,0,0,0,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,0,0,-,0,0,17,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
