Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Johnston Wyatt,DAL,Player,12:14,0,0,0,0,0,0,1,1,6609,195
Benn Jamie,DAL,Player,15:38,0,0,0,-1,0,0,0,0,3078,215
Suter Ryan,DAL,Player,22:32,0,0,0,-2,0,0,2,3,3444,362
Heiskanen Miro,DAL,Player,24:02,0,1,0,0,0,0,1,6,825,505
Seguin Tyler,DAL,Player,19:25,0,0,0,-2,0,0,0,1,3529,541
Guryanov Denis,DAL,Player,16:15,0,0,0,-2,0,0,0,0,2137,600
Caamano Nicholas,DAL,Player,12:58,0,0,0,0,0,0,2,1,1383,691
Robertson Jason,DAL,Player,15:38,0,0,0,-1,0,0,0,0,6511,1107
Kiviranta Joel,DAL,Player,13:26,0,1,0,1,0,0,2,1,1746,1247
Hakanpaa Jani,DAL,Player,23:28,0,0,0,0,0,0,0,6,3629,1606
Hintz Roope,DAL,Player,17:37,0,0,0,-2,0,0,2,3,4787,1720
Aho Sebastian,DAL,Player,15:28,0,0,0,-1,0,0,1,1,4038,1908
Faksa Radek,DAL,Player,14:15,1,0,0,1,0,0,3,1,1664,2024
Dellandrea Ty,DAL,Player,12:53,0,0,0,1,0,0,2,0,5062,2211
Lundkvist Nils,DAL,Player,16:57,0,0,0,0,0,0,0,3,6586,2420
Marchment Mason,DAL,Player,14:13,0,0,0,0,0,0,2,1,1942,2629
Hanley Joel,DAL,Player,18:27,0,0,0,-2,0,0,0,3,5563,2691
Lindell Esa,DAL,Player,14:34,0,0,0,0,0,0,0,2,1621,3674
Oettinger Jake,DAL,Goalie,60:00,-,0,0,-,3,0,18,-,4561,2591
Holtby Braden,DAL,Goalie,00:00,-,0,0,-,0,0,0,-,2423,3670
Kane Patrick,CHI,Player,14:40,1,0,0,1,0,0,1,0,5160,151
Toews Jonathan,CHI,Player,17:19,0,1,0,1,0,0,3,2,5161,152
Johnson Jack,CHI,Player,13:15,0,0,0,0,0,0,0,2,1232,285
Jones Seth,CHI,Player,25:08,0,0,2,0,0,0,0,5,4044,424
Kurashev Philipp,CHI,Player,14:45,0,0,0,0,0,0,2,1,1698,542
Connolly Brett,CHI,Player,09:26,0,0,0,-1,0,0,0,0,2688,584
Jones Caleb,CHI,Player,17:53,0,0,0,2,0,0,0,5,2949,712
Murphy Connor,CHI,Player,29:05,0,1,0,0,0,0,1,5,289,1842
Johnson Tyler,CHI,Player,17:25,0,0,0,2,0,0,1,0,892,2411
Tinordi Jarred,CHI,Player,15:09,0,0,0,0,0,0,2,4,2087,2435
Katchouk Boris,CHI,Player,12:24,0,0,0,0,0,0,0,0,6594,2457
Raddysh Taylor,CHI,Player,18:30,1,1,0,2,0,0,2,1,6595,2458
Blackwell Colin,CHI,Player,15:51,0,0,0,0,0,0,0,2,3751,2663
McCabe Jake,CHI,Player,20:11,0,0,0,2,0,0,0,5,5306,3478
Domi Max,CHI,Player,16:29,0,0,0,1,0,0,2,2,2552,4013
Khaira Jujhar,CHI,Player,10:15,0,0,0,-1,0,0,0,0,4766,4033
Athanasiou Andreas,CHI,Player,18:54,1,1,0,2,0,0,3,2,5664,4103
Dickinson Jason,CHI,Player,09:37,0,0,0,-1,0,0,1,1,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,1,0,18,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
