Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Johnston Wyatt,DAL,Player,13:31,1,1,0,2,0,0,1,0,6609,195
Benn Jamie,DAL,Player,15:29,0,0,0,-2,0,0,3,1,3078,215
Suter Ryan,DAL,Player,17:06,0,0,0,-2,0,0,1,3,3444,362
Heiskanen Miro,DAL,Player,23:51,0,0,0,-3,0,0,0,4,825,505
Seguin Tyler,DAL,Player,17:32,0,0,0,-2,0,0,5,3,3529,541
Pavelski Joe,DAL,Player,16:12,0,0,0,-2,0,0,5,1,1826,546
Guryanov Denis,DAL,Player,17:56,0,0,0,-2,0,0,2,0,2137,600
Caamano Nicholas,DAL,Player,13:56,1,2,0,2,0,0,1,1,1383,691
Robertson Jason,DAL,Player,15:18,0,0,0,-2,0,0,0,1,6511,1107
Kiviranta Joel,DAL,Player,12:55,0,0,0,-1,0,0,4,1,1746,1247
Hakanpaa Jani,DAL,Player,23:40,0,0,0,-3,0,0,1,3,3629,1606
Hintz Roope,DAL,Player,18:39,0,0,0,-2,0,0,1,2,4787,1720
Faksa Radek,DAL,Player,12:50,0,0,0,-1,0,0,0,1,1664,2024
Dellandrea Ty,DAL,Player,13:12,0,0,0,-1,0,0,2,2,5062,2211
Lundkvist Nils,DAL,Player,19:03,0,0,0,2,0,0,0,3,6586,2420
Marchment Mason,DAL,Player,12:57,1,1,0,2,0,0,2,0,1942,2629
Hanley Joel,DAL,Player,17:54,0,0,0,-2,0,0,1,5,5563,2691
Lindell Esa,DAL,Player,18:26,0,0,0,2,0,0,0,6,1621,3674
Oettinger Jake,DAL,Goalie,59:33,-,0,0,-,5,1,18,-,4561,2591
Holtby Braden,DAL,Goalie,00:00,-,0,0,-,0,0,0,-,2423,3670
Landeskog Gabriel,COL,Player,20:14,2,1,0,3,0,0,4,0,1157,105
Nichushkin Valery,COL,Player,15:55,0,1,0,1,0,0,3,4,2145,258
Cogliano Andrew,COL,Player,11:20,0,1,0,-1,0,0,0,2,5163,259
Galchenyuk Alex,COL,Player,12:11,0,0,0,0,0,0,1,3,1690,281
Johnson Erik,COL,Player,21:57,1,0,0,4,0,0,1,6,5288,544
MacKinnon Nathan,COL,Player,19:33,1,1,0,3,0,0,1,3,3917,599
Makar Cale,COL,Player,21:51,0,1,0,4,0,0,0,6,4146,683
MacDermid Kurtis,COL,Player,15:36,0,0,0,1,0,0,0,4,1114,747
Toews Devon,COL,Player,15:33,0,0,0,1,0,0,1,3,3708,854
Lehkonen Artturi,COL,Player,16:15,0,1,0,1,0,0,1,3,3216,1447
Newhook Alex,COL,Player,15:58,1,0,0,1,0,0,2,3,6560,1456
Rantanen Mikko,COL,Player,20:16,0,3,0,3,0,0,3,3,5444,1683
O'Connor Logan,COL,Player,11:16,1,0,0,-1,0,0,1,0,6576,2388
Rodrigues Evan,COL,Player,12:45,0,0,0,0,0,0,0,2,6126,2650
Manson Josh,COL,Player,22:27,0,0,0,-2,0,0,0,8,5585,3493
Compher J.T.,COL,Player,11:44,0,1,0,-1,0,0,0,1,5937,3848
Helm Darren,COL,Player,12:33,0,0,0,0,0,0,1,2,5382,4289
Girard Samuel,COL,Player,22:36,0,0,0,-2,0,0,0,3,6118,4344
Georgiev Alexander,COL,Goalie,00:00,-,0,0,-,0,0,0,-,482,92
Francouz Pavel,COL,Goalie,60:00,-,0,0,-,3,0,29,-,2460,341
