Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Johnston Wyatt,DAL,Player,12:19,0,0,0,-1,0,0,0,1,6609,195
Benn Jamie,DAL,Player,17:05,0,0,0,-1,0,0,2,1,3078,215
Suter Ryan,DAL,Player,19:03,0,0,0,-3,0,0,0,6,3444,362
Heiskanen Miro,DAL,Player,21:19,0,0,0,1,0,0,0,3,825,505
Seguin Tyler,DAL,Player,17:57,0,0,0,-2,0,0,4,2,3529,541
Pavelski Joe,DAL,Player,11:05,0,0,0,-2,0,0,1,0,1826,546
Guryanov Denis,DAL,Player,13:22,0,0,0,-3,0,0,1,1,2137,600
Caamano Nicholas,DAL,Player,11:44,0,1,2,0,0,0,2,2,1383,691
Robertson Jason,DAL,Player,11:32,0,0,0,-1,0,0,1,1,6511,1107
Kiviranta Joel,DAL,Player,12:04,1,0,0,1,0,0,2,0,1746,1247
Hakanpaa Jani,DAL,Player,24:16,0,1,0,-1,0,0,0,3,3629,1606
Hintz Roope,DAL,Player,15:42,0,0,0,-2,0,0,0,0,4787,1720
Faksa Radek,DAL,Player,18:46,1,1,0,2,0,0,3,2,1664,2024
Dellandrea Ty,DAL,Player,13:44,0,0,0,1,0,0,1,1,5062,2211
Lundkvist Nils,DAL,Player,21:47,0,0,0,-1,0,0,0,9,6586,2420
Marchment Mason,DAL,Player,18:16,0,0,0,-1,0,0,0,2,1942,2629
Hanley Joel,DAL,Player,18:57,0,0,0,-2,0,0,1,5,5563,2691
Lindell Esa,DAL,Player,14:38,0,1,0,0,0,0,2,1,1621,3674
Oettinger Jake,DAL,Goalie,59:57,-,0,4,-,7,0,38,-,4561,2591
Holtby Braden,DAL,Goalie,00:00,-,0,0,-,0,0,0,-,2423,3670
Tkachuk Brady,OTT,Player,15:11,2,1,2,2,0,0,5,0,4369,96
Chabot Thomas,OTT,Player,18:50,0,0,0,3,0,0,0,4,6067,343
Batherson Drake,OTT,Player,19:10,0,0,0,1,0,0,5,1,6270,452
Sanderson Jake,OTT,Player,20:24,0,0,0,0,0,0,0,2,6626,478
Formenton Alex,OTT,Player,10:12,0,1,0,1,0,0,2,0,5078,965
Joseph Mathieu,OTT,Player,11:07,0,0,0,1,0,0,4,1,6178,1208
Zub Artyom,OTT,Player,30:06,0,2,0,-1,0,0,0,2,5298,2138
Norris Josh,OTT,Player,17:56,1,0,0,1,0,0,3,2,6533,2238
Stutzle Tim,OTT,Player,14:16,2,1,0,2,2,0,8,4,6534,2242
Holden Nick,OTT,Player,25:45,0,0,0,1,0,0,0,4,4405,2309
Pinto Shane,OTT,Player,10:01,0,0,0,-1,0,0,2,2,6587,2421
Zaitsev Nikita,OTT,Player,16:28,0,0,0,2,0,0,0,2,2746,2442
Hamonic Travis,OTT,Player,08:27,0,0,0,1,0,0,0,3,5797,3535
DeBrincat Alex,OTT,Player,14:17,1,2,0,2,0,0,3,2,331,3711
Motte Tyler,OTT,Player,18:14,1,0,0,1,0,0,3,2,5938,3850
Watson Austin,OTT,Player,16:49,0,0,0,-1,0,0,1,1,4657,3999
Giroux Claude,OTT,Player,17:39,0,1,0,1,0,0,1,0,3923,4237
Brassard Derrick,OTT,Player,10:09,0,0,0,-1,0,0,1,0,5278,4283
Forsberg Anton,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,2506,2353
Talbot Cam,OTT,Goalie,60:00,-,1,0,-,2,0,20,-,3932,3378
