Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Johnston Wyatt,DAL,Player,14:22,0,1,0,0,0,0,1,2,6609,195
Benn Jamie,DAL,Player,16:46,0,0,0,-1,0,0,3,3,3078,215
Suter Ryan,DAL,Player,22:39,0,0,0,-1,0,0,0,4,3444,362
Heiskanen Miro,DAL,Player,16:15,0,0,0,-2,0,0,0,5,825,505
Seguin Tyler,DAL,Player,16:37,0,1,0,-2,0,0,2,1,3529,541
Pavelski Joe,DAL,Player,15:55,0,0,0,-1,0,0,1,2,1826,546
Guryanov Denis,DAL,Player,13:01,0,1,0,-2,0,0,0,1,2137,600
Caamano Nicholas,DAL,Player,13:22,1,0,0,0,0,0,2,2,1383,691
Robertson Jason,DAL,Player,19:25,0,0,0,-1,0,0,0,1,6511,1107
Kiviranta Joel,DAL,Player,11:17,1,0,0,0,0,0,1,1,1746,1247
Hakanpaa Jani,DAL,Player,17:48,0,0,0,-2,0,0,1,1,3629,1606
Hintz Roope,DAL,Player,16:29,1,0,0,-2,0,0,2,2,4787,1720
Faksa Radek,DAL,Player,14:12,0,1,0,0,0,0,0,0,1664,2024
Dellandrea Ty,DAL,Player,13:18,0,1,0,0,0,0,2,2,5062,2211
Lundkvist Nils,DAL,Player,21:06,0,0,0,0,0,0,0,7,6586,2420
Marchment Mason,DAL,Player,15:28,0,1,0,0,0,0,0,1,1942,2629
Hanley Joel,DAL,Player,22:46,0,0,0,-1,0,0,0,4,5563,2691
Lindell Esa,DAL,Player,19:26,0,0,0,0,0,0,0,5,1621,3674
Oettinger Jake,DAL,Goalie,59:48,-,0,0,-,5,1,36,-,4561,2591
Holtby Braden,DAL,Goalie,00:00,-,0,0,-,0,0,0,-,2423,3670
Ferland Michael,VAN,Player,15:05,0,0,0,-1,0,0,4,2,623,83
Horvat Bo,VAN,Player,15:02,1,0,0,1,0,0,8,0,2502,104
Ekman-Larsson Oliver,VAN,Player,14:39,0,0,0,2,0,0,0,1,2592,139
Garland Conor,VAN,Player,16:07,0,0,0,0,0,0,5,1,2704,520
Poolman Tucker,VAN,Player,25:03,0,0,0,-1,0,0,1,2,6203,574
Highmore Matthew,VAN,Player,13:56,0,0,0,-1,0,0,1,1,1472,665
Stillman Riley,VAN,Player,25:06,0,0,0,-1,0,0,1,4,4268,719
Hughes Quinton,VAN,Player,14:42,0,0,0,3,0,0,0,1,1188,1210
Podkolzin Vasili,VAN,Player,14:06,1,0,0,1,0,0,2,1,5788,1577
Lazar Curtis,VAN,Player,16:20,0,1,0,0,0,0,1,3,2496,2115
Miller J.T.,VAN,Player,14:42,1,1,0,3,0,0,3,0,3233,2378
Pettersson Elias,VAN,Player,14:42,0,3,0,3,0,0,2,1,6254,2525
Kuzmenko Andrei,VAN,Player,14:33,0,1,0,1,0,0,0,0,2462,2782
Myers Tyler,VAN,Player,20:15,0,1,0,1,0,0,1,2,1127,2893
Schenn Luke,VAN,Player,20:15,0,1,0,2,0,0,0,6,237,3199
Pearson Tanner,VAN,Player,16:08,1,0,0,0,0,0,3,1,3944,3524
Mikheyev Ilya,VAN,Player,14:37,0,0,0,-1,0,0,2,1,4751,3929
Boeser Brock,VAN,Player,14:42,2,1,0,3,0,0,3,0,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,0,0,-,3,0,15,-,5939,4241
