Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Hronek Filip,DET,Player,29:21,0,1,0,1,0,0,0,7,6228,9
Copp Andy,DET,Player,14:54,0,0,0,-1,0,0,2,1,4865,103
Berggren Jonatan,DET,Player,13:41,0,0,0,1,0,0,0,2,6610,292
Hagg Robert,DET,Player,17:45,0,1,0,0,0,0,0,0,2110,400
Kubalik Dominik,DET,Player,17:25,0,0,2,0,0,0,2,2,6156,522
Perron David,DET,Player,18:14,1,0,0,1,0,1,1,2,5165,543
Seider Moritz,DET,Player,21:47,0,0,0,1,0,0,1,7,1948,645
Luff Matt,DET,Player,08:40,1,0,0,1,0,0,1,0,5233,738
Czarnik  Austin,DET,Player,11:16,0,2,0,3,0,0,1,0,6079,1022
Maatta Olli,DET,Player,22:47,0,0,2,-1,0,0,0,9,2735,1899
Raymond Lucas,DET,Player,18:31,0,0,0,-2,0,0,2,4,6568,2364
Oesterle Jordan,DET,Player,12:28,0,0,0,1,0,0,0,3,3157,2845
Chiarot Ben,DET,Player,16:15,0,1,0,2,0,0,0,4,2315,3069
Larkin Dylan,DET,Player,15:18,1,0,0,-1,0,0,3,2,5774,3165
Fabbri Robby,DET,Player,14:50,1,0,0,2,0,0,3,3,5090,4016
Bertuzzi Tyler,DET,Player,18:30,0,0,0,-2,0,0,1,2,328,4304
Vrana Jakub,DET,Player,08:44,0,1,0,1,0,0,1,1,6115,4338
Erne Adam,DET,Player,14:07,1,1,0,2,0,0,1,1,6139,4341
Husso Ville,DET,Goalie,60:00,-,0,0,-,4,0,34,-,4982,1743
Nedeljkovic Alex,DET,Goalie,00:00,-,0,0,-,0,0,0,-,6579,2397
Ehlers Nikolaj,ATL,Player,13:05,1,0,0,1,0,0,2,3,4141,257
Gagner Sam,ATL,Player,05:59,0,0,0,-1,0,0,3,0,5164,260
Wheeler Blake,ATL,Player,24:41,0,2,0,0,0,0,5,0,206,404
Harkins Jansen,ATL,Player,05:44,0,0,0,-1,0,0,1,0,2944,569
Scheifele Mark,ATL,Player,18:37,1,1,0,1,1,0,1,0,5341,581
Lowry Adam,ATL,Player,12:16,0,0,0,-1,0,0,3,2,2504,624
Stenlund Kevin,ATL,Player,14:59,0,0,0,-2,0,0,2,2,6164,660
Barron Morgan,ATL,Player,15:26,0,0,0,-2,0,0,4,1,6631,708
Morrissey Josh,ATL,Player,21:51,0,2,0,-1,0,0,1,5,6077,878
Dillon Brenden,ATL,Player,24:44,0,1,0,0,0,0,0,5,3193,2019
Schmidt Nate,ATL,Player,19:09,0,0,0,0,0,0,0,5,4431,2129
Pionk Neal,ATL,Player,22:02,0,0,0,1,0,0,1,4,2102,2267
Perfetti Cole,ATL,Player,13:30,0,0,0,1,0,0,0,1,6602,2495
Pettersson Elias,ATL,Player,20:13,2,1,0,1,0,0,6,1,"",2525
Capobianco Kyle,ATL,Player,16:07,0,0,0,-2,0,0,0,6,3470,2708
Dubois Pierre-Luc,ATL,Player,14:22,0,0,0,-1,0,0,3,0,5952,2979
Beaulieu Nathan,ATL,Player,16:52,0,0,2,-3,0,0,0,3,4220,3179
Appleton Mason,ATL,Player,15:24,0,0,0,-1,0,0,2,0,6204,4560
Hellebuyck Connor,ATL,Goalie,54:36,-,0,0,-,5,0,18,-,1150,3648
Rittich David,ATL,Goalie,05:24,-,0,0,-,0,0,1,-,5958,4249
