Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Hronek Filip,DET,Player,23:28,0,0,0,-5,0,0,0,5,6228,9
Copp Andy,DET,Player,15:29,1,0,0,-1,0,0,3,1,4865,103
Berggren Jonatan,DET,Player,14:29,0,0,0,-1,0,0,2,1,6610,292
Hagg Robert,DET,Player,15:53,0,0,0,-1,0,0,0,3,2110,400
Kubalik Dominik,DET,Player,15:31,0,0,0,-1,0,0,2,2,6156,522
Perron David,DET,Player,13:12,0,0,0,-1,0,0,2,1,5165,543
Seider Moritz,DET,Player,17:09,0,0,0,-1,0,0,0,2,1948,645
Luff Matt,DET,Player,16:55,0,0,0,-1,0,0,1,2,5233,738
Czarnik  Austin,DET,Player,10:29,0,1,0,0,0,0,0,0,6079,1022
Maatta Olli,DET,Player,26:12,0,1,0,-4,0,0,0,6,2735,1899
Raymond Lucas,DET,Player,20:04,0,0,0,-4,0,0,2,3,6568,2364
Oesterle Jordan,DET,Player,17:15,0,0,2,-1,0,0,0,7,3157,2845
Chiarot Ben,DET,Player,20:03,0,0,0,0,0,0,0,2,2315,3069
Larkin Dylan,DET,Player,18:59,0,0,0,-4,0,0,3,1,5774,3165
Fabbri Robby,DET,Player,10:47,0,0,0,0,0,0,2,1,5090,4016
Bertuzzi Tyler,DET,Player,19:16,0,0,0,-4,0,0,2,2,328,4304
Vrana Jakub,DET,Player,13:41,0,0,0,-1,0,0,2,4,6115,4338
Erne Adam,DET,Player,10:52,1,0,0,0,0,0,1,1,6139,4341
Husso Ville,DET,Goalie,59:36,-,0,0,-,9,0,27,-,4982,1743
Nedeljkovic Alex,DET,Goalie,00:00,-,0,0,-,0,0,0,-,6579,2397
Iafallo Alex,LA,Player,16:34,0,0,0,1,0,0,3,1,6121,58
Durzi Sean,LA,Player,17:13,0,0,0,1,0,0,0,4,6611,82
Doughty Drew,LA,Player,25:45,1,1,0,4,1,0,1,8,216,294
Kopitar Anze,LA,Player,17:48,0,4,0,4,0,0,1,1,2287,298
Lemieux Brendan,LA,Player,09:00,0,0,0,0,0,0,4,0,1391,443
Edler Alexander,LA,Player,21:11,0,2,0,4,0,0,0,6,3842,611
Roy Matt,LA,Player,17:42,0,0,0,1,0,0,0,4,4118,728
Moore Trevor,LA,Player,14:42,0,1,0,1,0,0,1,0,3034,732
Fiala Kevin,LA,Player,19:06,3,0,0,4,0,0,3,0,2511,803
Lizotte Blake,LA,Player,09:00,0,0,0,0,0,0,2,0,1333,1149
Anderson Mikey,LA,Player,18:44,0,2,0,1,0,0,0,2,6513,1866
Kempe Adrian,LA,Player,20:37,2,1,0,4,0,0,3,1,6129,2020
Bjornfot Tobias,LA,Player,19:25,0,0,0,1,0,0,0,5,6530,2222
Kaliyev Arthur,LA,Player,15:57,0,1,0,1,0,0,0,0,6567,2354
Kupari Rasmus,LA,Player,18:00,1,0,0,1,0,0,2,1,6581,2405
Byfield Quinton,LA,Player,10:15,0,0,0,0,0,0,2,0,6582,2406
Arvidsson Viktor,LA,Player,13:49,0,0,0,1,0,0,2,2,4310,4040
Danault Phillip,LA,Player,15:12,2,0,0,1,0,0,3,2,5218,4101
Petersen Cal,LA,Goalie,60:00,-,1,0,-,2,0,22,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
