Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Hronek Filip,DET,Player,25:23,0,0,0,1,0,0,0,5,6228,9
Copp Andy,DET,Player,14:28,0,1,0,1,0,0,0,2,4865,103
Berggren Jonatan,DET,Player,14:36,0,1,0,0,0,0,3,1,6610,292
Sundqvist Oskar,DET,Player,11:17,0,0,0,-2,0,0,0,2,4451,325
Rasmussen Michael,DET,Player,10:41,0,0,0,0,0,0,0,2,6556,399
Hagg Robert,DET,Player,15:26,0,0,0,0,0,0,0,3,2110,400
Kubalik Dominik,DET,Player,22:43,0,0,0,0,0,0,1,3,6156,522
Perron David,DET,Player,21:32,1,0,0,0,0,0,1,2,5165,543
Seider Moritz,DET,Player,23:06,0,0,0,0,0,0,0,3,1948,645
Maatta Olli,DET,Player,21:59,0,0,0,2,0,0,0,6,2735,1899
Raymond Lucas,DET,Player,13:42,1,2,0,2,0,0,2,1,6568,2364
Oesterle Jordan,DET,Player,16:03,0,0,0,0,0,0,0,4,3157,2845
Chiarot Ben,DET,Player,18:03,0,1,0,-1,0,0,0,5,2315,3069
Larkin Dylan,DET,Player,15:50,0,3,0,2,0,0,1,2,5774,3165
Fabbri Robby,DET,Player,13:30,0,0,0,-1,0,0,0,0,5090,4016
Bertuzzi Tyler,DET,Player,14:05,2,1,0,2,0,0,2,0,328,4304
Vrana Jakub,DET,Player,11:06,1,0,0,0,0,0,1,0,6115,4338
Erne Adam,DET,Player,11:30,0,1,2,-1,0,0,0,2,6139,4341
Husso Ville,DET,Goalie,59:59,-,0,0,-,4,0,19,-,4982,1743
Nedeljkovic Alex,DET,Goalie,00:00,-,0,0,-,0,0,0,-,6579,2397
Barzal Mathew,NYI,Player,16:03,0,2,0,1,0,0,3,1,6065,296
Parise Zach,NYI,Player,16:00,0,0,0,0,0,0,2,0,3395,387
Palmieri Kyle,NYI,Player,15:30,1,0,0,0,0,0,1,0,4569,498
Dobson Noah,NYI,Player,21:28,0,0,0,1,0,0,0,3,2160,667
Martin Matt,NYI,Player,04:17,0,0,0,0,0,0,1,1,5357,850
Mayfield Scott,NYI,Player,20:43,0,0,0,-2,0,0,0,3,6058,1148
Cizikas Casey,NYI,Player,19:11,0,0,0,-2,0,0,1,2,3210,1532
Romanov Alexander,NYI,Player,15:09,0,0,2,0,0,0,0,3,5790,1579
Bailey Josh,NYI,Player,16:46,0,0,0,-2,0,0,2,1,3269,1649
Nelson Brock,NYI,Player,17:49,1,2,0,1,0,0,3,0,3021,1736
Pageau Jean-Gabriel,NYI,Player,20:52,0,1,0,0,0,0,0,2,4952,1808
Lee Anders,NYI,Player,16:52,2,0,0,1,0,0,3,0,2493,1895
Beauvillier Anthony,NYI,Player,03:28,0,0,0,0,0,0,0,0,6066,2074
Hickey Thomas,NYI,Player,20:23,0,0,0,-2,0,0,0,0,4517,2097
Wahlstrom Oliver,NYI,Player,17:41,0,0,0,-2,0,0,1,1,5065,2234
Pelech Adam,NYI,Player,26:20,0,0,0,1,0,0,0,4,5645,4007
Pulock Ryan,NYI,Player,17:52,0,1,0,0,0,0,1,3,2748,4152
Clutterbuck Cal,NYI,Player,09:12,0,0,0,0,0,0,1,0,5214,4277
Sorokin Ilya,NYI,Goalie,59:25,-,0,0,-,5,0,11,-,5141,2065
Varlamov Semyon,NYI,Goalie,00:00,-,0,0,-,0,0,0,-,4806,3344
