Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Hronek Filip,DET,Player,25:31,0,0,0,1,0,0,0,6,6228,9
Copp Andy,DET,Player,16:50,1,2,0,4,0,0,3,1,4865,103
Berggren Jonatan,DET,Player,17:41,0,0,0,-2,0,0,2,2,6610,292
Hagg Robert,DET,Player,16:00,0,1,0,4,0,0,0,3,2110,400
Kubalik Dominik,DET,Player,15:26,1,1,0,3,0,0,2,1,6156,522
Perron David,DET,Player,15:03,2,2,0,4,0,0,4,1,5165,543
Seider Moritz,DET,Player,17:11,0,0,0,3,0,0,2,4,1948,645
Luff Matt,DET,Player,19:03,0,0,0,-2,0,0,3,2,5233,738
Czarnik  Austin,DET,Player,11:15,1,0,0,0,0,0,3,0,6079,1022
Maatta Olli,DET,Player,25:03,0,3,0,1,0,0,0,8,2735,1899
Raymond Lucas,DET,Player,14:39,1,0,0,1,0,0,2,1,6568,2364
Oesterle Jordan,DET,Player,18:57,0,0,0,-2,0,0,0,3,3157,2845
Chiarot Ben,DET,Player,17:18,0,0,0,-1,0,0,0,2,2315,3069
Larkin Dylan,DET,Player,12:50,0,0,0,1,0,0,0,0,5774,3165
Fabbri Robby,DET,Player,13:07,0,1,0,0,0,0,0,2,5090,4016
Bertuzzi Tyler,DET,Player,14:07,0,1,0,1,0,0,3,1,328,4304
Vrana Jakub,DET,Player,19:20,0,0,0,-1,0,0,2,3,6115,4338
Erne Adam,DET,Player,11:07,0,0,0,0,0,0,0,1,6139,4341
Husso Ville,DET,Goalie,59:32,-,1,0,-,3,0,38,-,4982,1743
Nedeljkovic Alex,DET,Goalie,00:00,-,0,0,-,0,0,0,-,6579,2397
Carter Jeff,PIT,Player,13:24,0,0,0,-4,0,0,2,0,3297,474
Letang Kris,PIT,Player,29:44,0,0,0,-3,0,0,1,1,1716,501
Malkin Evgeni,PIT,Player,16:59,0,0,0,-2,0,0,3,0,1703,502
Crosby Sidney,PIT,Player,16:55,0,0,0,-2,0,0,3,2,3308,518
Rakell Rickard,PIT,Player,12:56,0,0,0,-2,0,0,2,1,1276,526
Joseph Pierre-Olivier,PIT,Player,14:26,0,0,0,2,0,0,2,1,6623,678
Caggiula Drake,PIT,Player,15:24,0,1,0,0,0,0,3,1,6074,704
Dumoulin Brian,PIT,Player,15:16,0,0,0,-2,0,0,0,1,2750,749
Rust Bryan,PIT,Player,13:19,0,0,0,-4,0,0,2,0,431,1005
Heinen Danton,PIT,Player,15:41,0,2,0,2,0,0,3,0,6080,1100
Petry Jeff,PIT,Player,28:00,0,0,0,-3,0,0,0,0,1116,1433
Pettersson Marcus,PIT,Player,15:50,0,1,0,-2,0,0,3,1,3150,1594
Ruhwedel Chad,PIT,Player,16:44,0,0,0,2,0,0,0,0,3964,2182
Zucker Jason,PIT,Player,14:57,1,0,0,2,0,0,2,0,2630,3042
Boyle Brian,PIT,Player,18:12,1,1,0,2,0,0,7,0,3830,4222
Guentzel Jake,PIT,Player,16:43,0,0,0,-3,0,0,1,0,6111,4331
Kapanen Kasperi,PIT,Player,14:01,1,0,0,1,0,0,2,1,991,4360
Blugers Teodors,PIT,Player,11:29,0,0,0,1,0,0,2,0,341,4454
Jarry Tristan,PIT,Goalie,60:00,-,0,0,-,6,0,26,-,6137,634
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
