Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Hronek Filip,DET,Player,25:23,0,0,0,-3,0,0,1,5,6228,9
Copp Andy,DET,Player,11:49,0,0,0,-4,0,0,2,0,4865,103
Berggren Jonatan,DET,Player,16:04,0,0,0,-1,0,0,1,3,6610,292
Hagg Robert,DET,Player,17:00,0,0,0,-3,0,0,0,4,2110,400
Kubalik Dominik,DET,Player,13:06,0,0,0,-3,0,0,0,1,6156,522
Perron David,DET,Player,15:11,0,0,0,-3,0,0,1,1,5165,543
Seider Moritz,DET,Player,21:41,0,0,0,-1,0,0,2,1,1948,645
Luff Matt,DET,Player,11:53,0,0,0,-2,0,0,0,0,5233,738
Czarnik  Austin,DET,Player,14:32,0,0,0,-1,0,0,1,2,6079,1022
Maatta Olli,DET,Player,22:06,0,0,0,-3,0,0,0,4,2735,1899
Raymond Lucas,DET,Player,16:46,0,0,0,-1,0,0,5,2,6568,2364
Oesterle Jordan,DET,Player,14:39,0,0,0,-1,0,0,0,5,3157,2845
Chiarot Ben,DET,Player,19:11,0,0,0,-3,0,0,0,4,2315,3069
Larkin Dylan,DET,Player,15:37,0,0,2,-1,0,0,2,1,5774,3165
Fabbri Robby,DET,Player,16:27,1,0,0,0,0,0,4,1,5090,4016
Bertuzzi Tyler,DET,Player,15:48,0,0,0,-1,0,0,1,2,328,4304
Vrana Jakub,DET,Player,11:11,0,0,0,-2,0,0,1,1,6115,4338
Erne Adam,DET,Player,16:38,0,0,0,-1,0,0,2,0,6139,4341
Husso Ville,DET,Goalie,60:00,-,0,0,-,7,0,37,-,4982,1743
Nedeljkovic Alex,DET,Goalie,00:00,-,0,0,-,0,0,0,-,6579,2397
Karlsson Erik,SJ,Player,21:33,0,1,0,3,0,0,1,1,4017,120
Simek Radim,SJ,Player,17:50,1,0,2,2,0,0,3,1,4584,142
Vlasic Marc-Edouard,SJ,Player,17:03,0,0,0,2,0,0,0,3,1790,545
Ferraro Mario,SJ,Player,27:03,0,0,0,3,0,0,0,3,2422,937
Gregor Noah,SJ,Player,14:33,0,1,0,2,0,0,2,2,5027,941
Lindblom Oskar,SJ,Player,13:24,0,1,0,1,0,0,3,1,1217,1379
Sturm Nico,SJ,Player,17:39,1,1,0,2,0,0,3,3,3343,2110
Knyzhov Nikolai,SJ,Player,25:13,0,1,0,2,0,0,0,7,6517,2148
Barabanov Alexander,SJ,Player,15:21,1,1,0,3,0,0,4,2,3181,2162
Lorentz Steven,SJ,Player,05:31,0,1,0,1,0,0,1,0,6523,2198
Dahlen Jonathan,SJ,Player,13:47,1,0,0,1,0,0,6,1,6591,2447
Weatherby Jasper,SJ,Player,15:12,0,0,0,2,0,0,1,0,6592,2451
Bonino Nick,SJ,Player,12:18,0,0,0,1,0,0,1,1,563,2862
Hertl Tomas,SJ,Player,18:22,1,1,0,3,0,0,5,0,2290,2913
Couture Logan,SJ,Player,13:43,0,1,0,1,0,0,5,0,4370,3039
Benning Matt,SJ,Player,13:20,0,1,0,2,0,0,0,1,6097,4305
Meier Timo,SJ,Player,22:53,1,0,0,3,0,0,1,4,6112,4332
Kunin Luke,SJ,Player,10:19,1,0,0,1,0,0,1,0,735,4448
Reimer James,SJ,Goalie,59:57,-,0,0,-,1,0,23,-,4874,99
Dell Aaron,SJ,Goalie,00:00,-,0,0,-,0,0,0,-,6059,1601
