Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Hronek Filip,DET,Player,23:44,0,1,0,2,0,0,0,2,6228,9
Copp Andy,DET,Player,14:51,0,0,0,0,0,0,0,2,4865,103
Berggren Jonatan,DET,Player,15:04,0,0,0,-2,0,0,0,3,6610,292
Hagg Robert,DET,Player,19:05,0,0,0,0,0,0,0,3,2110,400
Kubalik Dominik,DET,Player,16:12,0,0,0,0,0,0,1,1,6156,522
Perron David,DET,Player,16:08,0,0,0,0,0,0,0,0,5165,543
Seider Moritz,DET,Player,22:06,0,0,0,-1,0,0,1,6,1948,645
Luff Matt,DET,Player,10:52,0,1,0,-2,0,0,1,1,5233,738
Czarnik  Austin,DET,Player,16:48,0,1,0,1,0,0,2,1,6079,1022
Maatta Olli,DET,Player,24:58,0,0,0,2,0,0,0,3,2735,1899
Raymond Lucas,DET,Player,18:43,0,1,2,1,0,0,2,3,6568,2364
Oesterle Jordan,DET,Player,20:57,0,1,0,-2,0,0,1,5,3157,2845
Chiarot Ben,DET,Player,19:10,0,0,0,-1,0,0,0,6,2315,3069
Larkin Dylan,DET,Player,19:39,0,1,0,1,0,0,1,1,5774,3165
Fabbri Robby,DET,Player,15:26,0,1,0,1,0,0,0,2,5090,4016
Bertuzzi Tyler,DET,Player,16:46,1,0,0,1,0,0,2,1,328,4304
Vrana Jakub,DET,Player,11:37,1,0,0,-2,0,0,2,0,6115,4338
Erne Adam,DET,Player,15:25,2,0,0,1,0,0,3,1,6139,4341
Husso Ville,DET,Goalie,65:00,-,1,0,-,4,0,22,-,4982,1743
Nedeljkovic Alex,DET,Goalie,00:00,-,0,0,-,0,0,0,-,6579,2397
Maroon Patrick,TB,Player,20:38,1,0,0,1,0,0,3,0,969,4
Perry Corey,TB,Player,15:11,1,2,0,2,0,0,1,2,3400,19
Hagel Brandon,TB,Player,05:34,0,0,0,-2,0,0,0,0,6555,106
Balcers Rudolfs,TB,Player,17:41,0,0,0,0,0,0,2,0,6256,444
Point Brayden,TB,Player,22:00,0,1,0,1,0,0,3,4,6070,521
Kucherov Nikita,TB,Player,21:00,0,0,0,0,0,0,3,1,538,623
Myers Philippe,TB,Player,18:20,0,0,0,1,0,0,0,2,1875,762
Fleury Haydn,TB,Player,19:47,1,0,0,2,0,0,1,9,614,1400
Hedman Victor,TB,Player,26:29,0,0,0,-2,0,0,1,9,5416,1558
Killorn Alex,TB,Player,16:40,0,3,0,1,0,0,2,2,1170,2413
Colton Ross,TB,Player,16:05,1,1,0,2,0,0,2,0,6593,2456
Cirelli Anthony,TB,Player,22:38,0,1,0,1,0,0,2,2,3041,2839
Namestnikov Vladislav,TB,Player,05:38,0,0,0,-3,0,0,0,3,3844,3132
Stamkos Steven,TB,Player,21:06,0,0,0,0,0,0,1,2,240,3254
Sergachyov Mikhail,TB,Player,21:09,0,0,0,0,0,0,0,5,5971,3477
Bellemare Pierre-Edouard,TB,Player,05:49,0,0,0,-3,0,0,0,2,979,3518
Cole Ian,TB,Player,24:38,0,0,0,-2,0,0,0,8,1833,3554
Cernak Erik,TB,Player,19:37,0,0,0,1,0,0,1,5,6198,4549
Vasilevsky Andrei,TB,Goalie,65:00,-,0,0,-,4,0,16,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
