Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Hronek Filip,DET,Player,26:22,0,2,0,0,0,0,0,6,6228,9
Copp Andy,DET,Player,15:29,0,0,0,-1,0,0,1,0,4865,103
Berggren Jonatan,DET,Player,12:00,0,1,0,1,0,0,0,2,6610,292
Hagg Robert,DET,Player,16:28,0,1,0,-1,0,0,0,2,2110,400
Kubalik Dominik,DET,Player,16:04,0,0,0,-1,0,0,1,6,6156,522
Perron David,DET,Player,17:38,0,0,0,-2,0,0,0,2,5165,543
Seider Moritz,DET,Player,18:40,0,0,0,0,0,0,2,3,1948,645
Luff Matt,DET,Player,09:22,0,1,0,1,0,0,2,1,5233,738
Czarnik  Austin,DET,Player,18:08,2,0,0,1,0,0,7,0,6079,1022
Maatta Olli,DET,Player,29:00,0,1,0,1,0,0,0,7,2735,1899
Raymond Lucas,DET,Player,18:58,0,0,0,0,0,0,5,1,6568,2364
Oesterle Jordan,DET,Player,19:00,0,1,0,0,0,0,0,5,3157,2845
Chiarot Ben,DET,Player,19:26,0,0,0,0,0,0,0,4,2315,3069
Larkin Dylan,DET,Player,21:08,1,0,2,-1,0,0,1,2,5774,3165
Fabbri Robby,DET,Player,15:51,1,1,0,1,0,0,1,0,5090,4016
Bertuzzi Tyler,DET,Player,15:40,0,0,0,1,0,0,1,2,328,4304
Vrana Jakub,DET,Player,11:58,1,0,0,1,0,0,3,1,6115,4338
Erne Adam,DET,Player,16:18,0,2,0,0,0,0,1,1,6139,4341
Husso Ville,DET,Goalie,64:28,-,0,0,-,6,0,30,-,4982,1743
Nedeljkovic Alex,DET,Goalie,00:00,-,0,0,-,0,0,0,-,6579,2397
Hagelin Carl,WSH,Player,12:18,0,1,0,0,0,0,0,0,1650,360
Ovechkin Alexander,WSH,Player,15:43,0,1,0,-1,0,0,2,3,3392,650
Backstrom Nicklas,WSH,Player,19:37,0,0,0,-1,0,0,2,0,3066,654
Gustafsson Erik,WSH,Player,18:53,0,0,0,0,0,0,1,6,5592,1753
Milano Sonny,WSH,Player,16:34,0,0,0,0,0,0,3,0,5124,1863
Strome Dylan,WSH,Player,16:08,0,2,0,2,0,0,1,1,1508,1925
Wilson Tom,WSH,Player,20:33,0,0,0,-1,0,0,3,3,3194,2128
Irwin Matthew,WSH,Player,17:36,0,0,0,0,0,0,0,2,3503,2183
Fehervary Martin,WSH,Player,19:31,0,1,0,1,0,0,2,3,6598,2464
Aube-Kubel Nicolas,WSH,Player,13:33,0,2,0,1,0,0,1,2,3774,2530
Mantha Anthony,WSH,Player,15:44,2,0,0,2,0,0,4,1,5548,2690
Kuznetsov Evgeny,WSH,Player,16:38,3,0,0,-1,1,0,6,1,4336,2909
Eller Lars,WSH,Player,12:27,1,0,0,0,0,0,3,0,4321,3035
Carlson John,WSH,Player,26:04,0,0,0,-1,0,0,0,4,4455,3124
Oshie T.J.,WSH,Player,14:16,0,0,0,-2,0,0,0,0,5408,3212
Orlov Dmitry,WSH,Player,25:42,0,0,0,-1,0,0,0,2,1905,3776
Sheary Conor,WSH,Player,15:25,0,0,0,0,0,0,2,0,648,4142
Jensen Nick,WSH,Player,21:10,0,0,0,1,0,0,0,5,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,64:28,-,1,0,-,5,0,25,-,2785,429
