Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bouchard Evan,EDM,Player,20:13,0,0,0,-1,0,0,1,6,2042,178
Nugent-Hopkins Ryan,EDM,Player,13:01,0,0,0,-2,0,0,0,0,4422,194
Yamamoto Kailer,EDM,Player,13:31,0,0,0,-2,0,0,1,0,1155,382
Turris Kyle,EDM,Player,08:02,0,0,0,0,0,0,0,1,5487,499
Nurse Darnell,EDM,Player,24:15,0,1,0,0,0,0,0,4,2513,822
Barrie Tyson,EDM,Player,26:18,0,0,0,0,0,0,0,5,3025,940
Foegele Warren,EDM,Player,10:22,0,0,0,0,0,0,1,1,3895,1021
McLeod Ryan,EDM,Player,17:28,0,0,2,0,0,0,2,1,1713,1137
Puljujarvi Jesse,EDM,Player,13:17,1,0,0,-2,0,0,2,0,364,1152
McDavid Connor,EDM,Player,20:20,0,1,0,0,0,0,6,5,3758,1363
Murray Ryan,EDM,Player,14:30,0,0,0,-3,0,0,0,6,3391,1491
Ceci Cody,EDM,Player,15:04,0,0,2,-3,0,0,0,2,1109,1791
Ryan Derek,EDM,Player,10:39,0,0,0,0,0,0,2,1,2672,2468
Hyman Zach,EDM,Player,11:22,0,1,0,-2,0,0,0,4,5566,2697
Kane Evander,EDM,Player,18:18,1,0,0,0,0,0,4,0,2450,2873
Klefbom Oscar,EDM,Player,18:36,0,0,0,-1,0,0,0,3,4528,3528
Draisaitl Leon,EDM,Player,20:59,1,0,0,-2,1,0,6,4,1803,3666
Kostin Klim,EDM,Player,10:40,0,0,0,-2,0,0,1,1,6184,4497
Smith Mike,EDM,Goalie,00:00,-,0,0,-,0,0,0,-,3638,586
Campbell Jack,EDM,Goalie,59:14,-,0,0,-,6,0,23,-,5366,2546
Zegras Trevor,ANA,Player,18:46,1,0,0,1,0,0,3,0,6553,22
Shattenkirk Kevin,ANA,Player,17:15,0,0,0,0,0,0,0,2,4438,172
Kulikov Dmitry,ANA,Player,14:55,0,2,0,1,0,0,0,2,4685,272
Groulx Benoit-Olivier,ANA,Player,09:45,1,1,0,2,0,0,2,2,1457,295
Comtois Maxime,ANA,Player,20:53,0,1,0,1,0,0,4,0,4341,303
Henrique Adam,ANA,Player,20:08,1,0,0,0,0,0,1,0,837,320
Drysdale Jamie,ANA,Player,15:19,0,1,2,3,0,0,0,5,6570,406
Protas Alexei,ANA,Player,19:46,1,0,0,0,0,0,2,3,6357,1086
Terry Troy,ANA,Player,19:30,1,1,0,1,0,0,2,1,1967,2146
Fowler Cam,ANA,Player,17:41,0,1,0,1,0,0,0,5,4436,2371
Grant Derek,ANA,Player,10:15,1,0,0,2,0,0,1,0,5353,2392
Leason Brett,ANA,Player,20:13,0,0,0,1,0,0,1,1,6600,2466
McTavish Mason,ANA,Player,15:58,0,0,0,1,0,0,1,3,6601,2491
Benoit Simon,ANA,Player,18:20,0,0,0,2,0,0,0,6,3723,2670
Klingberg John,ANA,Player,17:13,0,1,0,1,0,0,0,4,2537,2843
Silfverberg Jakob,ANA,Player,07:35,0,1,0,2,0,0,3,0,1362,3143
Strome Ryan,ANA,Player,10:12,0,0,0,1,0,0,2,1,396,3219
Vatrano Frank,ANA,Player,19:21,0,1,0,0,0,0,1,1,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,59:21,-,0,0,-,3,0,26,-,2104,2896
