Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bouchard Evan,EDM,Player,18:53,0,1,0,-2,0,0,0,1,2042,178
Nugent-Hopkins Ryan,EDM,Player,13:12,0,0,0,-3,0,0,2,2,4422,194
Yamamoto Kailer,EDM,Player,14:16,0,0,0,-3,0,0,1,2,1155,382
Turris Kyle,EDM,Player,12:20,0,1,0,0,0,0,2,1,5487,499
Nurse Darnell,EDM,Player,23:58,0,0,0,0,0,0,0,2,2513,822
Barrie Tyson,EDM,Player,23:13,0,0,0,-1,0,0,0,2,3025,940
Foegele Warren,EDM,Player,16:15,1,0,0,-1,0,0,1,0,3895,1021
McLeod Ryan,EDM,Player,14:30,0,0,0,-1,0,0,4,0,1713,1137
Puljujarvi Jesse,EDM,Player,16:39,0,0,0,-3,0,0,3,0,364,1152
McDavid Connor,EDM,Player,12:50,1,0,0,-1,0,0,1,3,3758,1363
Murray Ryan,EDM,Player,18:10,0,0,0,-4,0,0,0,5,3391,1491
Ceci Cody,EDM,Player,17:54,0,0,0,-4,0,0,0,1,1109,1791
Ryan Derek,EDM,Player,16:24,0,1,0,-1,0,0,1,0,2672,2468
Hyman Zach,EDM,Player,17:11,0,0,0,-2,0,0,1,1,5566,2697
Kane Evander,EDM,Player,12:18,0,0,0,-1,0,0,3,0,2450,2873
Klefbom Oscar,EDM,Player,17:52,0,0,0,-3,0,0,0,4,4528,3528
Draisaitl Leon,EDM,Player,17:34,1,0,0,-2,0,0,5,1,1803,3666
Kostin Klim,EDM,Player,16:31,0,1,0,-3,0,0,0,2,6184,4497
Smith Mike,EDM,Goalie,00:00,-,0,0,-,0,0,0,-,3638,586
Campbell Jack,EDM,Goalie,60:00,-,0,0,-,9,1,22,-,5366,2546
Pacioretty Max,ATL,Player,12:58,1,0,0,0,0,0,4,1,762,42
Ehlers Nikolaj,ATL,Player,16:39,0,1,0,3,0,0,0,3,4141,257
Harkins Jansen,ATL,Player,15:50,1,0,0,1,0,0,2,0,2944,569
Scheifele Mark,ATL,Player,11:58,0,1,0,1,0,0,0,2,5341,581
Lowry Adam,ATL,Player,13:10,1,0,0,0,0,0,4,0,2504,624
Stenlund Kevin,ATL,Player,15:50,1,2,0,4,0,0,2,0,6164,660
Barron Morgan,ATL,Player,17:11,2,1,0,4,0,0,4,0,6631,708
Morrissey Josh,ATL,Player,23:00,0,0,0,1,0,0,0,2,6077,878
Skeji Brady,ATL,Player,20:24,0,2,0,3,0,0,0,2,1132,1228
Stanley Logan,ATL,Player,20:22,0,1,0,3,0,0,0,4,6539,2259
Pionk Neal,ATL,Player,22:54,0,0,0,1,0,0,0,1,2102,2267
Veleno Joe,ATL,Player,13:46,0,1,0,-1,0,0,2,0,5059,2363
Raymond Lucas,ATL,Player,13:10,0,0,0,1,0,0,0,0,6568,2364
Pysyk Mark,ATL,Player,16:42,0,2,0,3,0,0,0,3,4406,2433
Perfetti Cole,ATL,Player,17:41,2,0,0,2,0,0,2,0,6602,2495
Pettersson Elias,ATL,Player,17:14,2,1,0,3,0,0,2,1,6254,2525
Beaulieu Nathan,ATL,Player,16:38,0,0,0,3,0,0,0,1,4220,3179
Appleton Mason,ATL,Player,14:33,0,3,0,3,0,0,1,1,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,0,0,-,3,0,24,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
