Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bouchard Evan,EDM,Player,18:09,0,0,0,1,0,0,0,1,2042,178
Nugent-Hopkins Ryan,EDM,Player,21:03,1,1,0,1,0,0,9,3,4422,194
Yamamoto Kailer,EDM,Player,20:42,0,0,0,1,0,0,4,1,1155,382
Turris Kyle,EDM,Player,14:02,0,0,0,0,0,0,0,2,5487,499
Nurse Darnell,EDM,Player,23:00,0,1,0,1,0,0,0,4,2513,822
Barrie Tyson,EDM,Player,21:17,0,0,0,1,0,0,0,3,3025,940
Foegele Warren,EDM,Player,10:44,1,0,0,1,0,0,2,0,3895,1021
McLeod Ryan,EDM,Player,11:33,0,0,0,1,0,0,5,0,1713,1137
Puljujarvi Jesse,EDM,Player,13:08,1,1,0,2,0,0,1,0,364,1152
McDavid Connor,EDM,Player,19:27,0,1,0,1,0,0,2,0,3758,1363
Murray Ryan,EDM,Player,20:13,0,0,0,1,0,0,1,3,3391,1491
Ceci Cody,EDM,Player,19:56,0,1,0,1,0,0,0,4,1109,1791
Ryan Derek,EDM,Player,11:17,0,0,0,1,0,0,1,0,2672,2468
Hyman Zach,EDM,Player,16:39,0,1,0,1,0,0,5,0,5566,2697
Kane Evander,EDM,Player,18:19,1,0,0,0,0,0,5,1,2450,2873
Klefbom Oscar,EDM,Player,17:25,0,0,0,1,0,0,1,3,4528,3528
Draisaitl Leon,EDM,Player,14:17,0,0,0,0,0,0,3,0,1803,3666
Kostin Klim,EDM,Player,08:49,0,0,0,0,0,0,2,1,6184,4497
Smith Mike,EDM,Goalie,60:00,-,0,0,-,1,0,14,-,3638,586
Campbell Jack,EDM,Goalie,00:00,-,0,0,-,0,0,0,-,5366,2546
Dahlin Rasmus,BUF,Player,18:00,0,0,0,0,0,0,0,1,2121,73
Okposo Kyle,BUF,Player,14:02,0,0,0,0,0,0,1,0,5379,410
Batherson Drake,BUF,Player,11:40,0,0,0,-1,0,0,0,2,6270,452
Rust Bryan,BUF,Player,13:32,0,0,0,-1,0,0,1,1,431,1005
Vilardi Gabriel,BUF,Player,10:09,0,0,0,-1,0,0,2,1,1169,1012
Dach Kirby,BUF,Player,14:51,0,1,0,0,0,0,3,2,3937,1163
Jokiharju Henri,BUF,Player,18:24,0,0,2,-1,0,0,0,5,4819,1246
Cozens Dylan,BUF,Player,20:02,0,0,0,-1,0,0,2,4,6522,2191
Byfield Quinton,BUF,Player,07:59,0,0,0,-1,0,0,0,0,6582,2406
Power Owen,BUF,Player,25:19,0,0,0,-2,0,0,0,5,6603,2501
Krebs Peyton,BUF,Player,09:39,0,0,0,-1,0,0,1,1,6604,2502
Quinn Jack,BUF,Player,12:26,0,0,0,-2,0,0,0,2,6606,2510
Samuelsson Mattias,BUF,Player,13:32,1,0,2,0,0,0,1,3,1753,2527
Mittelstadt Casey,BUF,Player,20:10,0,0,0,0,0,0,1,2,5502,2747
Girgensons Zemgus,BUF,Player,19:23,0,0,0,-1,0,0,1,1,2830,2987
Lyubushkin Ilya,BUF,Player,31:42,0,0,0,-2,0,0,1,2,3772,3452
Armia Joel,BUF,Player,13:22,0,0,0,-1,0,0,0,0,504,3468
Bitetto Anthony,BUF,Player,15:52,0,1,0,0,0,0,0,6,2205,4000
Subban Malcolm,BUF,Goalie,60:00,-,0,0,-,4,0,41,-,2505,1139
Comrie Eric,BUF,Goalie,00:00,-,0,0,-,0,0,0,-,479,1230
