Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bouchard Evan,EDM,Player,19:32,0,1,0,0,0,0,0,3,2042,178
Nugent-Hopkins Ryan,EDM,Player,15:34,1,0,0,2,0,0,3,0,4422,194
Yamamoto Kailer,EDM,Player,15:22,0,0,0,1,0,0,1,1,1155,382
Turris Kyle,EDM,Player,13:54,0,1,0,1,0,0,1,2,5487,499
Nurse Darnell,EDM,Player,22:44,0,1,0,2,0,0,1,7,2513,822
Barrie Tyson,EDM,Player,25:34,0,0,0,1,0,0,0,6,3025,940
Foegele Warren,EDM,Player,09:26,0,0,0,-2,0,0,1,1,3895,1021
McLeod Ryan,EDM,Player,12:01,0,0,0,-2,0,0,0,1,1713,1137
Puljujarvi Jesse,EDM,Player,12:53,0,0,0,1,0,0,1,1,364,1152
McDavid Connor,EDM,Player,18:08,1,0,0,1,1,0,3,0,3758,1363
Murray Ryan,EDM,Player,17:30,0,0,0,-1,0,0,0,3,3391,1491
Ceci Cody,EDM,Player,17:36,0,0,0,-1,0,0,0,2,1109,1791
Ryan Derek,EDM,Player,10:26,0,0,0,-2,0,0,1,1,2672,2468
Hyman Zach,EDM,Player,16:57,1,1,2,1,0,0,2,0,5566,2697
Kane Evander,EDM,Player,18:24,1,0,0,1,0,0,4,1,2450,2873
Klefbom Oscar,EDM,Player,17:04,0,0,0,1,0,0,0,3,4528,3528
Draisaitl Leon,EDM,Player,21:23,1,1,0,1,0,0,2,2,1803,3666
Kostin Klim,EDM,Player,15:25,0,0,0,0,0,0,0,1,6184,4497
Smith Mike,EDM,Goalie,60:00,-,0,0,-,3,0,26,-,3638,586
Campbell Jack,EDM,Goalie,00:00,-,0,0,-,0,0,0,-,5366,2546
Stastny Paul,CAR,Player,08:12,0,0,0,1,0,0,2,2,934,153
Burns Brent,CAR,Player,19:02,0,0,0,-1,0,0,0,10,410,309
Wheeler Blake,CAR,Player,20:57,1,1,0,1,0,0,6,3,206,404
Carter Jeff,CAR,Player,20:11,0,0,0,-2,0,0,1,4,3297,474
Staal Jordan,CAR,Player,17:02,0,1,0,1,0,0,3,1,1628,500
Pavelski Joe,CAR,Player,19:35,0,0,0,-1,0,0,0,2,1826,546
Gardiner Jake,CAR,Player,21:53,0,0,2,-1,0,0,1,5,5230,595
Sedin Daniel,CAR,Player,11:15,1,0,0,1,0,0,1,0,1794,627
Pesce Brett,CAR,Player,20:54,0,1,0,-1,0,0,0,5,4415,906
de Haan Calvin,CAR,Player,22:15,0,0,0,-1,0,0,0,6,4595,1754
Schmidt Nate,CAR,Player,17:00,0,0,0,1,0,0,0,2,4431,2129
Jarvis Seth,CAR,Player,11:46,0,0,0,-1,0,0,1,1,6574,2381
Peterka JJ,CAR,Player,11:34,0,0,0,-1,0,0,3,3,6605,2509
Bonino Nick,CAR,Player,11:05,0,0,0,-1,0,0,0,1,563,2862
Teravainen Teuvo,CAR,Player,16:48,1,1,0,1,0,0,5,2,1779,2963
Fast Jesper,CAR,Player,10:25,0,1,0,1,0,0,2,2,286,3542
Svechnikov Andrei,CAR,Player,15:16,0,0,2,-2,0,0,1,1,5058,3885
Slavin Jaccob,CAR,Player,19:13,0,1,0,0,0,0,0,3,4920,4060
Kochetkov Petr,CAR,Goalie,00:00,-,0,0,-,0,0,0,-,3164,511
Raanta Antti,CAR,Goalie,60:00,-,0,2,-,5,0,20,-,2608,2912
