Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bouchard Evan,EDM,Player,14:35,0,1,0,1,0,0,0,1,2042,178
Nugent-Hopkins Ryan,EDM,Player,10:54,0,0,0,-2,0,0,1,2,4422,194
Yamamoto Kailer,EDM,Player,13:39,0,0,0,-2,0,0,1,2,1155,382
Turris Kyle,EDM,Player,17:28,0,2,0,3,0,0,5,1,5487,499
Nurse Darnell,EDM,Player,30:20,0,1,0,2,0,0,0,5,2513,822
Barrie Tyson,EDM,Player,29:43,0,1,0,2,0,0,1,5,3025,940
Foegele Warren,EDM,Player,14:14,0,1,0,0,0,0,0,0,3895,1021
McLeod Ryan,EDM,Player,13:38,0,0,0,-1,0,0,2,1,1713,1137
Puljujarvi Jesse,EDM,Player,12:54,0,0,0,-1,0,0,0,1,364,1152
McDavid Connor,EDM,Player,17:06,2,1,0,3,0,0,3,1,3758,1363
Murray Ryan,EDM,Player,12:28,0,0,0,-1,0,0,0,1,3391,1491
Ceci Cody,EDM,Player,15:42,0,0,0,-1,0,0,0,5,1109,1791
Ryan Derek,EDM,Player,14:13,1,0,0,0,0,0,5,0,2672,2468
Hyman Zach,EDM,Player,15:04,0,0,0,1,0,0,3,3,5566,2697
Kane Evander,EDM,Player,17:03,1,1,0,3,0,0,1,1,2450,2873
Klefbom Oscar,EDM,Player,17:12,0,0,0,1,0,0,0,3,4528,3528
Draisaitl Leon,EDM,Player,17:47,1,0,0,1,0,0,3,0,1803,3666
Kostin Klim,EDM,Player,16:00,0,1,0,1,0,0,0,3,6184,4497
Smith Mike,EDM,Goalie,60:00,-,1,0,-,3,0,26,-,3638,586
Campbell Jack,EDM,Goalie,00:00,-,0,0,-,0,0,0,-,5366,2546
Suzuki Nick,CBJ,Player,18:26,1,0,0,1,0,0,7,1,1922,191
Thompson  Tage,CBJ,Player,21:55,0,0,0,-3,0,0,3,1,3781,297
Bean Jake,CBJ,Player,23:22,0,0,0,-3,0,0,0,6,5992,493
Kubalik Dominik,CBJ,Player,13:19,0,0,0,0,0,0,1,0,6156,522
Peeke Andrew,CBJ,Player,20:35,0,1,0,1,0,0,0,4,4119,675
St. Louis Martin,CBJ,Player,20:43,0,0,0,1,0,0,3,0,1881,718
Carlsson Gabriel,CBJ,Player,16:43,0,0,0,0,0,0,0,4,4626,1073
Rantanen Mikko,CBJ,Player,20:59,0,0,0,-4,0,0,3,1,5444,1683
Gustafsson Erik,CBJ,Player,23:21,0,0,0,-3,0,0,1,4,5592,1753
Jenner Boone,CBJ,Player,16:26,0,1,0,0,0,0,2,3,297,2015
Laine Patrik,CBJ,Player,18:44,0,0,0,1,0,0,2,5,1146,2033
Gudbranson Erik,CBJ,Player,16:03,0,0,0,0,0,0,0,2,4402,2337
Sillinger Cole,CBJ,Player,04:59,0,1,0,1,0,0,0,0,6569,2370
Bayreuther Gavin,CBJ,Player,19:56,0,0,0,1,0,0,0,5,6577,2390
Kyrou Jordan,CBJ,Player,14:22,1,0,0,-1,0,0,2,0,6208,2446
Texier Alexandre,CBJ,Player,04:59,0,1,0,1,0,0,0,0,2813,2742
Leivo Josh,CBJ,Player,04:59,1,0,0,1,0,0,1,0,2541,3307
Giroux Claude,CBJ,Player,20:09,0,0,0,-4,0,0,1,2,3923,4237
Korpisalo Joonas,CBJ,Goalie,00:00,-,0,0,-,0,0,0,-,2338,4131
Merzlikins Elvis,CBJ,Goalie,60:00,-,0,0,-,5,0,25,-,5888,4200
