Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bouchard Evan,EDM,Player,18:43,0,1,0,-2,0,0,0,4,2042,178
Nugent-Hopkins Ryan,EDM,Player,13:13,0,1,2,0,0,0,2,1,4422,194
Yamamoto Kailer,EDM,Player,11:27,1,0,0,0,0,0,3,0,1155,382
Nurse Darnell,EDM,Player,23:27,0,0,0,-3,0,0,0,4,2513,822
Barrie Tyson,EDM,Player,27:04,0,0,0,-2,0,0,0,3,3025,940
Foegele Warren,EDM,Player,11:50,0,0,0,-1,0,0,1,1,3895,1021
McLeod Ryan,EDM,Player,06:44,1,0,0,-1,0,0,1,0,1713,1137
Puljujarvi Jesse,EDM,Player,08:27,0,1,0,1,0,0,3,2,364,1152
McDavid Connor,EDM,Player,19:55,0,0,2,-3,0,0,4,4,3758,1363
Murray Ryan,EDM,Player,18:15,0,0,0,0,0,0,0,3,3391,1491
Ceci Cody,EDM,Player,18:36,0,0,0,0,0,0,0,9,1109,1791
Ryan Derek,EDM,Player,22:30,0,0,0,-2,0,0,3,0,2672,2468
Hyman Zach,EDM,Player,11:05,0,0,0,-2,0,0,1,0,5566,2697
Kane Evander,EDM,Player,17:33,0,0,0,-3,0,0,2,1,2450,2873
Janmark Mattias,EDM,Player,11:17,0,0,0,-1,0,0,1,1,2666,3237
Klefbom Oscar,EDM,Player,13:55,0,0,0,-3,0,0,0,1,4528,3528
Draisaitl Leon,EDM,Player,21:40,0,1,0,-2,0,0,3,0,1803,3666
Kostin Klim,EDM,Player,14:26,0,0,0,-1,0,0,1,1,6184,4497
Smith Mike,EDM,Goalie,00:00,-,0,0,-,0,0,0,-,3638,586
Campbell Jack,EDM,Goalie,59:56,-,0,0,-,7,0,21,-,5366,2546
Kane Patrick,CHI,Player,15:45,0,1,0,2,0,0,2,2,5160,151
Toews Jonathan,CHI,Player,16:29,1,0,0,1,0,0,2,1,5161,152
Johnson Jack,CHI,Player,15:42,0,0,0,-1,0,0,0,3,1232,285
Jones Seth,CHI,Player,24:53,0,2,0,4,0,0,0,6,4044,424
Kurashev Philipp,CHI,Player,15:27,3,0,0,1,0,1,5,2,1698,542
Connolly Brett,CHI,Player,15:29,0,1,0,1,0,0,2,0,2688,584
Jones Caleb,CHI,Player,18:03,0,2,2,3,0,0,0,1,2949,712
Murphy Connor,CHI,Player,20:18,0,1,0,1,0,0,0,3,289,1842
Johnson Tyler,CHI,Player,18:45,1,0,0,3,0,0,1,1,892,2411
Tinordi Jarred,CHI,Player,17:58,0,1,0,1,0,0,0,2,2087,2435
Katchouk Boris,CHI,Player,11:26,0,1,0,-1,0,0,0,2,6594,2457
Raddysh Taylor,CHI,Player,11:32,1,0,0,1,0,0,3,0,6595,2458
Blackwell Colin,CHI,Player,12:08,0,1,0,-1,0,0,0,0,3751,2663
McCabe Jake,CHI,Player,23:31,0,0,0,3,0,0,0,5,5306,3478
Domi Max,CHI,Player,14:16,0,1,0,1,0,0,1,2,2552,4013
Khaira Jujhar,CHI,Player,14:42,0,1,0,2,0,0,2,4,4766,4033
Athanasiou Andreas,CHI,Player,19:25,1,2,0,3,0,0,3,4,5664,4103
Dickinson Jason,CHI,Player,09:29,0,0,0,0,0,0,0,1,6177,4437
Mrazek Petr,CHI,Goalie,59:43,-,0,0,-,2,0,25,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
