Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bouchard Evan,EDM,Player,24:38,0,1,0,3,0,0,0,2,2042,178
Nugent-Hopkins Ryan,EDM,Player,13:29,0,1,0,0,0,0,3,0,4422,194
Yamamoto Kailer,EDM,Player,13:24,1,1,0,0,0,0,2,3,1155,382
Turris Kyle,EDM,Player,17:51,0,0,0,1,0,0,0,0,5487,499
Nurse Darnell,EDM,Player,19:40,0,0,0,1,0,0,0,1,2513,822
Barrie Tyson,EDM,Player,20:37,0,0,0,1,0,0,0,3,3025,940
Foegele Warren,EDM,Player,10:59,0,1,0,0,0,0,4,3,3895,1021
McLeod Ryan,EDM,Player,17:17,2,0,0,1,0,0,5,0,1713,1137
Puljujarvi Jesse,EDM,Player,13:01,1,0,0,0,0,0,1,0,364,1152
McDavid Connor,EDM,Player,20:37,1,0,0,1,0,0,5,0,3758,1363
Murray Ryan,EDM,Player,16:19,0,0,0,0,0,0,0,0,3391,1491
Ceci Cody,EDM,Player,16:32,0,2,0,0,0,0,0,3,1109,1791
Ryan Derek,EDM,Player,11:11,0,0,0,0,0,0,4,2,2672,2468
Hyman Zach,EDM,Player,13:03,1,1,0,3,0,0,2,1,5566,2697
Kane Evander,EDM,Player,18:27,0,0,0,1,0,0,2,3,2450,2873
Klefbom Oscar,EDM,Player,22:14,0,3,0,3,0,0,0,5,4528,3528
Draisaitl Leon,EDM,Player,14:08,3,1,2,3,0,0,5,1,1803,3666
Kostin Klim,EDM,Player,11:35,1,3,0,3,0,0,3,1,6184,4497
Smith Mike,EDM,Goalie,00:00,-,0,0,-,0,0,0,-,3638,586
Campbell Jack,EDM,Goalie,60:00,-,1,0,-,5,0,21,-,5366,2546
Kopitar Anze,LA,Player,20:31,0,1,0,0,0,0,2,1,2287,298
Sundqvist Oskar,LA,Player,12:09,0,1,0,-1,0,0,0,1,4451,325
Suter Pius,LA,Player,10:06,0,1,0,-1,0,0,0,0,1931,366
Lemieux Brendan,LA,Player,10:06,0,1,0,-1,0,0,1,0,1391,443
Johnson Erik,LA,Player,15:36,0,0,0,-2,0,0,0,0,5288,544
Edler Alexander,LA,Player,22:46,0,0,0,0,0,0,1,5,3842,611
Makar Cale,LA,Player,19:55,0,0,0,0,0,0,1,0,4146,683
Roy Matt,LA,Player,18:37,0,0,0,-2,0,0,0,4,4118,728
Moore Trevor,LA,Player,12:45,0,0,0,-1,0,0,2,4,3034,732
Fiala Kevin,LA,Player,18:00,0,1,0,0,0,0,0,4,2511,803
Zuccarello Mats,LA,Player,19:09,1,1,0,-2,0,0,2,2,5807,1559
Hutton Ben,LA,Player,23:32,0,0,0,-2,0,0,0,5,6562,1631
Anderson Mikey,LA,Player,19:34,0,0,0,-2,0,0,1,2,6513,1866
Acciari Noel,LA,Player,12:54,1,0,0,-1,0,0,2,1,2639,1973
Kempe Adrian,LA,Player,17:43,1,0,0,0,0,0,5,2,6129,2020
Zucker Jason,LA,Player,19:17,0,0,0,-2,0,0,1,2,2630,3042
Schenn Brayden,LA,Player,19:08,1,1,0,-2,0,0,1,4,4131,3265
Tuch Alex,LA,Player,10:06,1,0,0,-1,0,0,2,2,6176,4434
Petersen Cal,LA,Goalie,17:51,-,0,0,-,5,0,13,-,2411,621
Hart Carter,LA,Goalie,40:15,-,0,0,-,4,1,22,-,1528,1209
