Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bouchard Evan,EDM,Player,18:30,0,0,2,-1,0,0,0,1,2042,178
Nugent-Hopkins Ryan,EDM,Player,14:05,0,0,0,0,0,0,1,3,4422,194
Yamamoto Kailer,EDM,Player,13:52,1,0,0,0,0,0,2,2,1155,382
Turris Kyle,EDM,Player,15:48,1,0,0,-1,0,0,3,2,5487,499
Nurse Darnell,EDM,Player,25:24,0,1,0,0,0,0,0,2,2513,822
Barrie Tyson,EDM,Player,23:50,0,1,0,1,0,0,0,3,3025,940
Foegele Warren,EDM,Player,10:09,0,1,0,2,0,0,1,1,3895,1021
McLeod Ryan,EDM,Player,13:18,1,0,0,2,0,0,2,3,1713,1137
Puljujarvi Jesse,EDM,Player,14:13,0,0,0,0,0,0,3,0,364,1152
McDavid Connor,EDM,Player,18:22,0,1,0,1,0,0,3,3,3758,1363
Murray Ryan,EDM,Player,15:58,1,0,0,2,0,0,2,5,3391,1491
Ceci Cody,EDM,Player,15:57,0,1,0,2,0,0,0,5,1109,1791
Ryan Derek,EDM,Player,08:32,0,2,0,2,0,0,0,0,2672,2468
Hyman Zach,EDM,Player,14:18,0,1,0,-1,0,0,2,0,5566,2697
Kane Evander,EDM,Player,18:56,0,1,0,-1,0,0,0,0,2450,2873
Klefbom Oscar,EDM,Player,21:11,0,0,0,-1,0,0,0,4,4528,3528
Draisaitl Leon,EDM,Player,18:49,3,0,0,-1,1,0,5,1,1803,3666
Kostin Klim,EDM,Player,13:53,0,0,0,-1,0,0,0,0,6184,4497
Smith Mike,EDM,Goalie,59:55,-,2,0,-,5,0,27,-,3638,586
Campbell Jack,EDM,Goalie,00:00,-,0,0,-,0,0,0,-,5366,2546
Smith Brendan,NJ,Player,17:37,0,1,0,-2,0,0,2,4,1851,38
Haula Erik,NJ,Player,15:57,0,0,0,-3,0,0,3,1,5356,74
Sharangovich Yegor,NJ,Player,15:03,0,0,0,0,0,0,1,2,1810,200
Hamilton Dougie,NJ,Player,20:56,0,1,0,2,0,0,0,2,782,212
Zetterlund Fabian,NJ,Player,16:19,0,0,0,0,0,0,2,1,6629,375
Siegenthaler Jonas,NJ,Player,17:39,0,0,0,-2,0,0,0,0,3442,512
Bratt Jesper,NJ,Player,18:44,0,2,0,3,0,0,3,1,375,636
Graves Ryan,NJ,Player,21:25,0,1,0,-1,0,0,0,2,4126,684
Tatar Tomas,NJ,Player,15:34,0,0,0,-3,0,0,1,0,5524,695
Marino John,NJ,Player,22:24,1,0,0,1,0,0,1,1,3769,932
Hughes Jack,NJ,Player,16:37,1,1,0,2,0,0,4,5,916,1222
Severson Damon,NJ,Player,19:59,0,0,0,0,0,0,1,2,2492,1685
Bastian Nathan,NJ,Player,15:55,0,0,0,-2,0,0,1,2,6514,2063
Mercer Dawson,NJ,Player,09:29,1,0,0,-1,0,0,2,0,6563,2223
Palat Ondrej,NJ,Player,18:46,1,1,0,2,0,0,3,0,2871,2416
McLeod Michael,NJ,Player,11:21,0,1,2,0,0,0,0,2,4939,3240
Wood Miles,NJ,Player,10:10,0,1,0,-1,0,0,0,4,5940,4242
Hischier Nico,NJ,Player,16:02,1,0,0,0,0,0,3,1,6163,4410
Blackwood Mackenzie,NJ,Goalie,60:00,-,0,0,-,7,0,24,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
