Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bouchard Evan,EDM,Player,18:21,0,0,0,2,0,0,0,3,2042,178
Nugent-Hopkins Ryan,EDM,Player,16:11,0,0,0,0,0,0,2,0,4422,194
Yamamoto Kailer,EDM,Player,13:29,0,0,0,0,0,0,1,2,1155,382
Turris Kyle,EDM,Player,16:14,0,0,0,0,0,0,2,1,5487,499
Nurse Darnell,EDM,Player,25:34,0,0,0,1,0,0,0,6,2513,822
Barrie Tyson,EDM,Player,21:30,0,0,0,0,0,0,0,1,3025,940
Foegele Warren,EDM,Player,12:27,0,1,2,1,0,0,0,1,3895,1021
McLeod Ryan,EDM,Player,13:35,1,0,0,1,0,0,1,0,1713,1137
Puljujarvi Jesse,EDM,Player,15:26,0,0,0,0,0,0,1,0,364,1152
McDavid Connor,EDM,Player,18:33,0,0,0,0,0,0,4,1,3758,1363
Murray Ryan,EDM,Player,17:13,0,0,0,0,0,0,0,2,3391,1491
Ceci Cody,EDM,Player,16:39,0,0,0,0,0,0,0,2,1109,1791
Ryan Derek,EDM,Player,10:10,0,1,0,1,0,0,1,2,2672,2468
Hyman Zach,EDM,Player,11:55,0,1,0,1,0,0,2,0,5566,2697
Kane Evander,EDM,Player,23:26,0,0,0,0,0,0,2,3,2450,2873
Klefbom Oscar,EDM,Player,20:43,0,1,0,1,0,0,0,5,4528,3528
Draisaitl Leon,EDM,Player,11:22,1,1,0,1,0,0,4,0,1803,3666
Kostin Klim,EDM,Player,12:11,1,1,0,1,0,0,2,1,6184,4497
Smith Mike,EDM,Goalie,60:00,-,0,0,-,1,0,24,-,3638,586
Campbell Jack,EDM,Goalie,00:00,-,0,0,-,0,0,0,-,5366,2546
Barzal Mathew,NYI,Player,23:06,0,0,0,-1,0,0,2,3,6065,296
Parise Zach,NYI,Player,18:44,0,0,0,0,0,0,3,0,3395,387
Palmieri Kyle,NYI,Player,19:05,0,0,0,0,0,0,4,2,4569,498
Dobson Noah,NYI,Player,22:42,0,0,0,-1,0,0,0,4,2160,667
Martin Matt,NYI,Player,01:41,0,0,0,0,0,0,2,0,5357,850
Mayfield Scott,NYI,Player,17:00,0,1,0,-1,0,0,0,2,6058,1148
Cizikas Casey,NYI,Player,16:13,0,0,0,-1,0,0,2,1,3210,1532
Romanov Alexander,NYI,Player,19:13,0,0,0,0,0,0,0,1,5790,1579
Bailey Josh,NYI,Player,16:13,0,0,0,-1,0,0,1,1,3269,1649
Nelson Brock,NYI,Player,24:04,0,0,0,-1,0,0,4,0,3021,1736
Pageau Jean-Gabriel,NYI,Player,18:02,0,0,0,0,0,0,1,1,4952,1808
Lee Anders,NYI,Player,23:45,0,0,0,-1,0,0,3,0,2493,1895
Beauvillier Anthony,NYI,Player,01:18,0,0,0,0,0,0,0,0,6066,2074
Hickey Thomas,NYI,Player,17:10,0,0,0,-1,0,0,0,5,4517,2097
Wahlstrom Oliver,NYI,Player,15:50,1,0,0,-1,0,0,1,1,5065,2234
Pelech Adam,NYI,Player,23:37,0,0,0,-1,0,0,0,3,5645,4007
Pulock Ryan,NYI,Player,20:18,0,0,0,0,0,0,1,2,2748,4152
Clutterbuck Cal,NYI,Player,01:59,0,0,0,0,0,0,0,0,5214,4277
Sorokin Ilya,NYI,Goalie,60:00,-,0,0,-,3,0,22,-,5141,2065
Varlamov Semyon,NYI,Goalie,00:00,-,0,0,-,0,0,0,-,4806,3344
