Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bouchard Evan,EDM,Player,19:14,0,0,0,2,0,0,1,5,2042,178
Nugent-Hopkins Ryan,EDM,Player,12:45,1,0,0,2,0,0,2,1,4422,194
Yamamoto Kailer,EDM,Player,14:43,0,1,0,2,0,0,3,2,1155,382
Turris Kyle,EDM,Player,18:10,0,1,0,1,0,0,6,1,5487,499
Nurse Darnell,EDM,Player,23:32,0,0,0,1,0,0,0,8,2513,822
Barrie Tyson,EDM,Player,24:00,0,0,0,1,0,0,1,6,3025,940
Foegele Warren,EDM,Player,13:52,0,0,0,1,0,0,5,0,3895,1021
McLeod Ryan,EDM,Player,14:27,1,0,0,1,0,0,1,0,1713,1137
Puljujarvi Jesse,EDM,Player,12:34,1,0,0,2,0,0,5,1,364,1152
McDavid Connor,EDM,Player,17:19,2,0,0,1,0,0,3,1,3758,1363
Murray Ryan,EDM,Player,17:15,0,2,0,3,0,0,1,2,3391,1491
Ceci Cody,EDM,Player,16:46,0,0,0,3,0,0,1,3,1109,1791
Ryan Derek,EDM,Player,15:06,0,0,0,1,0,0,2,4,2672,2468
Hyman Zach,EDM,Player,14:16,0,0,0,2,0,0,4,3,5566,2697
Kane Evander,EDM,Player,17:09,0,1,0,1,0,0,3,0,2450,2873
Klefbom Oscar,EDM,Player,19:13,0,1,0,2,0,0,1,2,4528,3528
Draisaitl Leon,EDM,Player,14:50,2,0,0,2,0,0,7,1,1803,3666
Kostin Klim,EDM,Player,14:49,0,0,0,2,0,0,2,1,6184,4497
Smith Mike,EDM,Goalie,00:00,-,0,0,-,0,0,0,-,3638,586
Campbell Jack,EDM,Goalie,60:00,-,0,0,-,1,0,22,-,5366,2546
Iafallo Alex,PIT,Player,17:32,0,0,0,-3,0,0,3,0,6121,58
Tkachuk Brady,PIT,Player,18:54,0,0,0,-1,0,0,1,1,4369,96
Ellis Ryan,PIT,Player,18:14,0,0,0,-2,0,0,0,0,3247,350
Necas Martin,PIT,Player,12:27,0,0,0,-1,0,0,1,0,751,377
Letang Kris,PIT,Player,18:34,0,0,0,-1,0,0,0,1,1716,501
Rakell Rickard,PIT,Player,12:20,0,0,0,-1,0,0,1,1,1276,526
Backstrom Nicklas,PIT,Player,18:51,0,1,0,-2,0,0,4,2,3066,654
Joseph Pierre-Olivier,PIT,Player,18:56,0,0,0,-1,0,0,0,1,6623,678
Caggiula Drake,PIT,Player,11:14,0,0,0,-1,0,0,1,0,6074,704
Dumoulin Brian,PIT,Player,20:33,0,0,0,-3,0,0,2,3,2750,749
Heinen Danton,PIT,Player,12:04,0,0,0,-1,0,0,0,2,6080,1100
Hughes Quinton,PIT,Player,16:50,0,0,0,-1,0,0,3,0,1188,1210
Pettersson Marcus,PIT,Player,23:12,0,0,0,-3,0,0,1,2,3150,1594
Werenski Zach,PIT,Player,20:31,1,0,0,-2,0,0,1,2,6037,2322
Boyle Brian,PIT,Player,14:21,0,0,0,-3,0,0,0,2,3830,4222
Brassard Derrick,PIT,Player,14:40,0,0,0,0,0,0,2,0,5278,4283
Kapanen Kasperi,PIT,Player,18:39,0,0,0,-3,0,0,2,0,991,4360
Blugers Teodors,PIT,Player,12:08,0,0,0,-1,0,0,0,0,341,4454
Halak Jaroslav,PIT,Goalie,60:00,-,0,0,-,7,0,48,-,1277,326
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
