Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bouchard Evan,EDM,Player,22:26,0,0,0,1,0,0,0,4,2042,178
Nugent-Hopkins Ryan,EDM,Player,13:40,1,0,0,0,0,0,2,1,4422,194
Yamamoto Kailer,EDM,Player,12:20,0,0,0,-1,0,0,0,1,1155,382
Turris Kyle,EDM,Player,13:30,0,1,0,0,0,0,1,2,5487,499
Nurse Darnell,EDM,Player,20:00,0,0,0,1,0,0,0,5,2513,822
Barrie Tyson,EDM,Player,22:10,0,0,0,1,0,0,0,5,3025,940
Foegele Warren,EDM,Player,10:27,0,1,0,2,0,0,1,1,3895,1021
McLeod Ryan,EDM,Player,06:53,0,1,0,1,0,0,0,2,1713,1137
Puljujarvi Jesse,EDM,Player,15:09,0,1,0,0,0,0,2,1,364,1152
McDavid Connor,EDM,Player,14:55,0,1,0,0,0,0,2,1,3758,1363
Murray Ryan,EDM,Player,17:19,0,0,0,0,0,0,0,5,3391,1491
Ceci Cody,EDM,Player,15:24,0,1,0,0,0,0,0,4,1109,1791
Ryan Derek,EDM,Player,08:33,1,0,0,1,0,0,1,1,2672,2468
Hyman Zach,EDM,Player,22:33,0,1,0,1,0,0,1,2,5566,2697
Kane Evander,EDM,Player,14:40,1,0,0,0,0,0,4,0,2450,2873
Klefbom Oscar,EDM,Player,22:41,0,0,0,1,0,0,0,3,4528,3528
Draisaitl Leon,EDM,Player,23:02,0,1,0,1,0,0,3,2,1803,3666
Kostin Klim,EDM,Player,24:28,1,0,0,1,0,0,3,2,6184,4497
Smith Mike,EDM,Goalie,59:50,-,0,0,-,1,1,14,-,3638,586
Campbell Jack,EDM,Goalie,00:00,-,0,0,-,0,0,0,-,5366,2546
Nyquist Gustav,STL,Player,14:01,0,0,0,0,0,0,1,2,3158,16
Leddy Nick,STL,Player,18:56,0,0,0,-1,0,0,0,2,4412,136
Johnson Kent,STL,Player,08:41,0,0,0,-1,0,0,0,0,6608,159
Bozak Tyler,STL,Player,08:41,0,0,0,-1,0,0,2,0,2255,571
Buchnevich Pavel,STL,Player,20:37,0,0,0,-1,0,0,3,5,226,1067
Saad Brandon,STL,Player,17:03,1,0,0,0,0,0,3,0,1737,1234
Thomas Robert,STL,Player,12:00,0,0,0,0,0,0,0,0,3452,1332
Bortuzzo Robert,STL,Player,18:26,0,0,0,-1,0,0,0,1,4409,2134
Mikkola Niko,STL,Player,21:11,0,0,0,0,0,0,0,4,1141,2155
Parayko Colton,STL,Player,20:23,1,0,0,-1,0,0,1,3,4669,2158
Pitlick Rem,STL,Player,12:15,0,0,0,0,0,0,3,0,6566,2343
Kaliyev Arthur,STL,Player,08:41,0,0,0,-1,0,0,0,2,6567,2354
O'Reilly Ryan,STL,Player,17:32,0,0,0,-1,0,0,0,1,3062,2382
Krug Torey,STL,Player,20:13,0,0,0,-1,0,0,0,1,3615,2521
Faulk Justin,STL,Player,20:51,0,0,0,0,0,0,0,2,3744,3400
Danault Phillip,STL,Player,21:32,0,0,0,0,0,0,1,1,5218,4101
Vrana Jakub,STL,Player,20:15,0,0,0,-1,0,0,1,1,6115,4338
Tarasenko Vladimir,STL,Player,18:42,0,1,0,0,0,0,0,0,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,1,0,-,4,0,20,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
