Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Bouchard Evan,EDM,Player,20:04,0,0,0,-1,0,0,0,2,2042,178
Nugent-Hopkins Ryan,EDM,Player,15:24,1,0,0,1,0,0,3,1,4422,194
Yamamoto Kailer,EDM,Player,18:46,0,2,0,1,0,0,3,1,1155,382
Turris Kyle,EDM,Player,16:19,0,0,0,0,0,0,0,2,5487,499
Nurse Darnell,EDM,Player,23:44,0,0,2,-1,0,0,1,5,2513,822
Barrie Tyson,EDM,Player,25:05,0,0,0,-2,0,0,0,3,3025,940
Foegele Warren,EDM,Player,11:46,0,0,0,-1,0,0,1,0,3895,1021
McLeod Ryan,EDM,Player,15:00,0,0,0,-1,0,0,3,3,1713,1137
Puljujarvi Jesse,EDM,Player,19:39,2,1,0,1,0,0,4,1,364,1152
McDavid Connor,EDM,Player,20:46,1,0,0,-1,0,0,3,2,3758,1363
Murray Ryan,EDM,Player,24:10,0,1,0,1,0,0,1,1,3391,1491
Ceci Cody,EDM,Player,22:22,0,1,0,2,0,0,0,6,1109,1791
Ryan Derek,EDM,Player,11:39,0,0,0,-1,0,0,3,1,2672,2468
Hyman Zach,EDM,Player,10:08,0,0,0,0,0,0,2,1,5566,2697
Kane Evander,EDM,Player,17:17,0,1,0,0,0,0,0,1,2450,2873
Klefbom Oscar,EDM,Player,16:47,0,0,0,-1,0,0,0,1,4528,3528
Draisaitl Leon,EDM,Player,13:57,0,1,0,0,0,0,1,2,1803,3666
Kostin Klim,EDM,Player,10:07,0,0,0,-1,0,0,1,0,6184,4497
Smith Mike,EDM,Goalie,00:00,-,0,0,-,0,0,0,-,3638,586
Campbell Jack,EDM,Goalie,64:30,-,1,0,-,5,0,14,-,5366,2546
Horvat Bo,VAN,Player,18:19,0,2,0,2,0,0,0,2,2502,104
Ekman-Larsson Oliver,VAN,Player,23:55,0,0,0,1,0,0,0,6,2592,139
Garland Conor,VAN,Player,17:42,0,0,0,-2,0,0,2,0,2704,520
Poolman Tucker,VAN,Player,20:21,0,0,0,-1,0,0,0,5,6203,574
Highmore Matthew,VAN,Player,10:06,0,1,0,1,0,0,1,1,1472,665
Stillman Riley,VAN,Player,20:44,0,0,0,-1,0,0,0,0,4268,719
Bear Ethan,VAN,Player,21:04,0,0,0,1,0,0,0,7,5987,1188
Hughes Quinton,VAN,Player,12:43,1,0,0,2,0,0,1,2,1188,1210
Podkolzin Vasili,VAN,Player,09:41,0,0,0,1,0,0,1,1,5788,1577
Lazar Curtis,VAN,Player,17:43,0,0,0,-2,0,0,0,2,2496,2115
Miller J.T.,VAN,Player,18:22,0,0,0,0,0,0,1,1,3233,2378
Pettersson Elias,VAN,Player,19:07,1,0,0,-1,0,0,3,1,6254,2525
Kuzmenko Andrei,VAN,Player,19:37,1,1,0,2,0,0,1,2,2462,2782
Myers Tyler,VAN,Player,20:09,0,1,0,1,0,0,0,1,1127,2893
Schenn Luke,VAN,Player,19:41,0,0,0,1,0,0,0,7,237,3199
Pearson Tanner,VAN,Player,14:22,0,0,0,-2,0,0,0,3,3944,3524
Mikheyev Ilya,VAN,Player,11:12,1,0,0,1,0,0,1,3,4751,3929
Boeser Brock,VAN,Player,23:12,1,1,0,0,0,0,3,3,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,64:30,-,0,0,-,4,0,26,-,5939,4241
