Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Forsling Gustav,FLA,Player,23:47,1,0,0,0,1,0,2,4,4628,3
Staal Eric,FLA,Player,14:12,2,1,0,2,0,0,5,2,1882,121
Reinhart Sam,FLA,Player,12:33,1,0,0,0,0,0,1,0,2477,379
Bennett Sam,FLA,Player,13:01,1,1,0,1,0,0,5,1,2478,393
Rasmussen Michael,FLA,Player,13:28,1,0,0,2,0,0,2,1,6556,399
Staal Marc,FLA,Player,17:25,0,1,0,1,0,0,0,1,5158,433
Barkov Aleksander,FLA,Player,19:05,1,4,0,1,0,0,3,0,1405,699
Lundell Anton,FLA,Player,15:19,1,1,0,1,0,0,4,2,6572,848
Ekblad Aaron,FLA,Player,23:43,0,1,0,-1,0,0,2,6,2485,1106
Luostarinen Eetu,FLA,Player,13:51,0,2,0,2,0,0,5,0,2136,1245
Hornqvist Patric,FLA,Player,15:31,0,1,0,1,0,0,2,3,3077,1411
Montour Brandon,FLA,Player,17:19,0,1,0,4,0,0,1,7,6124,2226
Tkachuk Matthew,FLA,Player,18:56,3,1,0,2,1,0,8,0,5951,2362
Duclair Anthony,FLA,Player,11:54,0,1,0,0,0,0,2,2,2495,2393
Gudas Radko,FLA,Player,18:48,0,1,0,4,0,0,0,9,3632,2409
Verhaeghe Carter,FLA,Player,18:56,0,4,0,2,0,0,1,1,1035,2641
Mahura Josh,FLA,Player,18:58,0,0,0,2,0,0,0,4,466,2667
Cousins Nick,FLA,Player,13:42,1,0,0,1,0,0,1,1,4665,4041
Francouz Pavel,FLA,Goalie,59:32,-,0,0,-,5,0,12,-,2460,341
Bobrovsky Sergei,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,5639,3160
Durzi Sean,COL,Player,22:36,0,0,0,-2,0,0,1,8,6611,82
Landeskog Gabriel,COL,Player,14:32,0,0,0,-3,0,0,1,5,1157,105
Cogliano Andrew,COL,Player,16:11,0,0,0,-2,0,0,0,3,5163,259
Galchenyuk Alex,COL,Player,13:06,1,1,0,2,0,0,1,3,1690,281
Doughty Drew,COL,Player,19:18,0,0,0,-1,0,0,0,7,216,294
MacKinnon Nathan,COL,Player,16:26,0,2,2,-3,0,0,1,1,3917,599
MacDermid Kurtis,COL,Player,18:56,0,0,0,-3,0,0,0,6,1114,747
Toews Devon,COL,Player,18:19,0,1,0,-1,0,0,0,3,3708,854
Lehkonen Artturi,COL,Player,14:04,0,1,0,0,0,0,0,0,3216,1447
Newhook Alex,COL,Player,18:21,1,0,2,1,0,0,2,6,6560,1456
O'Connor Logan,COL,Player,16:36,0,0,0,-3,0,0,0,3,6576,2388
Rodrigues Evan,COL,Player,06:02,1,0,0,0,0,0,2,1,6126,2650
Oshie T.J.,COL,Player,19:53,1,1,0,-2,0,0,1,2,5408,3212
Manson Josh,COL,Player,22:45,0,0,0,-1,0,0,0,5,5585,3493
Compher J.T.,COL,Player,16:36,0,0,0,-3,0,0,1,2,5937,3848
Helm Darren,COL,Player,09:27,0,0,0,0,0,0,0,0,5382,4289
Guentzel Jake,COL,Player,16:11,1,0,0,-2,0,0,2,2,6111,4331
Girard Samuel,COL,Player,18:06,0,0,0,-2,0,0,0,4,6118,4344
Georgiev Alexander,COL,Goalie,59:52,-,2,0,-,12,0,44,-,482,92
Knight Spencer,COL,Goalie,00:00,-,0,0,-,0,0,0,-,6557,723
