Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Forsling Gustav,FLA,Player,19:18,0,1,0,2,0,0,2,12,4628,3
Staal Eric,FLA,Player,12:19,0,0,0,0,0,0,1,0,1882,121
Reinhart Sam,FLA,Player,15:31,0,1,0,1,0,0,0,1,2477,379
Bennett Sam,FLA,Player,14:05,1,0,0,0,0,0,3,1,2478,393
Rasmussen Michael,FLA,Player,13:28,2,0,0,2,0,0,6,4,6556,399
Staal Marc,FLA,Player,16:24,0,0,0,0,0,0,0,4,5158,433
Barkov Aleksander,FLA,Player,19:04,3,0,0,3,0,0,6,4,1405,699
Lundell Anton,FLA,Player,13:07,0,1,0,0,0,0,3,1,6572,848
Ekblad Aaron,FLA,Player,19:23,0,0,0,3,0,0,0,5,2485,1106
Luostarinen Eetu,FLA,Player,14:14,0,2,0,2,0,0,1,1,2136,1245
Hornqvist Patric,FLA,Player,12:02,1,0,0,0,0,0,2,3,3077,1411
Montour Brandon,FLA,Player,21:34,0,0,0,1,0,0,0,3,6124,2226
Tkachuk Matthew,FLA,Player,18:59,0,2,0,2,0,0,1,3,5951,2362
Duclair Anthony,FLA,Player,14:06,0,1,0,0,0,0,0,3,2495,2393
Gudas Radko,FLA,Player,24:18,0,1,0,3,0,0,0,6,3632,2409
Verhaeghe Carter,FLA,Player,18:33,1,2,0,3,0,0,3,0,1035,2641
Mahura Josh,FLA,Player,19:03,0,0,0,1,0,0,0,6,466,2667
Cousins Nick,FLA,Player,14:32,0,1,0,2,0,0,2,2,4665,4041
Francouz Pavel,FLA,Goalie,60:00,-,0,0,-,3,0,9,-,2460,341
Bobrovsky Sergei,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,5639,3160
Hronek Filip,DET,Player,22:20,0,0,0,-2,0,0,0,4,6228,9
Copp Andy,DET,Player,12:37,0,1,0,-2,0,0,0,2,4865,103
Berggren Jonatan,DET,Player,10:49,1,0,0,0,0,0,1,0,6610,292
Hagg Robert,DET,Player,27:02,0,0,0,-2,0,0,0,3,2110,400
Perron David,DET,Player,16:15,0,0,0,-1,0,0,1,0,5165,543
Seider Moritz,DET,Player,24:10,0,1,0,-1,0,0,0,4,1948,645
Luff Matt,DET,Player,16:23,0,1,0,-1,0,0,0,3,5233,738
Barbashyov Ivan,DET,Player,13:34,0,1,0,-1,0,0,2,4,3871,986
Czarnik  Austin,DET,Player,17:10,0,0,0,-1,0,0,2,2,6079,1022
Maatta Olli,DET,Player,10:57,0,0,0,0,0,0,0,2,2735,1899
Dillon Brenden,DET,Player,22:01,0,0,0,-3,0,0,0,3,3193,2019
Kupari Rasmus,DET,Player,19:11,0,0,0,-2,0,0,0,3,6581,2405
Bjork Marcus,DET,Player,13:30,0,0,0,-2,0,0,0,1,6607,2529
Dubois Pierre-Luc,DET,Player,13:22,1,0,0,-1,0,0,1,0,5952,2979
Gaudreau Johnny,DET,Player,12:53,0,1,0,-2,0,0,0,1,1237,3646
Fabbri Robby,DET,Player,17:23,1,0,0,-1,0,0,1,1,5090,4016
Bertuzzi Tyler,DET,Player,12:12,0,1,0,-2,0,0,1,1,328,4304
Erne Adam,DET,Player,18:11,0,0,0,-1,0,0,0,3,6139,4341
Husso Ville,DET,Goalie,60:00,-,0,0,-,8,0,30,-,4982,1743
Nedeljkovic Alex,DET,Goalie,00:00,-,0,0,-,0,0,0,-,6579,2397
