Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Forsling Gustav,FLA,Player,28:39,0,0,0,2,0,0,0,4,4628,3
Staal Eric,FLA,Player,14:11,0,0,0,-1,0,0,3,0,1882,121
Reinhart Sam,FLA,Player,18:34,0,1,0,1,0,0,1,0,2477,379
Bennett Sam,FLA,Player,17:39,0,1,2,1,0,0,0,3,2478,393
Staal Marc,FLA,Player,19:34,0,0,0,-1,0,0,1,2,5158,433
Barkov Aleksander,FLA,Player,20:40,1,0,0,1,0,0,5,4,1405,699
Lundell Anton,FLA,Player,13:22,0,0,0,-1,0,0,1,2,6572,848
Ekblad Aaron,FLA,Player,28:53,0,0,0,1,0,0,1,2,2485,1106
Luostarinen Eetu,FLA,Player,11:34,1,1,0,0,0,0,1,1,2136,1245
Hornqvist Patric,FLA,Player,12:32,0,0,0,0,0,0,0,3,3077,1411
Montour Brandon,FLA,Player,17:19,0,1,2,1,0,0,0,2,6124,2226
Tkachuk Matthew,FLA,Player,21:40,0,1,0,1,0,0,1,0,5951,2362
Duclair Anthony,FLA,Player,11:00,1,0,0,1,0,0,1,1,2495,2393
Gudas Radko,FLA,Player,16:31,0,1,0,1,0,0,0,0,3632,2409
Verhaeghe Carter,FLA,Player,13:12,1,1,0,1,0,0,2,0,1035,2641
Mahura Josh,FLA,Player,20:19,0,0,0,0,0,0,1,2,466,2667
Cousins Nick,FLA,Player,12:21,0,1,0,1,0,0,2,1,4665,4041
White Colin,FLA,Player,12:20,1,1,0,0,0,0,2,0,2122,4352
Knight Spencer,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,6557,723
Bobrovsky Sergei,FLA,Goalie,64:44,-,0,0,-,4,0,25,-,5639,3160
Bouchard Evan,EDM,Player,19:01,0,1,0,-2,0,0,0,9,2042,178
Nugent-Hopkins Ryan,EDM,Player,16:16,1,0,0,0,1,0,2,0,4422,194
Yamamoto Kailer,EDM,Player,18:22,0,0,0,-1,0,0,2,1,1155,382
Turris Kyle,EDM,Player,21:13,1,0,0,0,0,0,2,1,5487,499
Nurse Darnell,EDM,Player,26:09,0,0,0,-1,0,0,0,4,2513,822
Barrie Tyson,EDM,Player,27:17,0,1,0,-1,0,0,1,5,3025,940
Foegele Warren,EDM,Player,07:36,0,1,0,0,0,0,0,1,3895,1021
McLeod Ryan,EDM,Player,14:07,0,0,0,-1,0,0,3,1,1713,1137
Puljujarvi Jesse,EDM,Player,12:22,1,0,0,1,0,0,1,2,364,1152
McDavid Connor,EDM,Player,27:50,0,1,0,0,0,0,3,4,3758,1363
Murray Ryan,EDM,Player,19:36,0,1,0,1,0,0,0,4,3391,1491
Ceci Cody,EDM,Player,19:34,0,0,0,1,0,0,0,4,1109,1791
Ryan Derek,EDM,Player,07:19,0,2,0,-1,0,0,1,0,2672,2468
Hyman Zach,EDM,Player,16:18,0,0,0,0,0,0,0,1,5566,2697
Kane Evander,EDM,Player,22:58,0,0,0,0,0,0,4,3,2450,2873
Klefbom Oscar,EDM,Player,17:51,0,0,0,-2,0,0,0,3,4528,3528
Draisaitl Leon,EDM,Player,17:43,0,0,0,-1,0,0,3,1,1803,3666
Kostin Klim,EDM,Player,07:24,1,0,0,-2,0,0,3,0,6184,4497
Smith Mike,EDM,Goalie,00:00,-,0,0,-,0,0,0,-,3638,586
Campbell Jack,EDM,Goalie,64:44,-,0,0,-,5,0,22,-,5366,2546
