Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Forsling Gustav,FLA,Player,28:46,0,2,0,8,0,0,1,5,4628,3
Staal Eric,FLA,Player,11:38,0,2,0,2,0,0,3,0,1882,121
Reinhart Sam,FLA,Player,13:25,1,1,0,2,0,0,2,3,2477,379
Bennett Sam,FLA,Player,16:31,0,1,0,2,0,0,1,2,2478,393
Staal Marc,FLA,Player,15:14,0,0,0,4,0,0,1,1,5158,433
Barkov Aleksander,FLA,Player,21:25,1,5,0,4,0,0,4,2,1405,699
Lundell Anton,FLA,Player,11:21,1,1,0,2,0,0,4,2,6572,848
Ekblad Aaron,FLA,Player,28:26,0,2,0,8,0,0,0,7,2485,1106
Luostarinen Eetu,FLA,Player,10:26,5,1,0,7,0,0,7,0,2136,1245
Hornqvist Patric,FLA,Player,12:24,1,1,0,2,0,0,3,1,3077,1411
Montour Brandon,FLA,Player,15:52,0,1,0,3,0,0,0,3,6124,2226
Tkachuk Matthew,FLA,Player,23:45,4,1,0,4,1,0,6,0,5951,2362
Duclair Anthony,FLA,Player,16:51,1,1,0,2,0,0,7,5,2495,2393
Gudas Radko,FLA,Player,16:00,0,0,0,3,0,0,2,5,3632,2409
Verhaeghe Carter,FLA,Player,21:22,2,2,0,4,0,0,7,2,1035,2641
Mahura Josh,FLA,Player,15:42,0,0,0,4,0,0,0,4,466,2667
Cousins Nick,FLA,Player,10:26,2,5,0,7,0,0,4,3,4665,4041
White Colin,FLA,Player,10:26,0,6,0,7,0,0,1,0,2122,4352
Knight Spencer,FLA,Goalie,60:00,-,1,0,-,2,0,10,-,6557,723
Bobrovsky Sergei,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,5639,3160
Smith Cole,NSH,Player,19:08,0,0,0,-4,0,0,3,0,6630,34
Granlund Mikael,NSH,Player,16:53,0,1,0,-1,0,0,1,1,877,110
Duchene Matt,NSH,Player,19:53,0,2,0,-1,0,0,0,4,2266,165
Johansen Ryan,NSH,Player,21:22,0,0,0,-4,0,0,2,0,2985,174
Josi Roman,NSH,Player,24:23,0,0,0,-4,0,0,0,5,2438,266
Forsberg Filip,NSH,Player,16:05,2,0,0,-1,0,0,2,3,4033,390
Ekholm Mattias,NSH,Player,22:24,0,1,0,-5,0,0,0,4,1098,467
Lauzon Jeremy,NSH,Player,12:01,0,0,0,-4,0,0,0,5,5179,567
Sanford Zachary,NSH,Player,08:30,0,0,0,-6,0,0,1,0,6085,644
Niderreiter Nino,NSH,Player,18:52,0,0,0,-4,0,0,1,1,4867,689
Tolvanen Eeli,NSH,Player,08:30,0,0,0,-6,0,0,0,1,1987,1109
Borowiecki Mark,NSH,Player,22:05,0,0,0,-6,0,0,0,3,3634,2056
Tomasino Philip,NSH,Player,13:13,0,0,2,-5,0,0,0,5,6564,2245
Fabbro Dante,NSH,Player,16:11,0,0,0,-5,0,0,0,5,1267,2252
Carrier Alexandre,NSH,Player,22:56,0,0,0,-6,0,0,0,7,2760,2657
Jeannot Tanner,NSH,Player,13:38,0,0,0,-4,0,0,0,2,3211,2662
Sissons Colton,NSH,Player,11:01,0,0,0,-5,0,0,0,1,1278,2787
Trenin Yakov,NSH,Player,13:11,0,0,0,-4,0,0,0,0,6119,4345
Lankinen Kevin,NSH,Goalie,19:32,-,0,0,-,5,3,18,-,2733,11
Saros Juuse,NSH,Goalie,37:33,-,0,0,-,10,0,32,-,1195,3633
