Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Forsling Gustav,FLA,Player,17:14,0,0,0,0,0,0,0,1,4628,3
Staal Eric,FLA,Player,09:14,1,0,0,1,0,0,3,1,1882,121
Reinhart Sam,FLA,Player,19:25,0,0,0,-1,0,0,4,0,2477,379
Bennett Sam,FLA,Player,20:17,0,1,0,1,0,0,2,1,2478,393
Rasmussen Michael,FLA,Player,12:52,1,1,0,1,0,0,2,0,6556,399
Staal Marc,FLA,Player,19:22,0,0,0,3,0,0,0,5,5158,433
Barkov Aleksander,FLA,Player,17:38,0,1,0,1,0,0,1,0,1405,699
Lundell Anton,FLA,Player,08:10,0,1,0,1,0,0,2,0,6572,848
Ekblad Aaron,FLA,Player,16:16,0,1,0,0,0,0,0,8,2485,1106
Luostarinen Eetu,FLA,Player,13:18,0,2,0,1,0,0,2,0,2136,1245
Hornqvist Patric,FLA,Player,09:25,0,1,0,1,0,0,1,1,3077,1411
Montour Brandon,FLA,Player,24:34,0,0,0,0,0,0,1,1,6124,2226
Tkachuk Matthew,FLA,Player,18:18,0,1,0,2,0,0,3,0,5951,2362
Duclair Anthony,FLA,Player,19:27,0,0,0,-1,0,0,2,2,2495,2393
Gudas Radko,FLA,Player,23:24,0,0,0,0,0,0,0,5,3632,2409
Verhaeghe Carter,FLA,Player,19:05,2,0,0,2,0,0,3,0,1035,2641
Mahura Josh,FLA,Player,19:10,0,0,0,3,0,0,0,2,466,2667
Cousins Nick,FLA,Player,12:51,1,1,0,0,0,0,3,1,4665,4041
Francouz Pavel,FLA,Goalie,60:00,-,0,0,-,2,0,16,-,2460,341
Bobrovsky Sergei,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,5639,3160
Barzal Mathew,NYI,Player,17:39,0,0,2,1,0,0,0,0,6065,296
Parise Zach,NYI,Player,17:17,0,0,0,-1,0,0,0,1,3395,387
Palmieri Kyle,NYI,Player,17:01,0,0,0,-1,0,0,2,1,4569,498
Dobson Noah,NYI,Player,16:29,0,0,0,1,0,0,0,3,2160,667
Martin Matt,NYI,Player,07:05,0,0,0,-2,0,0,1,1,5357,850
Mayfield Scott,NYI,Player,17:50,0,0,0,-1,0,0,0,4,6058,1148
Cizikas Casey,NYI,Player,14:06,0,1,0,-1,0,0,1,1,3210,1532
Romanov Alexander,NYI,Player,23:12,0,0,0,-3,0,0,0,5,5790,1579
Bailey Josh,NYI,Player,13:16,1,0,0,-1,0,0,3,0,3269,1649
Nelson Brock,NYI,Player,16:57,1,0,0,1,0,0,3,0,3021,1736
Pageau Jean-Gabriel,NYI,Player,22:42,0,0,0,-1,0,0,1,0,4952,1808
Lee Anders,NYI,Player,16:58,0,1,0,1,0,0,0,0,2493,1895
Beauvillier Anthony,NYI,Player,07:05,0,0,0,-2,0,0,0,0,6066,2074
Hickey Thomas,NYI,Player,17:50,0,0,0,-1,0,0,0,4,4517,2097
Wahlstrom Oliver,NYI,Player,13:16,0,1,0,-1,0,0,4,1,5065,2234
Pelech Adam,NYI,Player,18:58,0,0,0,1,0,0,0,2,5645,4007
Pulock Ryan,NYI,Player,25:41,0,0,0,-3,0,0,0,5,2748,4152
Clutterbuck Cal,NYI,Player,11:39,0,0,0,-2,0,0,1,3,5214,4277
Sorokin Ilya,NYI,Goalie,60:00,-,0,0,-,5,0,29,-,5141,2065
Varlamov Semyon,NYI,Goalie,00:00,-,0,0,-,0,0,0,-,4806,3344
