Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Forsling Gustav,FLA,Player,27:22,0,0,2,0,0,0,1,4,4628,3
Staal Eric,FLA,Player,07:08,0,0,0,0,0,0,0,0,1882,121
Reinhart Sam,FLA,Player,24:59,0,1,0,1,0,0,0,1,2477,379
Bennett Sam,FLA,Player,20:21,1,0,0,0,0,1,1,2,2478,393
Staal Marc,FLA,Player,20:33,0,0,0,1,0,0,0,2,5158,433
Barkov Aleksander,FLA,Player,22:47,0,0,2,0,0,0,2,0,1405,699
Lundell Anton,FLA,Player,06:35,0,0,0,0,0,0,2,2,6572,848
Ekblad Aaron,FLA,Player,25:42,0,0,0,0,0,0,0,2,2485,1106
Luostarinen Eetu,FLA,Player,14:59,0,0,0,0,0,0,4,0,2136,1245
Hornqvist Patric,FLA,Player,07:05,0,0,0,0,0,0,1,1,3077,1411
Montour Brandon,FLA,Player,19:09,0,0,0,-1,0,0,0,5,6124,2226
Tkachuk Matthew,FLA,Player,23:12,0,0,0,0,0,0,3,1,5951,2362
Duclair Anthony,FLA,Player,13:04,0,0,0,-1,0,0,1,1,2495,2393
Gudas Radko,FLA,Player,18:30,0,0,0,-1,0,0,0,0,3632,2409
Verhaeghe Carter,FLA,Player,13:21,0,0,0,-1,0,0,3,0,1035,2641
Mahura Josh,FLA,Player,20:09,0,1,0,1,0,0,0,3,466,2667
Cousins Nick,FLA,Player,15:01,0,0,0,0,0,0,2,0,4665,4041
White Colin,FLA,Player,14:35,0,0,0,0,0,0,1,0,2122,4352
Knight Spencer,FLA,Goalie,64:43,-,0,0,-,1,0,23,-,6557,723
Bobrovsky Sergei,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,5639,3160
Schneider Braden,NYR,Player,15:10,0,0,0,0,0,0,0,4,6627,64
Zibanejad Mika,NYR,Player,27:16,0,0,0,-1,0,0,1,4,2170,108
Blais Sam,NYR,Player,06:00,0,0,0,1,0,0,0,0,6207,639
Lindgren Ryan,NYR,Player,27:23,0,0,0,0,0,0,3,2,3870,855
Hajek Libor,NYR,Player,10:17,0,0,0,0,0,0,0,1,1718,857
Kakko Kaapo,NYR,Player,08:32,0,0,0,0,0,0,3,1,4419,863
Kravtsov Vitali,NYR,Player,20:05,0,0,0,0,0,0,1,2,6192,948
Fox Adam,NYR,Player,28:42,0,0,0,-1,0,0,0,7,1181,1227
Gauthier Julien,NYR,Player,14:53,0,0,0,0,0,0,1,2,5991,1314
Vesey Jimmy,NYR,Player,03:56,0,1,0,1,0,0,1,1,6032,1596
Miller K’andre,NYR,Player,26:28,0,1,0,0,0,0,1,5,2796,2118
Lafreniere Alexis,NYR,Player,16:02,0,0,0,0,0,0,2,1,6516,2135
Chytil Filip,NYR,Player,09:31,0,0,0,1,0,0,0,2,2026,2350
Trouba Jacob,NYR,Player,22:00,1,0,0,1,0,0,2,7,1743,2659
Panarin Artemi,NYR,Player,27:58,0,0,0,-1,0,0,2,4,1917,3139
Goodrow Barclay,NYR,Player,16:13,0,0,2,0,0,0,2,2,2539,3211
Trocheck Vincent,NYR,Player,12:53,0,0,0,0,0,0,2,1,3671,3527
Kreider Chris,NYR,Player,22:10,0,0,0,-1,0,0,2,2,2968,3752
Halak Jaroslav,NYR,Goalie,00:00,-,0,0,-,0,0,0,-,1277,326
Shestyorkin Igor,NYR,Goalie,64:33,-,0,0,-,1,0,21,-,5584,2237
