Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Forsling Gustav,FLA,Player,22:39,0,1,0,2,0,0,0,6,4628,3
Staal Eric,FLA,Player,14:32,2,1,0,3,0,0,4,0,1882,121
Reinhart Sam,FLA,Player,14:19,0,1,0,2,0,0,2,2,2477,379
Bennett Sam,FLA,Player,14:23,1,1,0,2,0,0,2,2,2478,393
Rasmussen Michael,FLA,Player,14:18,2,2,0,3,0,0,5,0,6556,399
Staal Marc,FLA,Player,14:50,0,2,0,3,0,0,0,5,5158,433
Barkov Aleksander,FLA,Player,17:32,0,1,0,1,0,0,2,2,1405,699
Lundell Anton,FLA,Player,12:45,1,1,0,3,0,0,1,1,6572,848
Ekblad Aaron,FLA,Player,22:39,0,1,0,2,0,0,1,8,2485,1106
Luostarinen Eetu,FLA,Player,13:51,3,2,0,4,0,0,3,1,2136,1245
Hornqvist Patric,FLA,Player,14:00,0,1,0,3,0,0,1,2,3077,1411
Montour Brandon,FLA,Player,20:45,0,3,0,4,0,0,0,4,6124,2226
Tkachuk Matthew,FLA,Player,17:23,0,0,0,2,0,0,2,0,5951,2362
Duclair Anthony,FLA,Player,15:31,2,1,0,2,0,0,5,4,2495,2393
Gudas Radko,FLA,Player,22:31,0,1,0,5,0,0,0,7,3632,2409
Verhaeghe Carter,FLA,Player,17:53,1,0,0,1,0,0,2,2,1035,2641
Mahura Josh,FLA,Player,16:36,0,2,0,4,0,0,1,5,466,2667
Cousins Nick,FLA,Player,13:51,0,3,0,4,0,0,2,0,4665,4041
Francouz Pavel,FLA,Goalie,59:42,-,0,0,-,2,0,25,-,2460,341
Bobrovsky Sergei,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,5639,3160
Maroon Patrick,TB,Player,13:37,0,0,0,-4,0,0,1,1,969,4
Perry Corey,TB,Player,15:55,0,0,0,-1,0,0,3,2,3400,19
Hagel Brandon,TB,Player,09:29,0,1,0,0,0,0,1,0,6555,106
Balcers Rudolfs,TB,Player,20:19,0,1,0,-4,0,0,2,0,6256,444
Crosby Sidney,TB,Player,20:45,0,0,0,-5,0,0,2,0,3308,518
Point Brayden,TB,Player,12:59,0,0,0,-3,0,0,1,0,6070,521
Kucherov Nikita,TB,Player,20:16,0,1,0,-3,0,0,2,0,538,623
Myers Philippe,TB,Player,21:20,0,0,0,-2,0,0,0,6,1875,762
Fleury Haydn,TB,Player,20:46,0,0,2,-1,0,0,0,5,614,1400
Hedman Victor,TB,Player,21:46,1,0,0,-5,0,0,1,1,5416,1558
Killorn Alex,TB,Player,16:35,0,0,0,-2,0,0,4,1,1170,2413
Colton Ross,TB,Player,16:08,0,0,0,-1,0,0,0,1,6593,2456
Cirelli Anthony,TB,Player,14:06,0,0,0,-5,0,0,3,1,3041,2839
Namestnikov Vladislav,TB,Player,09:43,1,0,0,-1,0,0,3,1,3844,3132
Sergachyov Mikhail,TB,Player,17:28,0,0,0,-4,0,0,0,2,5971,3477
Bellemare Pierre-Edouard,TB,Player,10:17,0,0,0,-1,0,0,0,1,979,3518
Cole Ian,TB,Player,21:18,0,0,0,-5,0,0,2,3,1833,3554
Cernak Erik,TB,Player,17:22,0,1,0,-3,0,0,0,3,6198,4549
Vasilevsky Andrei,TB,Goalie,59:47,-,0,0,-,11,1,32,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
