Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Forsling Gustav,FLA,Player,25:02,0,1,0,2,0,0,0,6,4628,3
Staal Eric,FLA,Player,10:06,0,2,0,2,0,0,2,0,1882,121
Reinhart Sam,FLA,Player,19:39,1,1,0,2,0,0,2,0,2477,379
Bennett Sam,FLA,Player,17:44,0,0,0,0,0,0,4,0,2478,393
Rasmussen Michael,FLA,Player,13:31,2,0,0,2,0,0,5,1,6556,399
Staal Marc,FLA,Player,15:23,0,1,0,3,0,0,0,5,5158,433
Barkov Aleksander,FLA,Player,18:15,1,2,0,2,0,0,3,1,1405,699
Lundell Anton,FLA,Player,09:20,2,1,0,3,0,0,3,0,6572,848
Ekblad Aaron,FLA,Player,25:54,0,1,0,4,0,0,0,3,2485,1106
Luostarinen Eetu,FLA,Player,14:12,0,1,0,2,0,0,1,2,2136,1245
Hornqvist Patric,FLA,Player,10:02,0,0,0,2,0,0,4,0,3077,1411
Montour Brandon,FLA,Player,19:32,0,0,0,1,0,0,0,5,6124,2226
Tkachuk Matthew,FLA,Player,16:48,2,0,0,1,0,0,5,2,5951,2362
Duclair Anthony,FLA,Player,18:42,0,1,0,1,0,0,3,1,2495,2393
Gudas Radko,FLA,Player,19:35,0,0,0,2,0,0,0,5,3632,2409
Verhaeghe Carter,FLA,Player,17:46,0,1,0,1,0,0,1,2,1035,2641
Mahura Josh,FLA,Player,14:34,0,0,0,2,0,0,1,2,466,2667
Cousins Nick,FLA,Player,13:59,0,2,0,3,0,0,2,0,4665,4041
Francouz Pavel,FLA,Goalie,59:56,-,0,0,-,1,0,14,-,2460,341
Bobrovsky Sergei,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,5639,3160
Kessel Phil,WOF,Player,13:32,0,0,0,-4,0,0,1,0,534,45
McNabb Brayden,WOF,Player,30:15,0,0,0,-4,0,0,0,4,1752,369
Amadio Michael,WOF,Player,13:18,0,0,0,0,0,0,1,1,3947,736
Howden Brett,WOF,Player,17:39,0,1,0,-1,0,0,0,1,2471,867
Carrier William,WOF,Player,17:23,0,0,2,-3,0,0,0,4,6095,930
Hague Nicolas,WOF,Player,12:54,0,0,0,-2,0,0,0,0,5488,961
Smith Reilly,WOF,Player,16:28,0,0,0,-3,0,0,0,1,3007,2049
Coghlan Dylan,WOF,Player,16:56,0,0,0,-1,0,0,0,2,6538,2256
Marchessault Jonathan,WOF,Player,13:24,0,0,0,-3,0,0,0,1,3137,2310
Martinez Alec,WOF,Player,16:21,0,0,0,0,0,0,0,4,4236,2365
Stone Mark,WOF,Player,11:28,0,0,0,0,0,0,1,2,2036,2389
Roy Nicolas,WOF,Player,16:13,1,0,0,-1,0,0,1,3,1223,2651
Eichel Jack,WOF,Player,12:59,0,0,0,-3,0,0,0,1,3513,3151
Karlsson William,WOF,Player,18:35,0,0,0,-2,0,0,6,1,4720,3501
Theodore Shea,WOF,Player,20:47,0,0,0,-3,0,0,0,4,1674,3810
Pietrangelo Alex,WOF,Player,22:47,0,0,0,-4,0,0,0,3,2185,4012
Stephenson Chandler,WOF,Player,11:37,0,0,0,-1,0,0,2,0,4995,4026
Kolesar Keegan,WOF,Player,12:24,0,0,0,0,0,0,2,0,6200,4551
Brossoit Laurent,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2916,177
Lehner Robin,WOF,Goalie,60:00,-,0,0,-,8,0,36,-,2708,3541
