Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Iafallo Alex,LA,Player,09:19,0,0,0,-1,0,0,2,0,6121,58
Durzi Sean,LA,Player,20:00,0,0,0,-1,0,0,1,4,6611,82
Doughty Drew,LA,Player,23:48,1,0,0,-2,0,0,1,6,216,294
Kopitar Anze,LA,Player,19:20,0,1,0,-1,0,0,5,1,2287,298
Lemieux Brendan,LA,Player,13:35,1,0,0,0,0,0,3,1,1391,443
Edler Alexander,LA,Player,24:26,0,1,0,-1,0,0,0,3,3842,611
Roy Matt,LA,Player,19:41,0,0,0,0,0,0,0,4,4118,728
Moore Trevor,LA,Player,12:44,0,0,2,-1,0,0,0,0,3034,732
Fiala Kevin,LA,Player,21:33,0,0,0,-1,0,0,1,3,2511,803
Lizotte Blake,LA,Player,10:05,0,1,0,0,0,0,0,3,1333,1149
Anderson Mikey,LA,Player,17:09,0,1,0,0,0,0,0,2,6513,1866
Kempe Adrian,LA,Player,22:01,0,0,0,-1,0,0,5,0,6129,2020
Bjornfot Tobias,LA,Player,14:56,0,0,0,-2,0,0,0,7,6530,2222
Kaliyev Arthur,LA,Player,12:06,0,1,0,-1,0,0,1,2,6567,2354
Kupari Rasmus,LA,Player,09:43,0,0,0,-1,0,0,0,2,6581,2405
Byfield Quinton,LA,Player,11:38,0,1,0,0,0,0,2,1,6582,2406
Arvidsson Viktor,LA,Player,15:05,1,0,0,-1,0,0,1,1,4310,4040
Danault Phillip,LA,Player,22:37,0,0,0,-1,0,0,2,1,5218,4101
Petersen Cal,LA,Goalie,58:15,-,0,0,-,7,0,34,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
Ehlers Nikolaj,ATL,Player,10:10,1,2,0,2,1,0,4,2,4141,257
Wheeler Blake,ATL,Player,25:04,0,1,0,0,0,0,1,1,206,404
Harkins Jansen,ATL,Player,07:29,0,0,0,0,0,0,4,0,2944,569
Scheifele Mark,ATL,Player,19:02,1,0,0,0,0,0,4,2,5341,581
Lowry Adam,ATL,Player,12:58,0,0,0,0,0,0,3,0,2504,624
Stenlund Kevin,ATL,Player,17:17,1,0,0,1,0,0,1,1,6164,660
Barron Morgan,ATL,Player,15:52,0,1,0,1,0,0,3,1,6631,708
Morrissey Josh,ATL,Player,23:00,0,1,0,2,0,0,2,6,6077,878
Dillon Brenden,ATL,Player,20:35,0,0,0,0,0,0,0,4,3193,2019
Schmidt Nate,ATL,Player,19:13,0,1,0,2,0,0,0,2,4431,2129
Vesalainen Kristian,ATL,Player,07:18,0,0,0,0,0,0,1,0,3224,2189
Pionk Neal,ATL,Player,23:22,0,2,2,0,0,0,0,4,2102,2267
Perfetti Cole,ATL,Player,12:23,3,1,0,2,0,0,5,0,6602,2495
Capobianco Kyle,ATL,Player,15:36,0,0,0,1,0,0,0,0,3470,2708
Dubois Pierre-Luc,ATL,Player,10:50,1,3,0,3,0,0,4,0,5952,2979
Beaulieu Nathan,ATL,Player,19:17,0,0,0,1,0,0,0,3,4220,3179
Connor Kyle,ATL,Player,19:13,0,0,0,0,0,0,2,1,5936,3847
Appleton Mason,ATL,Player,16:22,0,0,0,0,0,0,0,1,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,0,0,-,3,0,24,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
