Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Iafallo Alex,LA,Player,11:45,0,1,0,0,0,0,1,0,6121,58
Durzi Sean,LA,Player,21:40,0,0,0,0,0,0,0,2,6611,82
Doughty Drew,LA,Player,25:55,0,2,0,3,0,0,1,2,216,294
Kopitar Anze,LA,Player,19:07,0,1,0,1,0,0,0,3,2287,298
Lemieux Brendan,LA,Player,18:34,1,2,0,2,0,0,4,0,1391,443
Edler Alexander,LA,Player,15:59,0,1,0,3,0,0,1,0,3842,611
Roy Matt,LA,Player,21:26,1,1,0,2,0,0,1,1,4118,728
Moore Trevor,LA,Player,12:07,1,0,0,0,0,0,4,0,3034,732
Fiala Kevin,LA,Player,17:01,0,0,0,1,0,0,0,2,2511,803
Lizotte Blake,LA,Player,11:44,1,0,0,2,0,0,2,3,1333,1149
Anderson Mikey,LA,Player,17:13,0,1,0,2,0,0,0,2,6513,1866
Kempe Adrian,LA,Player,12:13,1,0,0,1,0,0,1,0,6129,2020
Bjornfot Tobias,LA,Player,17:47,0,0,0,0,0,0,0,6,6530,2222
Kaliyev Arthur,LA,Player,11:32,1,1,0,2,0,0,3,0,6567,2354
Kupari Rasmus,LA,Player,15:06,0,1,0,0,0,0,1,2,6581,2405
Byfield Quinton,LA,Player,17:27,1,0,2,2,0,0,4,1,6582,2406
Arvidsson Viktor,LA,Player,14:21,0,1,0,2,0,0,1,0,4310,4040
Danault Phillip,LA,Player,14:03,0,0,0,2,0,0,0,1,5218,4101
Petersen Cal,LA,Goalie,60:00,-,0,0,-,2,0,17,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
Krejci David,BOS,Player,15:35,0,1,0,0,0,0,4,1,3959,46
Bergeron Patrice,BOS,Player,15:40,0,0,0,-2,0,0,1,4,320,48
Marchand Brad,BOS,Player,16:57,0,0,0,-2,0,0,0,5,5691,51
Pastrnak David,BOS,Player,16:06,0,0,0,-2,0,0,0,0,274,59
DeBrusk Jake,BOS,Player,12:01,0,1,0,-2,0,0,0,4,1211,371
Foligno Nick,BOS,Player,23:54,0,1,0,0,0,0,2,0,5155,454
Clifton Connor,BOS,Player,19:27,0,0,0,-2,0,0,0,4,264,613
Zacha Pavel,BOS,Player,11:40,0,1,0,-2,0,0,0,4,5127,2013
Forbort Derek,BOS,Player,15:40,1,0,0,0,0,0,1,2,4985,2139
Grzelcyk Matthew,BOS,Player,19:18,0,0,0,-3,0,0,1,2,1074,2231
Coyle Charlie,BOS,Player,07:22,0,0,0,-1,0,0,1,1,2149,2342
Renouf Dan,BOS,Player,24:39,0,0,0,0,0,0,0,3,6580,2398
Greer A.J.,BOS,Player,08:01,0,0,0,-1,0,0,1,3,5975,2473
Hall Taylor,BOS,Player,13:58,0,0,0,0,0,0,1,3,1918,3131
Carrick Connor,BOS,Player,21:42,0,0,0,-3,0,0,0,3,2369,3394
Smith Craig,BOS,Player,14:09,1,0,0,-2,0,0,1,3,4429,3750
Nosek Tomas,BOS,Player,07:05,0,0,0,-1,0,0,2,0,3757,4102
McAvoy Charlie,BOS,Player,26:51,0,0,2,-2,0,0,2,3,6142,4367
Swayman Jeremy,BOS,Goalie,00:00,-,0,0,-,0,0,0,-,6554,84
Ullmark Linus,BOS,Goalie,59:51,-,0,2,-,7,0,24,-,4488,3736
