Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Iafallo Alex,LA,Player,11:22,1,0,0,2,0,0,1,1,6121,58
Durzi Sean,LA,Player,16:41,0,1,0,4,0,0,0,3,6611,82
Doughty Drew,LA,Player,26:59,1,1,0,-1,0,0,1,7,216,294
Kopitar Anze,LA,Player,19:23,0,1,0,-1,0,0,5,3,2287,298
Lemieux Brendan,LA,Player,11:32,0,0,2,0,0,0,1,1,1391,443
Edler Alexander,LA,Player,23:27,0,1,0,-2,0,0,0,4,3842,611
Roy Matt,LA,Player,16:44,0,0,0,-1,0,0,0,6,4118,728
Moore Trevor,LA,Player,11:58,1,0,0,2,0,0,1,0,3034,732
Fiala Kevin,LA,Player,16:49,1,1,0,-1,0,0,2,2,2511,803
Lizotte Blake,LA,Player,12:30,0,2,0,1,0,0,2,1,1333,1149
Anderson Mikey,LA,Player,20:47,0,0,0,1,0,0,0,2,6513,1866
Kempe Adrian,LA,Player,19:10,2,1,0,0,1,0,4,2,6129,2020
Bjornfot Tobias,LA,Player,15:22,0,1,0,3,0,0,0,2,6530,2222
Kaliyev Arthur,LA,Player,16:53,1,0,0,1,0,0,2,3,6567,2354
Kupari Rasmus,LA,Player,10:54,1,1,0,3,0,0,2,2,6581,2405
Byfield Quinton,LA,Player,11:34,0,0,0,0,0,0,2,1,6582,2406
Arvidsson Viktor,LA,Player,17:56,0,1,0,0,0,0,3,0,4310,4040
Danault Phillip,LA,Player,17:13,0,0,0,-1,0,0,1,0,5218,4101
Petersen Cal,LA,Goalie,60:00,-,1,0,-,6,0,25,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
Dahlin Rasmus,BUF,Player,20:45,0,0,0,-3,0,0,0,5,2121,73
Skinner Jeff,BUF,Player,18:56,0,2,0,-1,0,0,2,1,2848,77
Thompson  Tage,BUF,Player,20:06,2,1,0,-2,0,0,2,3,3781,297
Bjork Anders,BUF,Player,15:44,1,1,0,0,0,0,2,0,2164,356
Olofsson Victor,BUF,Player,14:10,0,0,0,-1,0,0,3,1,5859,396
Okposo Kyle,BUF,Player,15:49,0,0,0,-1,0,0,2,3,5379,410
Davidson Brandon,BUF,Player,16:44,0,0,0,1,0,0,0,5,1828,591
Cozens Dylan,BUF,Player,19:38,1,1,0,-3,1,0,4,4,6522,2191
Bryson Jacob,BUF,Player,21:52,0,1,0,0,0,0,1,5,6573,2377
Power Owen,BUF,Player,22:12,0,1,0,-3,0,0,0,2,6603,2501
Krebs Peyton,BUF,Player,09:31,0,0,0,0,0,0,1,0,6604,2502
Peterka JJ,BUF,Player,14:42,0,0,0,0,0,0,3,1,6605,2509
Quinn Jack,BUF,Player,12:32,1,1,0,1,0,0,1,2,6606,2510
Mittelstadt Casey,BUF,Player,16:09,0,1,0,1,0,0,1,0,5502,2747
Girgensons Zemgus,BUF,Player,09:32,0,1,0,0,0,0,0,1,2830,2987
Lyubushkin Ilya,BUF,Player,22:31,0,0,0,0,0,0,0,5,3772,3452
Tuch Alex,BUF,Player,11:10,1,0,0,0,0,0,2,1,6176,4434
Butcher Will,BUF,Player,15:56,0,1,0,1,0,0,1,3,6187,4532
Anderson Craig,BUF,Goalie,60:00,-,1,2,-,8,0,27,-,234,265
Subban Malcolm,BUF,Goalie,00:00,-,0,0,-,0,0,0,-,2505,1139
