Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Iafallo Alex,LA,Player,13:28,1,2,0,1,0,0,1,0,6121,58
Durzi Sean,LA,Player,17:24,0,1,0,0,0,0,3,6,6611,82
Doughty Drew,LA,Player,22:35,0,1,0,1,0,0,1,2,216,294
Kopitar Anze,LA,Player,19:48,1,2,0,0,0,0,3,2,2287,298
Lemieux Brendan,LA,Player,11:38,0,0,0,0,0,0,4,1,1391,443
Edler Alexander,LA,Player,21:49,0,1,0,-1,0,0,0,1,3842,611
Roy Matt,LA,Player,21:57,0,2,0,-1,0,0,0,2,4118,728
Moore Trevor,LA,Player,11:15,1,1,0,1,0,0,4,0,3034,732
Fiala Kevin,LA,Player,20:20,1,0,0,0,1,0,2,1,2511,803
Lizotte Blake,LA,Player,09:49,1,0,0,1,0,0,3,1,1333,1149
Anderson Mikey,LA,Player,21:01,0,0,0,0,0,0,1,3,6513,1866
Kempe Adrian,LA,Player,19:33,1,1,0,0,1,0,3,0,6129,2020
Bjornfot Tobias,LA,Player,15:14,0,0,0,1,0,0,0,2,6530,2222
Kaliyev Arthur,LA,Player,16:29,0,1,0,-1,0,0,4,0,6567,2354
Kupari Rasmus,LA,Player,14:40,1,2,0,1,0,0,1,4,6581,2405
Byfield Quinton,LA,Player,11:56,0,0,0,0,0,0,1,1,6582,2406
Arvidsson Viktor,LA,Player,15:21,1,0,0,-1,0,0,2,2,4310,4040
Danault Phillip,LA,Player,15:57,0,0,0,-2,0,0,0,0,5218,4101
Petersen Cal,LA,Goalie,26:26,-,0,0,-,3,0,7,-,2411,621
Copley Pheonix,LA,Goalie,33:20,-,0,0,-,3,0,9,-,5616,2479
Nyquist Gustav,CBJ,Player,15:01,0,1,0,1,0,0,0,1,3158,16
Johnson Kent,CBJ,Player,07:35,0,0,0,-1,0,0,0,1,6608,159
Bean Jake,CBJ,Player,25:34,0,0,2,-1,0,0,0,5,5992,493
Peeke Andrew,CBJ,Player,16:23,0,0,0,1,0,0,0,3,4119,675
Voracek Jakub,CBJ,Player,17:09,1,2,0,0,0,0,1,1,2724,921
Carlsson Gabriel,CBJ,Player,14:59,0,0,2,1,0,0,0,2,4626,1073
Gavrikov Vladislav,CBJ,Player,23:38,0,0,0,-1,0,0,1,8,2628,1083
Chinakhov Yegor,CBJ,Player,15:46,1,0,0,1,0,0,2,3,6455,1826
Jenner Boone,CBJ,Player,17:43,1,1,0,0,0,0,4,2,297,2015
Laine Patrik,CBJ,Player,18:21,1,0,0,0,0,0,3,2,1146,2033
Roslovic Jack,CBJ,Player,20:57,2,1,0,0,0,0,2,2,3804,2225
Werenski Zach,CBJ,Player,18:14,0,1,0,0,0,0,0,1,6037,2322
Sillinger Cole,CBJ,Player,07:39,0,0,0,-1,0,0,0,1,6569,2370
Bayreuther Gavin,CBJ,Player,20:22,0,2,0,0,0,0,0,6,6577,2390
Bjork Marcus,CBJ,Player,21:30,0,0,0,0,0,0,0,5,6607,2529
Texier Alexandre,CBJ,Player,14:05,0,0,0,1,0,0,2,1,2813,2742
Gaudreau Johnny,CBJ,Player,17:35,0,1,0,0,0,0,1,2,1237,3646
Kuraly Sean,CBJ,Player,05:40,0,0,0,-1,0,0,0,2,6144,4370
Korpisalo Joonas,CBJ,Goalie,59:53,-,0,0,-,8,0,33,-,2338,4131
Merzlikins Elvis,CBJ,Goalie,00:00,-,0,0,-,0,0,0,-,5888,4200
