Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Iafallo Alex,LA,Player,14:50,0,0,0,0,0,0,2,1,6121,58
Durzi Sean,LA,Player,18:56,0,0,0,1,0,0,0,4,6611,82
Doughty Drew,LA,Player,24:37,0,0,0,0,0,0,0,7,216,294
Kopitar Anze,LA,Player,17:23,0,1,0,-1,0,0,1,4,2287,298
Lemieux Brendan,LA,Player,13:13,1,0,0,1,0,0,1,2,1391,443
Edler Alexander,LA,Player,24:17,0,1,0,0,0,0,2,3,3842,611
Roy Matt,LA,Player,16:27,0,1,0,1,0,0,0,5,4118,728
Moore Trevor,LA,Player,14:36,0,0,0,0,0,0,1,2,3034,732
Fiala Kevin,LA,Player,18:11,1,0,0,-1,0,0,4,0,2511,803
Walker Sean,LA,Player,18:57,0,0,0,0,0,0,0,0,1697,1140
Lizotte Blake,LA,Player,14:26,0,0,0,1,0,0,0,1,1333,1149
Anderson Mikey,LA,Player,16:46,0,0,0,2,0,0,0,2,6513,1866
Kempe Adrian,LA,Player,18:24,0,0,0,-1,0,0,1,1,6129,2020
Kaliyev Arthur,LA,Player,13:34,1,1,0,2,0,0,1,1,6567,2354
Kupari Rasmus,LA,Player,14:31,0,0,0,0,0,0,1,4,6581,2405
Byfield Quinton,LA,Player,13:39,0,0,0,1,0,0,2,1,6582,2406
Arvidsson Viktor,LA,Player,13:33,1,1,0,2,0,0,3,1,4310,4040
Danault Phillip,LA,Player,13:40,1,2,0,2,0,0,2,1,5218,4101
Petersen Cal,LA,Goalie,60:00,-,0,0,-,3,0,19,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
Lucic Milan,CGY,Player,13:29,1,0,0,0,0,0,4,1,5171,65
Dube Dillon,CGY,Player,10:09,1,0,0,1,0,0,2,0,3116,98
Huberdeau Jonathan,CGY,Player,16:55,0,0,0,-1,0,0,0,2,4399,164
Ruzicka Adam,CGY,Player,10:25,0,1,0,1,0,0,2,0,6380,539
Mangiapane Andrew,CGY,Player,17:06,0,0,0,0,0,0,2,0,1301,560
Kadri Nazem,CGY,Player,16:25,0,0,0,0,0,0,1,2,3056,593
Kylington Oliver,CGY,Player,21:36,0,0,0,-2,0,0,0,0,4163,676
Rooney Kevin,CGY,Player,20:58,0,0,0,-2,0,0,2,0,1910,799
Hanifin Noah,CGY,Player,23:55,0,0,0,1,0,0,0,4,5071,1066
Weegar MacKenzie,CGY,Player,13:21,0,1,0,-1,0,0,0,2,2107,1087
Welinski Andrew,CGY,Player,08:38,0,1,0,1,0,0,0,0,1632,1616
Zadorov Nikita,CGY,Player,23:48,0,0,0,1,0,0,0,2,1178,2230
Coleman Blake,CGY,Player,12:43,0,0,0,-1,0,0,1,0,824,2283
Toffoli Tyler,CGY,Player,20:02,1,0,0,-2,0,0,4,0,3234,2434
Backlund Mikael,CGY,Player,19:46,0,0,0,-2,0,0,1,0,5650,3411
Lindholm Elias,CGY,Player,13:24,0,1,0,-1,0,0,0,0,2436,3465
Tanev Chris,CGY,Player,14:36,0,0,0,-1,0,0,0,2,2864,3673
Andersson Rasmus,CGY,Player,22:44,0,1,0,-2,0,0,0,5,6193,4543
Markstrom Jacob,CGY,Goalie,00:00,-,0,0,-,0,0,0,-,5793,1394
Vladar Daniel,CGY,Goalie,60:00,-,0,0,-,5,0,21,-,1773,2606
