Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kopitar Anze,LA,Player,20:12,2,0,0,-2,1,0,5,4,2287,298
Sundqvist Oskar,LA,Player,14:51,1,0,0,0,0,0,1,2,4451,325
Suter Pius,LA,Player,07:26,0,1,0,2,0,0,0,0,1931,366
Lemieux Brendan,LA,Player,07:58,2,0,0,2,0,0,3,1,1391,443
Johnson Erik,LA,Player,18:02,0,1,0,-5,0,0,0,5,5288,544
Edler Alexander,LA,Player,18:40,0,0,0,-1,0,0,0,2,3842,611
Makar Cale,LA,Player,21:33,0,1,0,-2,0,0,1,6,4146,683
Roy Matt,LA,Player,22:03,0,0,0,-5,0,0,0,6,4118,728
Moore Trevor,LA,Player,15:05,0,0,0,0,0,0,0,1,3034,732
Fiala Kevin,LA,Player,18:35,0,0,0,-2,0,0,4,1,2511,803
Zuccarello Mats,LA,Player,16:48,1,0,0,-4,0,0,2,1,5807,1559
Hutton Ben,LA,Player,20:15,0,1,2,2,0,0,0,3,6562,1631
Anderson Mikey,LA,Player,19:27,0,0,0,3,0,0,0,4,6513,1866
Acciari Noel,LA,Player,14:07,0,1,0,1,0,0,1,0,2639,1973
Kempe Adrian,LA,Player,20:02,0,2,0,-2,0,0,4,0,6129,2020
Zucker Jason,LA,Player,17:53,0,0,0,-5,0,0,2,1,2630,3042
Schenn Brayden,LA,Player,17:31,0,1,0,-4,0,0,1,2,4131,3265
Tuch Alex,LA,Player,09:23,0,2,0,2,0,0,0,2,6176,4434
Petersen Cal,LA,Goalie,60:00,-,0,0,-,10,0,23,-,2411,621
Hart Carter,LA,Goalie,00:00,-,0,0,-,0,0,0,-,1528,1209
Forsling Gustav,FLA,Player,18:53,0,1,0,1,0,0,0,4,4628,3
Staal Eric,FLA,Player,14:47,0,0,0,-2,0,0,1,0,1882,121
Reinhart Sam,FLA,Player,14:05,1,3,0,3,0,0,1,0,2477,379
Bennett Sam,FLA,Player,14:19,0,3,0,3,0,0,0,0,2478,393
Rasmussen Michael,FLA,Player,10:12,0,0,2,-1,0,0,1,4,6556,399
Staal Marc,FLA,Player,19:00,0,0,0,-2,0,0,0,5,5158,433
Barkov Aleksander,FLA,Player,20:54,3,2,0,3,1,1,5,1,1405,699
Lundell Anton,FLA,Player,15:45,0,0,0,-1,0,0,2,1,6572,848
Ekblad Aaron,FLA,Player,19:54,0,0,0,2,0,0,0,1,2485,1106
Luostarinen Eetu,FLA,Player,10:55,1,0,0,0,0,0,2,2,2136,1245
Hornqvist Patric,FLA,Player,15:05,0,0,0,-1,0,0,2,1,3077,1411
Montour Brandon,FLA,Player,22:01,0,2,0,4,0,0,0,7,6124,2226
Tkachuk Matthew,FLA,Player,20:38,1,5,0,3,0,0,2,2,5951,2362
Duclair Anthony,FLA,Player,13:02,3,1,0,3,0,0,4,2,2495,2393
Gudas Radko,FLA,Player,22:07,0,0,0,5,0,0,1,4,3632,2409
Verhaeghe Carter,FLA,Player,15:48,1,0,0,1,0,0,2,0,1035,2641
Mahura Josh,FLA,Player,18:05,0,0,0,-2,0,0,0,4,466,2667
Cousins Nick,FLA,Player,10:00,0,1,0,0,0,0,0,0,4665,4041
Francouz Pavel,FLA,Goalie,60:00,-,1,0,-,6,0,24,-,2460,341
Bobrovsky Sergei,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,5639,3160
