Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Iafallo Alex,LA,Player,12:57,0,1,0,2,0,0,0,2,6121,58
Durzi Sean,LA,Player,17:30,0,0,0,3,0,0,0,3,6611,82
Doughty Drew,LA,Player,23:54,1,1,0,4,0,0,2,4,216,294
Kopitar Anze,LA,Player,21:33,1,1,0,2,0,0,5,2,2287,298
Lemieux Brendan,LA,Player,17:26,0,1,0,3,0,0,1,3,1391,443
Edler Alexander,LA,Player,24:18,0,3,0,3,0,0,0,5,3842,611
Roy Matt,LA,Player,16:55,0,1,0,2,0,0,1,3,4118,728
Moore Trevor,LA,Player,14:37,1,1,0,2,0,0,2,1,3034,732
Fiala Kevin,LA,Player,13:42,1,1,0,2,0,0,4,1,2511,803
Lizotte Blake,LA,Player,11:04,1,1,0,2,0,0,4,0,1333,1149
Anderson Mikey,LA,Player,19:31,0,1,0,2,0,0,0,8,6513,1866
Kempe Adrian,LA,Player,17:20,1,1,0,2,0,0,2,1,6129,2020
Bjornfot Tobias,LA,Player,17:52,0,1,0,2,0,0,0,3,6530,2222
Kaliyev Arthur,LA,Player,14:29,1,1,2,2,0,0,2,0,6567,2354
Kupari Rasmus,LA,Player,14:01,1,1,0,2,0,0,3,1,6581,2405
Byfield Quinton,LA,Player,12:12,1,0,0,2,0,0,2,0,6582,2406
Arvidsson Viktor,LA,Player,10:17,1,0,0,1,0,0,2,0,4310,4040
Danault Phillip,LA,Player,15:23,0,3,0,2,0,0,1,1,5218,4101
Petersen Cal,LA,Goalie,59:59,-,0,0,-,2,0,28,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
Addison Calen,MIN,Player,17:00,0,0,0,-3,0,0,0,5,6612,144
Boldy Matt,MIN,Player,13:53,0,0,0,-1,0,0,1,2,6613,287
Dewar Connor,MIN,Player,22:42,0,0,2,-5,0,0,7,2,6614,389
Reaves Ryan,MIN,Player,11:23,0,1,0,0,0,0,0,1,4442,394
Eriksson Ek Joel,MIN,Player,16:16,0,0,0,-2,0,0,2,2,6071,558
Hartman Ryan,MIN,Player,13:19,0,1,0,-1,0,0,0,3,2648,869
Dumba Matt,MIN,Player,19:29,0,0,0,-2,0,0,0,5,4445,1196
Merrill Jon,MIN,Player,21:23,0,0,0,-5,0,0,0,4,2956,1496
Zuccarello Mats,MIN,Player,19:07,0,0,0,-4,0,0,4,3,5807,1559
Greenway Jordan,MIN,Player,07:57,0,0,0,-2,0,0,3,1,866,2130
Brodin Jonas,MIN,Player,20:13,0,0,0,-1,0,0,1,3,4506,2217
Duhaime Brandon,MIN,Player,11:28,1,0,0,-1,0,0,3,2,6565,2258
Foligno Marcus,MIN,Player,14:49,1,0,0,-2,0,0,1,4,579,3395
Spurgeon Jared,MIN,Player,19:54,0,0,0,-4,0,0,0,6,4407,3434
Kaprizov Kirill,MIN,Player,19:50,0,0,0,-4,0,0,2,3,1717,3774
Goligoski Alex,MIN,Player,22:01,0,0,0,-1,0,0,0,7,5323,4287
Steel Sam,MIN,Player,13:16,0,1,0,-1,0,0,3,1,3212,4357
Gaudreau Frederick ,MIN,Player,11:00,0,1,0,-1,0,0,1,2,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,60:00,-,0,0,-,10,0,31,-,652,508
