Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Iafallo Alex,LA,Player,12:24,0,0,0,-2,0,0,1,2,6121,58
Durzi Sean,LA,Player,15:33,1,0,0,-1,0,0,3,7,6611,82
Doughty Drew,LA,Player,24:52,1,1,0,3,0,0,1,3,216,294
Kopitar Anze,LA,Player,17:36,3,2,0,4,0,1,4,2,2287,298
Lemieux Brendan,LA,Player,16:54,1,2,0,2,0,0,2,1,1391,443
Edler Alexander,LA,Player,28:04,0,2,0,3,0,0,1,2,3842,611
Roy Matt,LA,Player,15:12,0,0,0,0,0,0,0,2,4118,728
Moore Trevor,LA,Player,13:22,0,0,0,-1,0,0,1,0,3034,732
Fiala Kevin,LA,Player,15:26,1,0,2,3,0,0,1,3,2511,803
Lizotte Blake,LA,Player,08:28,0,1,0,0,0,0,0,1,1333,1149
Anderson Mikey,LA,Player,16:13,0,1,0,2,0,0,0,3,6513,1866
Kempe Adrian,LA,Player,23:46,1,3,0,6,0,1,3,4,6129,2020
Bjornfot Tobias,LA,Player,20:06,0,0,0,1,0,0,2,4,6530,2222
Kaliyev Arthur,LA,Player,13:44,0,1,0,0,0,0,1,1,6567,2354
Kupari Rasmus,LA,Player,11:26,0,0,0,-2,0,0,1,1,6581,2405
Byfield Quinton,LA,Player,06:44,0,0,0,-1,0,0,0,0,6582,2406
Arvidsson Viktor,LA,Player,11:30,0,1,0,0,0,0,1,1,4310,4040
Danault Phillip,LA,Player,18:43,1,1,2,1,0,0,3,4,5218,4101
Petersen Cal,LA,Goalie,60:00,-,0,0,-,5,0,37,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
Boyd Travis,PHX,Player,18:24,0,0,0,-3,0,0,3,2,2792,141
Ladd Andrew,PHX,Player,10:44,0,1,0,0,0,0,2,0,3368,146
Chychrun Jakob,PHX,Player,23:25,0,1,0,-1,0,0,1,4,6064,187
Maccelli Matias,PHX,Player,17:51,0,1,0,-2,0,0,4,0,6622,202
Valimaki Juuso,PHX,Player,17:24,0,0,0,0,0,0,0,3,6503,395
Moser JJ,PHX,Player,23:15,0,0,0,-3,0,0,0,8,6620,561
Crouse Lawson,PHX,Player,19:38,0,0,0,-1,0,0,4,1,6038,587
Kassian Zack,PHX,Player,09:12,0,1,0,-1,0,0,4,1,1010,609
Nemeth Patrik,PHX,Player,14:45,0,0,0,0,0,0,0,4,2481,612
Guenther Dylan,PHX,Player,14:56,0,2,0,0,0,0,2,1,6621,615
Ritchie Nick,PHX,Player,11:52,1,1,0,0,0,0,3,0,4909,1013
Schmaltz Nick,PHX,Player,20:46,0,0,0,-1,0,0,2,2,6036,2292
Mayo Dysin,PHX,Player,17:55,0,1,0,-3,0,0,0,2,6588,2426
Bjugstad Nick,PHX,Player,12:25,1,1,0,1,0,0,3,1,1864,2696
Fischer Christian ,PHX,Player,15:29,0,0,0,-3,0,0,3,0,6133,3226
Keller Clayton,PHX,Player,20:18,2,0,0,-1,0,0,4,0,6134,3264
Gostisbehere Shayne,PHX,Player,23:16,0,1,0,-1,0,0,1,4,659,4010
Dauphin Laurent,PHX,Player,08:25,1,0,0,-1,0,0,1,1,5741,4116
Ingram Connor,PHX,Goalie,00:00,-,0,0,-,0,0,0,-,6619,491
Vejmelka Karel,PHX,Goalie,60:00,-,0,0,-,9,0,25,-,6571,507
