Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Iafallo Alex,LA,Player,07:38,1,0,0,1,0,0,1,1,6121,58
Durzi Sean,LA,Player,15:24,0,0,0,0,0,0,0,4,6611,82
Doughty Drew,LA,Player,27:13,0,1,0,2,0,0,0,1,216,294
Kopitar Anze,LA,Player,16:18,1,1,0,3,0,0,4,2,2287,298
Lemieux Brendan,LA,Player,16:26,1,0,0,0,0,0,2,2,1391,443
Edler Alexander,LA,Player,26:20,0,0,0,2,0,0,0,2,3842,611
Roy Matt,LA,Player,17:23,0,0,0,-2,0,0,0,3,4118,728
Moore Trevor,LA,Player,11:31,0,1,0,1,0,0,1,2,3034,732
Fiala Kevin,LA,Player,15:51,1,2,2,2,0,0,4,3,2511,803
Lizotte Blake,LA,Player,12:39,0,1,0,0,0,0,0,1,1333,1149
Anderson Mikey,LA,Player,17:21,0,0,0,-2,0,0,0,2,6513,1866
Kempe Adrian,LA,Player,15:07,1,0,0,2,0,0,3,4,6129,2020
Bjornfot Tobias,LA,Player,16:19,0,0,0,0,0,0,1,3,6530,2222
Kaliyev Arthur,LA,Player,18:29,0,0,0,-3,0,0,1,2,6567,2354
Kupari Rasmus,LA,Player,11:42,0,1,0,0,0,0,1,2,6581,2405
Byfield Quinton,LA,Player,12:57,1,1,0,0,0,0,3,2,6582,2406
Arvidsson Viktor,LA,Player,17:01,2,0,0,-3,1,0,4,2,4310,4040
Danault Phillip,LA,Player,19:21,0,2,0,-3,0,0,1,3,5218,4101
Petersen Cal,LA,Goalie,60:00,-,0,0,-,6,1,21,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
Bozak Tyler,STL,Player,12:13,0,0,0,-3,0,0,1,2,2255,571
Barbashyov Ivan,STL,Player,17:36,0,0,0,-3,0,0,0,1,3871,986
Buchnevich Pavel,STL,Player,17:53,1,1,0,3,0,0,3,4,226,1067
Saad Brandon,STL,Player,15:33,0,1,2,3,0,0,0,0,1737,1234
Thomas Robert,STL,Player,10:53,0,2,0,3,0,0,1,0,3452,1332
Acciari Noel,STL,Player,13:15,1,0,0,-3,0,0,1,2,2639,1973
Bortuzzo Robert,STL,Player,18:16,0,1,0,2,0,0,0,3,4409,2134
Mikkola Niko,STL,Player,21:26,0,0,0,1,0,0,0,4,1141,2155
Parayko Colton,STL,Player,18:38,0,0,0,-3,0,0,0,1,4669,2158
Pitlick Rem,STL,Player,11:30,1,1,0,3,0,0,1,1,6566,2343
O'Reilly Ryan,STL,Player,19:38,0,0,0,-3,0,0,4,2,3062,2382
Perunovich Scott,STL,Player,18:47,0,1,0,2,0,0,0,5,6590,2441
Kyrou Jordan,STL,Player,11:22,2,1,0,3,0,0,4,0,6208,2446
Krug Torey,STL,Player,19:33,0,0,0,-3,0,0,0,4,3615,2521
Schenn Brayden,STL,Player,16:39,2,0,0,3,0,0,4,2,4131,3265
Leivo Josh,STL,Player,11:53,0,0,0,-3,0,0,0,0,2541,3307
Faulk Justin,STL,Player,23:20,0,0,0,1,0,0,0,5,3744,3400
Tarasenko Vladimir,STL,Player,17:30,0,0,0,-3,0,0,3,0,2695,4349
Binnington Jordan,STL,Goalie,60:00,-,0,0,-,8,0,26,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
